queens_cooperatives_comparable_properties_boro_block_lot,queens_cooperatives_comparable_properties_expense_per_sqft,comparable_rental_2_expense_per_sqft,comparable_rental_3_total_units,comparable_rental_1_expense_per_sqft,comparable_rental_2_net_operating_income,comparable_rental_1_building_classification,queens_cooperatives_comparable_properties_estimated_expense,borough,queens_cooperatives_comparable_properties_neighborhood,comparable_rental_3_net_operating_income,postcode,comparable_rental_3_estimated_gross_income,comparable_rental_1_estimated_expense,comparable_rental_2_neighborhood,comparable_rental_1_net_operating_income,comparable_rental_2_address,bbl,comparable_rental_2_gross_income_per_sqft,queens_cooperatives_comparable_properties_full_market_value,queens_cooperatives_comparable_properties_building_classification,comparable_rental_2_total_units,queens_cooperatives_comparable_properties_estimated_gross_income
4-00157-0009,4.54,7.71,48,9.69,488992.0,D1-ELEVATOR,188626,4,SUNNYSIDE,"179,467",,"341,109",417252,SUNNYSIDE,233147,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 44 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.55,911000,D4-ELEVATOR,94.0,343357
4-05291-0040,7.21,7.21,16,6.23,87171.0,C1-WALK-UP,134495,4,FLUSHING-NORTH,"87,171",,"215,924",78390,FLUSHING-NORTH,65767,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""189 37 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12.1,580000,C6-WALK-UP,16.0,225713
4-06205-0001,6.23,6.24,19,6.14,108477.0,C1-WALK-UP,171325,4,BAYSIDE,"131,211",,"256,153",270582,BAYSIDE,411030,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""202 43 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.94,1716000,C6-WALK-UP,19.0,421300
4-09842-0076,5.95,6.25,71,5.95,113937.0,D1-ELEVATOR,132447,4,JAMAICA,"425,961",,"655,217",309629,JAMAICA ESTATES,355471,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""170 HENLEY ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12.49,859000,D4-ELEVATOR,28.0,284705
4-06321-0001,5.14,5.14,19,8.87,544292.0,C1-WALK-UP,100060,4,BAYSIDE,"128,069",,"215,743",124942,BAYSIDE,131211,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""214 43 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.78,860000,C6-WALK-UP,52.0,307189
4-09829-0048,6.16,6.83,71,6.16,492378.0,D1-ELEVATOR,410133,4,JAMAICA,"425,961",,"655,217",386274,JAMAICA,505903,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 171 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.59,3003000,D4-ELEVATOR,81.0,947433
4-09838-0089,6.84,7.25,91,7.8,303204.0,D1-ELEVATOR,246035,4,JAMAICA,"595,888",,"1,087,387",233542,JAMAICA,255640,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""169 88 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.76,1749000,D4-ELEVATOR,65.0,544586
4-09204-0009,4.65,4.87,77,6.95,505348.0,D1-ELEVATOR,262260,4,RICHMOND HILL,"496,412",,"963,417",369504,RICHMOND HILL,302514,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""87 115 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12.53,1826000,D4-ELEVATOR,60.0,712896
4-01531-0021,5.86,, ,5.86,,D1-ELEVATOR,209202,4,ELMHURST, ,, ,400433, ,383396,,,,1276000,D4-ELEVATOR,,409479
4-09834-0041,9.63,8.12,64,6.12,449343.0,D1-ELEVATOR,1040271,4,JAMAICA,"611,796",11418.0,"1,062,028",692342,JAMAICA,1058299,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""173 89 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4092890045.0,17.04,4950000,D4-ELEVATOR,76.0,1840729
4-01132-0036,6.34,6.39, ,6.29,541634.0,D1-ELEVATOR,369495,4,WOODSIDE, ,, ,414197,JACKSON HEIGHTS,556028,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""32 70 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.62,2068000,D4-ELEVATOR,74.0,855550
4-05025-0020,8.01,8.01,95,5.55,679276.0,D1-ELEVATOR,693474,4,FLUSHING-NORTH,"668,173",,"1,215,485",598242,FLUSHING-NORTH,1222286,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.94,4015000,D4-ELEVATOR,101.0,1380021
4-01291-0012,6.34,6.13, ,6.54,371578.0,D1-ELEVATOR,427747,4,JACKSON HEIGHTS, ,, ,378967,JACKSON HEIGHTS,410656,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""78 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,9.73,2305000,D4-ELEVATOR,84.0,788026
4-03152-0021,7.37,8.37,62,8.82,478637.0,D1-ELEVATOR,545380,4,REGO PARK,"668,688",,"930,184",1273996,REGO PARK,1273996,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 WETHEROLE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.41,4290000,D4-ELEVATOR,72.0,1214340
4-02093-0245,6.48,6.53,226,6.74,1422492.0,D6-ELEVATOR,2509056,4,REGO PARK,"1,645,418",,"3,370,005",1715805,CORONA,1533571,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""97 57 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12.16,16255000,D4-ELEVATOR,236.0,4940672
4-05374-0023,7.23,6.31,52,7.84,264367.0,D3-ELEVATOR,393970,4,FLUSHING-NORTH,"438,162",,"679,416",456931,FLUSHING-NORTH,389324,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""140 ASH AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.1,2013000,D4-ELEVATOR,47.0,767233
4-01507-0005,5.92,, ,5.92,,D1-ELEVATOR,195046,4,ELMHURST, ,, ,438034, ,381955,,,,1096000,D4-ELEVATOR,,365053
4-03180-0041,6.77,6.77,62,7.27,207770.0,D7-ELEVATOR,304650,4,FOREST HILLS,"668,688",,"930,184",143912,FOREST HILLS,226238,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""68 BURNS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.28,2453000,D4-ELEVATOR,20.0,687600
4-01132-0044,6.34,6.39, ,6.29,541634.0,D1-ELEVATOR,369495,4,WOODSIDE, ,, ,414197,JACKSON HEIGHTS,556028,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""32 70 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.62,2068000,D4-ELEVATOR,74.0,855550
4-09954-0049,6.74,7.84,168,6.74,590935.0,D1-ELEVATOR,393279,4,JAMAICA ESTATES,"959,785",,"1,992,790",640776,JAMAICA ESTATES,926036,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""187 HILLSIDE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.09,4119000,D4-ELEVATOR,77.0,962192
4-02151-0127,6.98,6.98,108,6.68,484160.0,D7-ELEVATOR,596280,4,FOREST HILLS,"677,650",,"1,418,689",553031,FOREST HILLS,568390,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""62 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.57,3725000,D4-ELEVATOR,76.0,1159244
4-07761-0060,5.63,8.61,125,7.84,422804.0,D1-ELEVATOR,242878,4,OAKLAND GARDENS,"926,036",,"1,566,812",501457,FRESH MEADOWS,590935,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""193 HOR"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.88,1936000,D4-ELEVATOR,40.0,728203
