grade_4,grade_12,grade_10,female_1
71,0,0,272
0,80,173,198
0,50,66,192
54,0,0,221
34,0,0,188
0,109,114,286
0,0,0,63
0,0,0,46
0,0,0,146
0,0,0,82
0,0,0,103
116,0,0,334
20,0,0,93
0,0,0,45
0,292,569,1056
50,0,0,157
90,0,0,231
0,119,103,277
30,0,0,200
0,98,119,264
0,59,95,142
0,833,818,1363
48,0,0,219
20,0,0,54
35,0,0,274
70,0,0,241
28,0,0,174
0,114,127,262
45,0,0,188
0,83,113,298
0,119,149,269
0,0,0,122
0,0,0,92
46,0,0,265
43,0,0,216
0,0,118,99
0,134,229,322
0,84,91,359
0,71,122,115
96,0,0,313
0,68,98,198
0,0,0,49
81,0,0,273
0,0,0,185
135,0,0,398
0,166,188,403
106,0,0,418
28,0,0,95
0,91,28,72
0,125,110,270
79,0,0,214
0,0,0,634
0,83,119,215
0,0,0,108
0,117,173,347
45,0,0,193
81,0,0,277
0,119,113,265
168,0,0,474
0,63,85,126
0,0,0,637
0,51,98,138
0,96,108,242
0,0,0,517
0,171,186,416
0,81,105,180
91,0,0,272
45,0,0,128
153,0,0,410
0,70,116,268
0,0,0,215
0,0,49,127
33,0,0,159
0,0,0,67
69,0,0,235
0,0,0,224
0,111,121,260
0,150,215,226
99,0,0,311
0,270,59,342
0,107,158,377
107,0,0,298
28,0,0,92
56,0,0,193
0,127,114,145
0,0,0,107
0,310,333,647
68,0,0,236
45,0,0,150
0,63,44,117
48,0,0,236
0,86,108,244
63,0,0,341
85,0,0,253
0,90,140,250
0,84,114,200
0,0,0,86
0,131,99,182
54,0,0,188
0,74,122,155
0,114,88,261
0,802,842,1419
0,286,425,785
49,0,0,152
126,0,0,394
0,90,119,261
0,0,0,65
70,0,0,220
0,114,147,408
0,33,77,110
55,0,0,184
50,0,0,134
0,0,0,188
52,0,0,154
26,0,0,129
25,0,0,193
0,96,179,262
120,0,0,394
95,0,0,324
41,0,0,265
0,559,706,1917
0,147,155,387
0,78,166,368
64,0,0,204
0,129,110,169
0,90,108,291
16,0,0,47
0,268,219,379
59,0,0,406
0,0,0,557
0,51,69,88
45,0,0,141
0,14,69,93
0,115,113,99
0,31,46,106
0,84,115,362
0,0,0,44
45,0,0,254
0,61,112,195
0,74,70,228
45,0,0,220
0,99,62,136
0,0,0,72
41,0,0,200
35,0,0,149
0,0,0,165
0,0,0,284
111,0,0,378
102,0,0,291
0,123,130,326
0,151,86,157
78,0,0,240
0,323,255,689
51,0,0,192
0,264,450,826
129,0,0,287
0,0,157,128
0,104,99,251
0,331,483,1195
0,98,104,221
0,0,0,198
53,0,0,144
0,111,144,398
8,0,0,114
0,76,100,172
79,0,0,318
50,0,0,202
0,96,118,288
85,0,0,365
27,0,0,179
145,0,0,422
66,0,0,217
95,0,0,324
0,95,147,276
59,0,0,176
0,8,59,100
0,76,86,154
84,0,0,306
132,0,0,341
0,78,95,169
0,53,67,175
0,70,124,158
68,0,0,298
0,101,118,247
0,0,0,112
140,0,0,364
85,0,0,266
0,86,117,111
33,0,0,181
0,0,0,209
100,0,0,350
0,0,124,131
0,306,377,803
0,0,0,483
0,54,85,192
0,164,176,370
0,38,108,114
0,131,131,419
0,88,129,116
0,76,75,231
45,0,0,84
0,109,108,153
125,0,0,393
0,360,304,716
0,0,0,136
0,174,153,393
52,0,0,206
0,79,107,331
0,0,0,153
0,70,88,170
0,85,101,284
0,0,0,141
0,128,132,323
60,0,0,205
0,73,100,197
44,0,0,189
26,0,0,79
0,154,155,391
0,0,0,92
0,92,121,125
64,0,0,283
0,0,0,200
41,0,0,130
0,92,195,268
0,114,104,242
0,0,0,116
0,0,0,25
33,0,0,94
0,59,75,189
41,0,0,160
0,0,0,102
117,188,139,885
0,21,48,149
55,0,0,296
0,143,162,424
52,0,0,237
156,0,0,375
117,0,0,313
109,0,0,275
54,0,0,86
