poverty_1,asian_2,hispanic_1,total_enrollment,grade_k,grade_3,grade_8
277,1.5%,233,521,98,76,0
513,1.9%,346,576,0,0,0
182,1.3%,105,236,0,0,0
387,9.5%,263,432,65,71,0
376,5.3%,292,376,26,30,72
381,9.8%,245,478,0,0,0
26,17.2%,21,157,62,0,0
94,5.0%,75,100,0,0,45
33,16.1%,37,279,82,41,0
110,4.7%,67,232,0,0,70
255,2.4%,108,255,0,0,83
86,12.8%,56,662,103,130,0
145,7.3%,101,179,40,23,0
24,35.3%,15,85,50,0,0
1538,10.5%,965,2073,0,0,0
132,10.1%,101,318,54,51,0
24,14.6%,68,485,74,49,0
312,6.3%,301,414,0,0,0
402,2.7%,259,402,37,46,38
318,6.3%,308,429,0,0,0
197,0.8%,129,265,0,0,0
1554,72.3%,78,3286,0,0,0
221,11.7%,182,412,74,56,0
110,4.4%,43,113,25,12,0
478,0.6%,100,521,54,36,60
445,2.2%,283,445,57,58,0
132,3.6%,124,335,36,37,27
367,7.4%,280,486,0,0,0
368,2.4%,231,368,61,55,0
397,5.6%,294,431,0,0,0
561,0.0%,561,561,0,0,0
234,17.1%,42,234,0,0,0
190,1.6%,74,190,0,0,60
386,7.3%,251,549,40,35,64
489,1.8%,312,489,47,43,61
180,7.9%,97,214,0,0,0
608,22.9%,342,757,0,0,0
295,3.3%,127,359,0,0,0
339,6.0%,245,418,0,0,0
54,9.1%,85,624,116,96,0
412,0.7%,293,412,0,0,0
5,9.6%,14,83,32,0,0
222,7.0%,143,572,92,117,0
172,6.4%,128,345,0,0,114
788,84.6%,65,823,147,132,0
570,4.4%,508,720,0,0,0
58,20.5%,95,872,100,113,65
21,15.1%,25,186,28,29,0
144,1.4%,76,144,0,0,0
332,31.5%,193,480,0,0,0
173,4.9%,108,512,0,0,33
314,24.9%,197,634,102,113,0
474,78.3%,54,668,88,79,61
431,4.2%,257,431,0,0,0
201,29.4%,81,579,0,0,0
304,1.0%,176,304,34,27,35
321,1.8%,78,398,0,0,30
263,34.4%,109,561,49,62,52
239,7.4%,169,258,36,35,0
223,8.7%,147,606,101,102,0
365,0.5%,247,435,0,0,0
30,15.5%,44,362,70,51,0
340,0.7%,250,426,0,0,0
270,30.7%,123,538,52,59,48
52,10.2%,76,801,125,151,0
359,5.5%,292,636,100,89,0
220,28.5%,96,599,0,0,0
261,12.8%,221,820,158,134,0
318,9.0%,185,367,0,0,0
304,1.6%,174,304,0,0,0
136,38.2%,50,293,0,0,89
217,10.0%,169,270,47,43,0
249,5.5%,161,309,0,0,0
57,7.6%,38,79,0,0,0
247,53.8%,65,266,0,0,0
614,39.6%,235,1113,0,0,346
57,19.5%,60,595,118,86,0
234,7.3%,145,261,0,0,0
146,7.4%,131,338,0,0,112
341,6.5%,277,354,56,42,0
64,18.7%,47,386,0,0,130
710,35.3%,228,807,0,0,0
217,12.9%,186,419,54,54,0
47,23.4%,5,47,47,0,0
473,9.7%,331,598,0,0,76
127,3.7%,87,189,19,18,11
864,94.3%,26,864,120,146,0
228,14.6%,150,302,39,48,0
1067,9.8%,620,1466,0,0,0
126,7.1%,59,126,0,0,0
654,3.4%,592,826,110,99,65
14,18.8%,11,138,14,16,14
923,13.3%,807,1259,0,0,0
114,2.2%,52,138,0,0,44
88,6.8%,81,219,0,0,0
470,2.3%,314,470,39,48,62
155,1.6%,118,186,0,0,0
134,3.2%,89,190,0,0,57
149,11.0%,94,155,23,20,0
323,2.3%,212,430,0,0,0
209,44.5%,62,575,0,0,191
56,15.2%,38,270,0,0,85
305,28.1%,178,352,51,53,0
172,3.5%,120,230,0,0,0
362,31.2%,193,443,0,0,0
180,1.6%,64,183,0,68,0
740,85.7%,64,760,96,120,0
330,6.8%,203,453,44,38,56
257,23.5%,138,371,0,0,120
282,5.4%,190,316,46,58,0
876,19.4%,520,2730,0,0,0
95,5.9%,105,405,0,0,133
203,8.4%,176,442,0,0,0
254,8.2%,136,831,0,0,286
655,23.5%,294,745,0,0,0
230,0.8%,171,266,0,0,0
345,3.9%,169,412,0,0,0
178,14.0%,108,186,23,32,0
152,10.1%,100,199,0,0,0
28,9.2%,69,721,121,115,0
91,14.1%,56,128,0,0,0
92,6.8%,141,949,150,194,0
208,27.2%,89,518,91,63,36
88,10.7%,69,244,44,24,0
91,10.3%,75,348,56,57,0
180,2.2%,127,224,0,0,0
410,7.0%,229,514,46,43,73
626,3.8%,411,626,36,53,118
244,33.3%,131,658,0,0,0
272,32.8%,116,299,0,0,0
103,22.7%,110,875,100,103,92
256,5.4%,177,349,0,0,0
557,3.5%,524,775,82,104,82
778,3.5%,533,778,90,98,42
472,2.1%,161,629,79,81,28
461,2.4%,268,510,0,0,0
221,64.0%,43,228,0,0,0
587,5.1%,506,724,0,0,0
210,1.6%,148,248,0,0,0
63,9.4%,62,299,49,45,0
144,7.0%,119,502,0,0,32
105,6.6%,124,742,99,95,58
241,38.6%,91,350,0,0,118
337,3.3%,200,337,121,0,0
244,4.1%,208,343,0,0,0
51,14.7%,46,449,0,0,146
1021,8.5%,811,1476,0,0,0
261,6.7%,160,283,31,45,0
82,11.3%,102,838,151,151,0
183,0.0%,194,195,0,0,65
16,11.8%,20,161,44,0,0
459,75.0%,58,665,76,73,60
281,29.5%,122,533,51,83,53
686,3.4%,603,858,94,95,81
191,17.1%,101,545,0,0,0
177,29.1%,85,289,0,0,74
107,9.6%,74,157,0,0,0
397,25.7%,167,397,0,0,0
132,6.4%,95,809,112,159,0
350,5.2%,262,612,0,0,0
264,5.3%,188,301,0,0,0
132,6.0%,118,813,175,114,0
314,2.2%,232,370,0,0,0
25,7.0%,25,229,0,0,54
416,10.9%,229,598,0,0,0
259,5.9%,173,287,39,48,0
288,16.0%,161,288,41,51,0
182,11.5%,186,433,0,0,0
345,2.8%,223,495,0,0,0
