hh_id,education_cms,age_65_over,modes_used_tnc,telework_before,commute_subsidy,reduced_vehicle_other,class_structure_middle,school_mode_high,race_asian_cms,attitude_street_bus_lanes,gender_cms,modes_used_scooter,job_type,class_structure_elementary,work_covid_protocols_other,attitude_street_classroom,attitude_street_bike_lanes,vehicle_no_change,age_5_under,employment_change_pay_1,bike_purpose_recreation_cms,student_location,age_5_12,bike_purpose_visit_friend,work_return_barriers_child,disability_concentrating,bike_purpose_appointment,bike_freq,trip_purpose_drop_off,employment_change_new_job,increased_vehicle_transport,modes_used_subway,student,work_mode_cms,age_cms,disability_dressing_cms,delivery_other_location,attitude_transit_subway,modes_used_july_subway,reduced_vehicle_parking,school_mode_middle,changed_other,num_vehicles,dine_location_outdoor_seating,shopping_food_restaurant_2,errand_mode,attitude_shared_tnc,school_type_elementary,attitude_nyc_employment,delivery_major_retailer,race_american_indian_cms,residence_type,shopping_food_restaurant,bike_purpose_recreation,trip_purpose_restaurant,modes_used_july_walk,work_return_barriers_other,trip_purpose_school,modes_used_july_household,medical_telehealth,modes_used_july_other_vehicle,reduced_vehicle_carshare,dine_location_indoor,modes_used_ferry
19945183,5,0,0,8,2,995,995,995,0,2,2,0,2,995,0,5,2,3,0,995,995,995,0,995,995,0,995,5,0,995,995,2,8,104,8,0,0,995,1,995,995,0,2,0,0,9,5,995,5,1,0,1,0,995,0,1,995,0,0,0,0,995,0,2
19486090,7,0,0,7,2,995,995,995,0,1,2,0,2,995,0,2,1,3,0,995,1,995,0,1,995,0,1,1,1,995,995,2,8,103,6,0,0,995,1,995,995,0,0,1,0,9,5,995,5,0,0,1,1,1,0,1,995,0,0,0,0,995,0,0
19874516,7,1,0,4,995,995,995,995,0,3,2,0,1,995,995,1,2,3,0,995,1,995,0,995,995,0,0,3,0,995,995,0,8,995,8,0,0,3,0,995,995,0,1,0,0,2,3,995,5,1,0,1,0,995,0,0,995,0,1,0,0,995,0,0
19133081,7,0,0,2,995,995,995,995,0,2,1,0,995,995,995,2,2,3,0,0,1,995,0,995,995,0,0,3,0,0,995,1,9,105,8,0,0,2,0,995,995,0,0,0,0,9,2,995,5,2,0,1,0,995,0,1,995,0,0,0,0,995,0,0
19967845,7,1,2,4,2,995,995,995,0,1,2,0,4,995,0,5,4,995,0,995,995,995,0,995,995,0,995,5,1,995,0,2,8,105,8,0,0,995,1,995,995,0,0,0,5,997,4,995,5,0,0,1,0,995,5,0,995,0,0,0,1,995,1,0
19682861,6,0,0,2,995,995,995,995,1,1,1,0,1,995,995,2,4,2,0,995,995,6,0,995,0,999,995,5,0,995,995,0,7,995,5,999,0,2,0,995,995,0,1,0,0,2,5,995,3,3,0,995,3,995,0,1,0,0,1,0,0,995,0,0
19580070,3,0,1,8,995,995,995,995,0,1,1,0,995,995,995,2,1,3,0,995,995,995,0,995,995,0,995,5,0,995,995,0,8,105,6,0,0,2,0,995,995,0,0,0,0,9,5,995,2,3,0,1,2,995,0,1,995,0,0,0,0,995,0,0
19090874,2,0,0,8,995,995,995,995,0,4,2,0,1,995,995,2,2,3,0,995,995,995,0,995,0,0,995,5,0,995,995,0,8,105,7,0,0,3,0,995,995,0,1,0,0,2,5,0,2,3,0,1,1,995,0,0,0,0,1,0,0,995,0,0
19702567,6,0,0,8,2,995,995,5,0,2,1,0,3,995,0,2,2,3,0,0,995,995,0,995,995,0,995,5,0,0,995,1,8,102,7,0,0,2,0,995,995,0,1,0,1,9,5,0,5,0,0,1,0,995,1,1,995,0,0,0,0,995,0,0
19724749,7,0,0,8,2,995,995,995,0,5,2,0,4,995,0,5,5,3,0,995,1,995,0,995,995,0,0,5,0,995,995,0,9,105,6,0,1,5,0,995,995,0,1,0,0,2,5,995,5,0,0,1,3,995,0,1,995,0,1,1,0,995,0,0
19324222,1,0,0,8,995,0,995,995,0,2,1,0,995,4,995,4,1,995,1,995,1,6,1,995,995,0,0,4,1,995,995,2,7,995,4,0,0,995,1,0,995,0,0,0,0,9,4,1,4,2,0,1,3,995,0,1,995,0,0,0,0,0,0,0
19818938,6,2,0,8,2,995,995,995,0,1,2,0,3,995,0,3,1,3,0,995,995,995,0,995,995,0,995,5,1,995,995,0,8,100,9,0,0,4,0,995,995,0,1,0,0,2,4,995,5,0,0,1,0,995,0,0,995,0,1,1,0,995,0,0
19698846,5,0,0,995,995,995,995,995,999,3,1,0,995,995,995,3,3,3,0,995,995,995,0,995,995,0,995,5,2,995,995,0,8,105,8,0,0,4,0,995,995,0,1,0,0,9,5,995,5,2,999,1,2,995,0,1,995,0,1,0,0,995,1,0
19398656,7,1,0,8,995,995,995,995,1,2,2,0,1,995,995,1,3,3,0,995,995,995,0,995,0,0,995,5,0,995,995,0,8,102,7,0,0,2,0,995,995,0,0,0,1,2,3,995,5,1,0,3,0,995,1,0,0,0,1,0,0,995,0,0
19292337,6,0,0,8,995,995,995,995,0,2,2,0,995,995,995,2,2,2,0,995,995,995,0,995,995,0,995,4,2,995,995,0,8,105,5,0,0,2,0,995,995,0,0,0,0,9,5,995,3,2,0,1,5,995,0,1,995,0,1,0,0,995,0,0
