name,swdapps_prog7,code_prog4,name_prog5,name_prog10,geappsperseat_prog9,gefilled_prog9,name_prog7,name_prog9,eligibility_prog4,swdapps_prog6,bin,eligibility_prog15,priority1_prog1,code_prog15,geapps_prog8,gradespan,admissionsmethod_prog1,code_prog10,code_prog7,geapps_prog15,geseats_prog10,priority1_prog3,swdapps_prog10,code_prog3,swdfilled_prog5,swdapps_prog13,swdapps_prog3,address,swdfilled_prog14
The Lenox Academy,,,,,,,,,,,3107846.0,,Priority to District 18 students and residents,,,PK-8,Screened,,,,,,,,,,,"525 Lenox Road, Brooklyn, NY 11203",
Community Math & Science Prep,,,,,,,,,,,1062636.0,,,,,6-8,Screened: Language,,,,,,,,,,,"401 West 164 Street, New York, NY 10032",
P.S. 308 Clara Cardwell,,,,,,,,,,,3044493.0,,Priority to continuing students,,,PK-8,Open,,,,,,,,,,,"616 Quincy Street, Brooklyn, NY 11221",
Fannie Lou Hamer Middle School,,,,,,,,,,,2010916.0,,Priority to District 12 students and residents,,,6-8,Open,,,,,,,,,,,"1001 Jennings Street, Bronx, NY 10460",
M.S. 137 America's School of Heroes,,,,,,,,,,,4467457.0,,,,,6-8,Zoned,,,,,,,,,,,"109-15 98 Street, Queens, NY 11417",
Park Slope Collegiate,,,,,,,,,,,3025510.0,,,,,6-12,Open,,,,,,,,,,,"237 7 Avenue, Brooklyn, NY 11215",
Legacy School of the Arts,,,,,,,,,,,3085491.0,,,,,6-8,Composite Score,,,,,,,,,,,"590 Sheffield Avenue, Brooklyn, NY 11207",
I.S. 250 The Robert F. Kennedy Community Middle School,,,,,,,,,,,4147847.0,,Priority to residents of the middle school zone,,,6-8,Open,,,,,,,,,,,"158-40 76 Road, Queens, NY 11366",
School of Performing Arts,,,,,,,,,,,2005660.0,,Priority to District 12 students and residents,,,6-8,Open,,,,,,,,,,,"977 Fox Street, Bronx, NY 10459",
Riverdale Avenue Middle School,,,,,,,,,,,3082253.0,,,,,6-8,Open,,,,,,,,,,,"76 Riverdale Avenue, Brooklyn, NY 11212",
P.S./M.S. 138 Sunrise,,,,,,,,,,,4288640.0,,Priority to continuing students,,,PK-8,Open,,,,,,,,,,,"251-11 Weller Avenue, Queens, NY 11422",
M.S. 839,,,,,,,,,,,3398290.0,,,,,6-8,Open,,,,,,,,,,,"713 Caton Avenue, Brooklyn, NY 11218",
The Riverside School for Makers and Artists,,,,,,,,,,,1088870.0,,Priority to continuing students,,,PK-8,Screened,,,,,,,,,,,"300 West 61St Street, New York, NY 10023",
Accion Academy,,,,,,,,,,,2005660.0,,Priority to District 12 students and residents,,,6-8,Open,,,,,,,,,,,"977 Fox Street, Bronx, NY 10459",
P.S. 121 Nelson A. Rockefeller,,,,,,,,,,,3253281.0,,Priority to continuing students,,,K-8,Open,,,,,,,,,,,"5301 20 Avenue, Brooklyn, NY 11204",
South Bronx Preparatory: A College Board School,,,,,,,,,,,2097038.0,,Priority to District 7 students and residents,,,6-12,Screened,,,,,,,,,,,"360 East 145 Street, Bronx, NY 10454",
Soundview Academy for Culture and Scholarship,,,,,,,,,,,2103869.0,,Priority to residents of the middle school zone,,,6-8,Open,,,,,,,,,,,"885 Bolton Avenue, Bronx, NY 10473",
University Neighborhood Middle School,,,,,,,,,,,1003223.0,,,,,6-8,Screened,,,,,,,,,,,"220 Henry Street, New York, NY 10002",
P.S./I.S. 208,,,,,,,,,,,4529898.0,,Priority to continuing students,,,K-8,Open,,,,,,,,,,,"74-30 Commonwealth Blvd, Queens, NY 11426",
Columbia Secondary School,,,,,,,,,,,1059526.0,,"Priority to students and residents of District 3 north of 96th Street and students and residents of Districts 4, 5, and 6",,,6-12,Screened,,,,,,,,,,,"425 West 123 Street, New York, NY 10027",
J.H.S. 074 Nathaniel Hawthorne,,,,,,,,,,,4163953.0,,,,,6-8,Composite Score,,,,,,,,,,,"61-15 Oceania Street, Queens, NY 11364",
P.S./M.S. 083 Donald Hertz,,,,,,,,,,,2045344.0,,Priority to continuing students,,,K-8,Open,,,,,,,,,,,"950 Rhinelander Avenue, Bronx, NY 10462",
I.S. 584,,,,,,,,,,,2004314.0,,Priority to District 7 students and residents,,,6-8,Screened: Language,,,,,,,,,,,"600 Saint Ann'S Avenue, Bronx, NY 10455",
Albert Shanker School for Visual and Performing Arts,,,,,,,,,,,4006382.0,,Priority to students attending the PS 85 and PS 166 Gifted & Talented Programs,,,6-8,Composite Score,,,,,,,Q126Z,,,16.0,"31-51 21 Street, Queens, NY 11106",
South Bronx International Middle School,,,,,,,,,,,2097111.0,,Priority to District 9 students and residents,,,6-8,Screened: Language,,,,,,,,,,,"1000 Teller Avenue, Bronx, NY 10456",
Bronx Latin,,,,,,,,,,,2004868.0,,Priority to District 12 students and residents,,,6-12,Open,,,,,,,,,,,"800 Home Street, Bronx, NY 10456",
Bronx Alliance Middle School,,,,,,,,,,,2066190.0,,Priority to residents of the middle school zone,,,6-8,Open,,,,,,,,,,,"3750 Baychester Avenue, Bronx, NY 10466",
I.S. 313 School of Leadership Development,,,,,,,,,,,2009400.0,,Priority to residents of the middle school zone,,,6-8,Open,,,,,,,,,,,"1600 Webster Avenue, Bronx, NY 10457",
