schooldbn,name,code_prog1,telephone,name_prog1,geappsperseat_prog8,tophs2,priority1_prog6,swdfilled_prog8,priority1_prog7,sharedbuilding,geseats_prog2,geseats_prog5,code_prog2,admissionsmethod_prog2,geapps_prog13,mathprof,gefilled_prog8,swdappsperseat_prog7,totalstudents,eligibility_prog8,name_prog13,swdapps_prog1,eligibility_prog7,code_prog9,census_tract,code_prog12,geapps_prog3,swdseats_prog8,priority2_prog8,electiveclasses,swdfilled_prog11,eligibility_prog1,geapps_prog11,eligibility_prog13,gefilled_prog5,gefilled_prog12,swdfilled_prog7,geapps_prog6,gefilled_prog6,swdappsperseat_prog4,swdapps_prog8
04M377,Renaissance School of the Arts,M377L,212-534-6072,Renaissance School of The Arts,,,,,,Yes-04M155,,,,,,26.0,,,202.0,,,80.0,,,188.0,,,,,,,Open to students and residents of Manhattan,,,,,,,,,
20K227,J.H.S. 227 Edward B. Shallow,K227A,718-256-8218,The Superintendent's Gifted Program,,Fort Hamilton High School,,,,,424.0,,K227Z,Zoned,,46.0,,,1637.0,,,106.0,,,250.0,,,,,"Algebra I, Art, Ballroom Dancing, Band, Book Club, Chess, Chorus, Coding, Computer Science, Concert Band, Cooking, Creative Writing, Dance, Debate, Drama, Engineering, Fashion, Fitness, Journalism, LEGO Robotics, Library, Living Environment, Math, Music, Newspaper, Peer Mediation, Performing Arts, Photography, Physical Education, Regents Living Environment, Robotics, Science, Specialized High School Test Preparation, Technology, Theater, US History, Yearbook",,Open to students and residents of District 20,,,,,,,,,
20K030,P.S./I.S. 30 Mary White Ovington,K030A,718-491-8440,"Science, Math & Engineering Program",,High School of Telecommunication Arts and Technology,,,,"Yes-20K331,20K940",100.0,,K030Z,Zoned,,51.0,,,974.0,,,97.0,,,68.0,,,,,"Algebra I, Art, Band, Dance, Living Environment, Music, Spanish, Theater, US History, Software Engineering Program (SEP): 3 year program beginning in sixth grade.",,Open to students and residents of District 20,,,,,,,,,
29Q259,Pathways College Preparatory School: A College Board School,Q259L,718-454-4957,Pathways College Preparatory School: An Early College School,,,,,,Yes-29Q192,,,,,,27.0,,,585.0,,,52.0,,,508.0,,,,,,,Open to students and residents of District 29,,,,,,,,,
11X019,P.S. 019 Judith K. Weiss,X019U,718-324-1924,The Judith K. Weiss Woodlawn School (P.S. 19),,New Visions Charter High School for Advanced Math and Science,,,,,,,,,,64.0,,,525.0,,,41.0,,,45102.0,,,,,"Advisory, Algebra I, Art, Chorus, Computer Science, Health, Math, Music, National Junior Honor Society, Physical Education, Science, Spanish, Specialized High School Test Preparation, Student Council, Technology, Visual Arts, Yearbook",,Open to students and residents of the Bronx,,,,,,,,,
10X015,P.S. X015 Institute for Environmental Learning,X015U,718-563-0473,The Institute for Environmental Learning,,Bronx Collaborative High School,,,,,,,,,,54.0,,,485.0,,,55.0,,,255.0,,,,,,,Open to students and residents of the Bronx,,,,,,,,,
30Q126,Albert Shanker School for Visual and Performing Arts,Q126A,,I.S. 126 Albert Shanker School Gifted & Talented program,,William Cullen Bryant High School,,,,,51.0,,Q126L,Open,,39.0,,,625.0,,,13.0,,,77.0,,54.0,,,"Advisory, Algebra I, Art, Chorus, Computer Science, Drama, Foreign Language, Health, Math Team, National Junior Honor Society, Peer Mediation, Physical Education, Regents Living Environment, Saturday Academy, Science, Specialized High School Test Preparation, Visual Arts, Yearbook",,Open to students and residents of District 30,,,,,,,,,
12X286,Fannie Lou Hamer Middle School,X286U,718-319-7270,Fannie Lou Hamer Middle School,,Life Sciences Secondary School,,,,Yes-12X066,,,,,,15.0,,,284.0,,,61.0,,,157.0,,,,,"Advisory, Algebra I, Art, Book Club, Cooking, Dance, Drama, Fitness, Foreign Language, Health, Math, Math Team, Music, Newspaper, Peer Mediation, Physical Education, Saturday Academy, STEM, Student Council, Theater, Visual Arts, Yearbook",,Open to students and residents of the Bronx,,,,,,,,,
03M415,Wadleigh Secondary School for the Performing & Visual Arts,M415S,212-749-5800,Wadleigh Secondary School For the Performing & Visual Arts,,Frederick Douglass Academy III Secondary School,,,,Yes-03M088,,,,,,18.0,,,313.0,,,51.0,,,218.0,,,,,,,Open to students and residents of Manhattan,,,,,,,,,
14K126,John Ericsson Middle School 126,K126U,718-782-2527,The John Ericsson Magnet School for Environmental Engineering (M.S. 126),,Northside Charter High School,,,,,,,,,,25.0,,,328.0,,,72.0,,,499.0,,,,,"Algebra I, Art, Book Club, Chess, Debate, Health, Living Environment, Math, Physical Education, Regents Living Environment, Saturday Academy, Specialized High School Test Preparation, STEM, Student Council, Technology, Urban Advantage, Yearbook, Mid-Winter Break Academy",,Open to students and residents of District 14,,,,,,,,,
