fy_2004,revenue_and_expenditure_summary_in_millions,fy_1987,fy_1999,fy_1986,fy_1996,fy_2007
10570.0,Other Taxes,5538.0,8269.0,4779.0,7094.0,16756.0
,Other Revenues and Transfers:,,,,,
15250.0,All Other,7279.0,11059.0,6954.0,9602.0,21904.0
6013.0,"Personal Income, General Fund Revenue",2163.0,5390.0,1816.0,3920.0,7963.0
33428.0,Total City and Other Revenue Funding,15019.0,24963.0,13679.0,21798.0,43054.0
