fy_1989,fy_2016,fy_2008,fy_2003,fy_2020
5966.0,"19,048",15632.0,8804.0,"19,683"
,,,,
6052.0,"22,929",17476.0,13117.0,"29,020"
,,,,
2611.0,"7,195",5692.0,5618.0,"9,395"
