fy_2000,fy_1981,fy_1988,fy_1990,fy_1992,fy_1983,fy_2011,fy_2002,fy_2017
9044.0,3332.0,5801.0,5934.0,5998.0,3588.0,15098.0,8402.0,"18,725"
-5.0,34.0,45.0,-44.0,-39.0,26.0,402.0,458.0,996
-247.0,0.0,0.0,0.0,0.0,0.0,0.0,-451.0,- 0
5.0,128.0,10.0,5.0,4.0,34.0,5.0,5.0,5
7850.0,3298.0,5382.0,6543.0,7818.0,3787.0,17086.0,8761.0,"24,679"
