total_enrollment,male_num,black_per,grade9
212,116.0,32.1,113
525,258.0,22.5,
206,98.0,41.3,63
789,390.0,9.0,    
214,115.0,41.1,96
407,216.0,16.2,    
2073,1017.0,39.9,707
604,321.0,10.8,
513,129.0,19.9,136
400,248.0,27.5,118
599,302.0,7.5,
170,93.0,24.1,    
427,208.0,75.9,
515,281.0,30.7,109
145,59.0,40.7,1
772,419.0,35.1,1
448,267.0,28.1,107
270,144.0,24.1,102
440,184.0,6.1,126
586,277.0,14.5,    
449,119.0,28.1,90
619,219.0,12.0,173
816,422.0,6.1,    
1507,750.0,29.3,470
4,4.0,25.0,
364,189.0,14.3,
295,149.0,23.7,
183,110.0,37.7,81
605,281.0,8.6,    
469,236.0,0.4,140
433,208.0,13.4,    
343,179.0,25.7,86
575,294.0,3.8,    
571,297.0,14.9,
354,169.0,45.2,110
163,74.0,17.2,
502,326.0,31.9,134
899,470.0,16.8,
997,509.0,3.7,
389,111.0,34.2,116
409,186.0,34.5,
551,271.0,7.3,
282,145.0,26.6,
309,152.0,17.5,119
450,228.0,44.0,
266,123.0,21.1,
162,74.0,34.6,95
551,314.0,4.4,
174,91.0,19.5,
441,220.0,28.3,
244,144.0,12.3,    
685,345.0,4.2,
454,242.0,38.3,
626,324.0,21.4,
419,163.0,7.6,108
298,158.0,38.6,
501,276.0,63.9,
823,453.0,24.2,288
1820,845.0,32.5,759
3287,1934.0,1.2,842
478,247.0,15.1,219
458,231.0,27.3,
433,188.0,46.2,147
355,180.0,23.1,
231,126.0,22.5,
2609,1158.0,32.7,1195
202,105.0,41.1,93
493,247.0,21.3,
237,148.0,35.0,73
2749,1361.0,32.2,1277
814,417.0,20.5,
433,195.0,44.1,135
382,177.0,32.5,146
1599,116.0,39.1,449
594,315.0,9.9,
192,82.0,18.8,44
224,97.0,34.4,131
92,49.0,38.0,21
332,196.0,29.5,148
796,395.0,30.4,
707,266.0,24.3,230
782,369.0,11.6,
2907,1434.0,26.3,1256
528,261.0,23.5,
336,177.0,76.5,
959,453.0,40.7,245
755,330.0,8.1,57
654,357.0,19.6,
247,127.0,38.5,33
318,151.0,20.4,112
461,139.0,46.9,165
663,333.0,18.4,
794,417.0,5.0,
224,100.0,24.1,
703,423.0,6.5,
440,188.0,14.1,109
572,288.0,15.4,
962,480.0,4.1,
520,261.0,9.0,122
354,182.0,16.4,
122,58.0,27.0,122
266,139.0,22.6,
1127,586.0,25.6,168
877,459.0,31.8,
435,221.0,14.9,
663,327.0,29.9,265
2401,1197.0,36.6,972
447,225.0,7.2,
704,328.0,39.5,
1384,722.0,27.2,442
479,179.0,7.5,134
294,160.0,36.1,87
270,94.0,17.4,
551,267.0,5.6,    
793,459.0,5.9,
739,369.0,3.9,
639,319.0,3.9,
133,87.0,31.6,
1004,521.0,12.6,
1,1.0,100.0,
1491,737.0,19.5,450
294,144.0,45.2,101
556,315.0,11.7,
742,379.0,4.9,
430,215.0,32.8,
420,115.0,24.3,86
761,442.0,6.2,
771,403.0,14.1,
67,33.0,73.1,
226,87.0,39.4,6
307,210.0,25.4,115
608,183.0,37.5,219
416,202.0,14.9,
1032,490.0,34.3,251
193,83.0,19.7,
786,414.0,12.5,
423,180.0,46.3,139
261,125.0,11.1,
514,272.0,3.3,
226,137.0,23.5,122
82,44.0,39.0,82
720,356.0,39.7,
826,476.0,29.4,
842,452.0,5.5,
343,170.0,14.3,
579,272.0,8.5,187
410,212.0,21.0,
409,224.0,37.2,122
124,53.0,44.4,42
627,306.0,29.0,
370,182.0,24.3,103
1433,667.0,30.3,380
236,88.0,15.7,
794,368.0,11.8,
397,242.0,19.9,116
334,175.0,15.0,
919,482.0,2.8,    
351,158.0,3.1,    
688,374.0,19.0,
502,257.0,12.9,
376,113.0,35.4,128
1370,726.0,26.0,394
386,115.0,32.1,115
2774,1392.0,30.4,1224
358,157.0,11.2,
46,27.0,2.2,
74,45.0,40.5,6
488,266.0,26.4,18
211,73.0,33.6,37
512,258.0,6.8,
365,155.0,7.9,
378,191.0,44.7,168
637,323.0,3.8,
235,123.0,5.5,40
384,287.0,25.0,109
1394,703.0,14.8,398
181,104.0,18.8,
473,243.0,26.4,
949,481.0,20.3,
361,180.0,11.9,
224,110.0,25.4,
123,61.0,30.9,15
850,423.0,30.9,
366,194.0,33.6,130
546,280.0,8.6,
245,137.0,22.9,    
637,241.0,9.3,158
429,178.0,6.5,125
566,279.0,9.7,
452,207.0,21.7,177
241,95.0,33.2,98
426,233.0,16.9,
325,144.0,14.8,123
2161,1087.0,20.8,926
799,436.0,5.5,
788,391.0,10.5,
521,129.0,35.5,181
617,193.0,15.1,184
843,447.0,35.1,
406,185.0,31.5,
723,365.0,5.9,
402,146.0,28.9,124
588,287.0,15.0,
207,104.0,32.4,49
