facname,borocode,facgroup,xcoord,overagency,bbl,overabbrev,ct2010,captype
METHADONE 1,2,HEALTH CARE,1017447.57561,NYS Department of Health,2033280025.0,NYSDOH,43100.0,
DAEMEN UNIVERSITY-BROOKLYN BRANCH,3,HIGHER EDUCATION,988183.619448,NYC Department of Education,3052990004.0,NYCDOE,22600.0,
NEW YORK EDGE INC,2,YOUTH SERVICES,1014509.35731,NYC Department of Youth and Community Development,2029390093.0,NYCDYCD,15500.0,
THEATRE ARTS PRODUCTION COMPANY SCHOOL,2,SCHOOLS (K-12),1012679.93552,NYC Department of Education,2031430043.0,NYCDOE,37900.0,seats
P.S. 038 THE PACIFIC,3,DAY CARE AND PRE-KINDERGARTEN,989015.065145,NYC Department of Education,3001910001.0,NYCDOE,3900.0,
DREAMYARD PROJECT INC,2,YOUTH SERVICES,1009409.07489,NYC Department of Youth and Community Development,2023870032.0,NYCDYCD,18500.0,
DEMOCRACY PREP HARLEM CHARTER ELEMENTARY,1,SCHOOLS (K-12),1001244.53044,NYC Department of Education,1017520022.0,NYCDOE,20600.0,
"CREATE, INC. RR",1,HEALTH CARE,997783.783439,NYS Office of Addiction Services and Supports,1018230034.0,NYSOASAS,21600.0,
THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,2,HUMAN SERVICES,1014114.2656,NYC Department of Youth and Community Development,2027240186.0,NYCDYCD,15900.0,
60TH STORAGE CORP.,1,TRANSPORTATION,993838.927616,NYC Department of Consumer Affairs,1014147501.0,NYCDCA,11000.0,
BRIGHT HORIZONS AT LONG ISLAND CITY,4,DAY CARE AND PRE-KINDERGARTEN,1001171.62377,NYC Department of Education,4004207501.0,NYCDOE,1900.0,
SIPS KINDER FACILITIES INC.,5,DAY CARE AND PRE-KINDERGARTEN,951470.743365,NYC Department of Health and Mental Hygiene,5042120025.0,NYCDOHMH,13400.0,
LOVE COVENANT CHURCH TEXTILE DROP-OFF SITE,4,SOLID WASTE,1055001.08196,NYC Department of Sanitation,4131960082.0,NYCDSNY,65000.0,
INWOOD HEALTH CENTER,2,HEALTH CARE,1007283.52265,NYS Office of Mental Health,2028650067.0,NYSOMH,20900.0,
SUTTER BALLFIELDS,3,PARKS AND PLAZAS,1015437.16906,NYC Department of Parks and Recreation,3040280001.0,NYCDPR,116000.0,
