uid,address,nta2020,capacity,opname,nta2010,optype,city,addressnum,council,zipcode
05cd737bc18ee7b196f6587ae8cc105d,1904 SURF AVENUE,BK1302,0,NYC Department of Parks and Recreation,BK21,Public,BROOKLYN,1904,47,11224.0
05b5af2fc28217b5e1bc0059d117d3ca,239 WEST 49 STREET,MN0502,0,Encore Community Services,MN17,Non-public,NEW YORK,239,3,10019.0
005f38661cf1d3d81800aff1719bd90a,114 WEST 91 STREET,MN0702,0,Goddard Riverside Community Center,MN12,Non-public,NEW YORK,114,6,10024.0
0060b1812f46f30ec577b7412bfa51d0,81-07 NORTHERN BOULEVARD,QN0301,0,Semillitas Corp.,QN28,Non-public,JACKSON HEIGHTS,81-07,25,11372.0
05864a3cbc3bca7f4becead293af94df,443 39 STREET,BK0702,0,SCO FAMILY OF SERVICES,BK32,,BROOKLYN,443,38,11232.0
0558bc9fbbf2b8d650b2c883cd05e472,5 MINERVA PLACE,BX0702,0,Orchestra of the Bronx,BX28,Non-public,BRONX,5,14,10468.0
01fb37bc36f3ab139fd7f8b9930ea239,142-30 BARCLAY AVENUE,QN0707,0,"Huan-Yu Education Center, Inc.",QN22,Non-public,FLUSHING,142-30,20,11355.0
0193431711418c1cb97fed48f702216f,790 8TH AVE,MN0502,0,790 8th Avenue Parking Corp.,MN17,Non-public,NEW YORK,,3,10019.0
003289bd5abac8d32f751c40bebd986d,59-25 67TH AVENUE,QN0502,0,"Wartburg Receiver, LLC",QN20,Non-public,RIDGEWOOD,,30,11385.0
060aee1f322d991460ba16742972804a,1299 COLLEGE AVENUE,BX0403,0,Africa Redemption Alliance Inc.,BX14,Non-public,BRONX,1299,16,10456.0
04b16825ef0b14a188589c1572d1a933,1163 LENOX ROAD,BK1704,0,"Step By Step Early Childhood Center, Inc.",BK96,Non-public,BROOKLYN,1163,41,11212.0
019484e74b8cf9cb7f2f62ecd2b86262,75 BRIDGEWATER ST,BK0101,0,Toworks Inc,BK76,Non-public,BROOKLYN,,33,11222.0
059106962e55091a50663f5e66e7d182,VAN NAME AVENUE,SI0107,0,NYC Department of Small Business Services,SI12,Public,STATEN ISLAND,,49,10303.0
00b36fd63ed6499612a0391c49f6c8da,16 FLEET WALK,BK0202,0,Nycha-Ingersoll,BK38,Non-public,BROOKLYN,16,35,11201.0
0454adb00f5d7e6749b83ff695db31b7,CKSON AVENUE,BX0102,0,Sunshine Lc Of Jackson Ave Llc,BX34,Non-public,BRONX,609,8,10455.0
000a5f8514ff64c40887d15af3008583,432 ZEREGA AVENUE,BX0903,98,Bobby`S Bus Co. Inc.,BX09,Non-public,BRONX,432,18,10473.0
01be20e22476e1d39ebc744820159d98,75-24 GRAND CENTRAL PARKWAY,QN0602,0,BETH GAVRIEL BUKHARIAN CONGREGATION,QN17,Non-public,FOREST HILLS,75-24,29,11375.0
0312de7e4bde4947c4fce428d5393fe5,141 FLUSHING AVENUE,BK0261,0,"Brooklyn Book Bodega, Inc.",BK99,,BROOKLYN,141,33,11205.0
05f52ce9cd215f62bc31bb707027a3fc,"2529 86TH STREET, BROOKLYN, NY, USA",BK1103,0,2529 86 St,BK29,,BROOKLYN,,43,11214.0
0501b0b81373909a8654cd6001d865d5,667 EASTERN PARKWAY,BK0802,0,YELED V'YALDA 667,BK61,Non-public,BROOKLYN,667,35,11213.0
01ace6034e0523f9340962080f2bd2cd,1002 QUENTIN ROAD,BK1501,0,Aishel Shabbat,BK25,Non-public,BROOKLYN,1002,44,11223.0
04c65f8b30858b452384ef8a63e78f37,60 SACKETT STREET,BK0601,0,BEAM CENTER INC,BK33,,BROOKLYN,60,39,11231.0
0216179d24cacafb8633b26278b021d4,120 EAST 110 STREET,MN1101,0,NYC Housing Authority,MN33,Public,NEW YORK,120,8,10029.0
023db5ff8b71f01fc46fe6dfcea872b2,,BK1201,0,,BK34,,BROOKLYN,,38,11219.0
0414d6be2878c6b252c7019b7f7822e9,16 COURT STREET,BK0201,0,NYC Department of Transportation,BK09,Public,BROOKLYN,16,33,11201.0
053e647aa31bfa8c8181feb099a065d2,2W9SNYNU,MN0702,0,St. Francis Thrift Store,MN12,,NEW YORK,,7,10025.0
02a61207cd2ccf811060bab732eeb1ff,21-25 NAMEOKE AVENUE,QN1401,0,Far Rockaway Church of Christ Food Pantry,QN15,Non-public,FAR ROCKAWAY,21-25,31,11691.0
06023046dce6239c9b09566f59eee863,,BK0102,0,"The New York State Office of Parks, Recreation and Historic Preservation",BK73,,BROOKLYN,,33,11249.0
0568001f6eff29346f38a1cd705a7baf,266 HIMROD STREET,BK0401,0,Church Power Of Good,BK77,Non-public,BROOKLYN,266,37,11237.0
0685f662b8f11c2fd24aef10c691125f,100 ESSEX DRIVE,SI0204,0,Working In Support of Education,SI24,,STATEN ISLAND,100,51,10314.0
0511afe4996e86ed9cd8f52d0a4abc7e,78-23 87 STREET,QN0503,0,THE GREATER RIDGEWOOD YOUTH COUNCIL INC,QN19,,RIDGEWOOD,78-23,32,11385.0
01aacb18d014030f285c951f03f67731,,MN1201,0,,MN36,,NEW YORK,,10,10032.0
058569628bd29006dd2eeecd42dc6a2c,149 WEST 24 STREET,MN0401,0,Frere Independent,MN13,Non-public,NEW YORK,149,3,10011.0
04e8d00ec24be33367e79301714c97a7,141-47 72 AVENUE,QN0801,0,Chazaq Food Pantry,QN37,Non-public,FLUSHING,141-47,24,11367.0
02c180656949d201b918a1eff5eecd2e,899 WESTCHESTER AVENUE,BX0202,0,"Shakespeare Operating, LLC",BX33,Non-public,BRONX,899,17,10459.0
0028d5a345bfe8318462934ca1a90ef3,1402 40 STREET,BK1202,0,YESHIVA HEADSTART 40TH STREET,BK88,Non-public,BROOKLYN,1402,39,11218.0
006d4995c302e75b925dc061e6b41de6,89-11 43RD ST,QN0401,0,Ps 14 Annex,QN29,Non-public,ELMHURST,,25,11373.0
01b22b5ce95bfed7c16fa558b66d5e03,38 COMMERCE STREET,MN0203,0,"Cherry Lane Alternative, Inc.",MN23,Non-public,NEW YORK,38,3,10014.0
03e951dc65ad873ecad57d99b1aa635c,2654 EAST 18 STREET,BK1503,0,Ny Career Training Institute,BK17,Non-public,BROOKLYN,2654,48,11235.0
0249b89f6eecd87dc4d84a94d94f2410,133-14 41 AVENUE,QN0707,0,Chinese American Planning Council Inc,QN22,Non-public,FLUSHING,133-14,20,11355.0
