doitt_id,ct2010,type,coundist,name,:@computed_region_yeji_bk3q,:@computed_region_sbqj_enih
3215,139.0,Free,3.0,mn-04-122503,4.0,10.0
4658,513.0,Free,34.0,bk-01-146050,2.0,56.0
510,21.0,Free,1.0,New Amsterdam,4.0,1.0
3050,263.0,Free,14.0,bx-07-119787,5.0,34.0
3732,63.0,Free,8.0,bx-04-119159,5.0,27.0
1320,131.0,Limited Free,17.0,Horseshoe Playground,5.0,24.0
4699,135.0,Free,39.0,bk-06-145893,2.0,50.0
4122,146.0,Free,5.0,mn-08-134746,4.0,11.0
4.60e+03,25.0,Free,8.0,bx-01-146053,5.0,23.0
3354,140.0,Free,5.0,mn-08-121010,4.0,11.0
3030,141.0,Free,39.0,bk-07-125916,2.0,45.0
3280,80.0,Free,4.0,mn-06-138218,4.0,9.0
307,15.0,Free,35.0,,2.0,54.0
4852,549.0,Free,33.0,bk-01-146093,2.0,56.0
361,207.0,Free,49.0,Port Richmond,1.0,75.0
1243,352.0,Limited Free,47.0,Coney Island Beach & Boardwalk,2.0,35.0
4883,117.0,Free,3.0,mn-04-122406,4.0,6.0
3823,18.0,Free,1.0,mn-03-123367,4.0,4.0
245,429.0,Limited Free,34.0,MARIA HERNANDEZ,2.0,53.0
3631,371.0,Free,41.0,bk-16-126635,2.0,46.0
935,1.0,Limited Free,26.0,Hunter's Point South Park,3.0,66.0
3435,167.0,Free,6.0,mn-07-107927,4.0,12.0
4301,315.0,Free,36.0,bk-08-127044,2.0,49.0
95,515.0,Limited Free,33.0,McCarren Park,2.0,57.0
919,345.0,Limited Free,36.0,St. John's Recreation Center,2.0,49.0
3778,119.0,Free,3.0,mn-05-133354,4.0,8.0
531,9.0,Free,1.0,20,4.0,1.0
1065,16.0,Limited Free,32.0,London Planetree Playground,3.0,60.0
3668,38.0,Free,2.0,mn-03-123820,4.0,5.0
4935,5.0,Free,1.0,Governors Island,4.0,1.0
23,319.0,Free,1.0,The Battery,4.0,1.0
3882,234.0,Free,9.0,mn-10-142554,4.0,20.0
362,1196.0,Free,42.0,Cypress Hills - Brooklyn Public Library,2.0,47.0
3649,31.0,Free,1.0,mn-01-138237,4.0,2.0
4211,74.0,Free,2.0,mn-05-135639,4.0,8.0
1236,171.0,Limited Free,16.0,Claremont Park,5.0,27.0
3717,223.0,Free,7.0,mn-09-111948,4.0,19.0
488,54.0,Free,32.0,Ozone Park,3.0,64.0
1690,11.0,Free,33.0,"Lawrence St (M,R)",2.0,54.0
64,7.0,Free,1.0,11,4.0,1.0
3216,139.0,Free,3.0,mn-04-133373,4.0,10.0
1569,246.0,Free,27.0,PARSONS - ARCHER (JAMAICA CENTER),3.0,61.0
527,9.0,Free,1.0,16,4.0,1.0
3126,66.0,Free,2.0,mn-06-121499,4.0,7.0
4240,65.0,Free,17.0,bx-01-123208,5.0,23.0
4.65e+03,555.0,Free,34.0,bk-01-146012,2.0,56.0
1173,67.0,Limited Free,3.0,Tony Dapolito Recreation Center,4.0,3.0
4044,271.0,Free,10.0,mn-12-120658,4.0,22.0
299,9.0,Free,33.0,,2.0,54.0
4752,25.0,Free,26.0,QUEENS BRIDGE - JACOB A. RIIS Settlement House,3.0,72.0
74600.00%,224.0,Free,9.0,,4.0,18.0
596,14602.0,Free,5.0,86 St (Q),4.0,11.0
895,177.0,Limited Free,39.0,Prospect Park,2.0,50.0
3283,80.0,Free,4.0,mn-05-121596,4.0,8.0
3769,769.0,Free,29.0,qu-06-124181,3.0,70.0
3423,163.0,Free,6.0,mn-07-121315,4.0,12.0
4363,95.0,Free,3.0,mn-05-122453,4.0,8.0
1519,76.0,Free,3.0,"28th Street - Broadway - N, R",4.0,7.0
20600.00%,11201.0,Limited Free,50.0,Midland Beach and Franklin D. Roosevelt Boardwalk,1.0,76.0
428,224.0,Free,39.0,Borough Park - Brooklyn Public Library,2.0,39.0
4018,287.0,Free,25.0,qu-03-134080,3.0,73.0
504,54.0,Free,3.0,Andrew Heiskell Braille & Talking Book Library,4.0,7.0
1629,1501.0,Free,1.0,"Fulton St (J,M,Z,2,3,4,5)/Bway-Nassau St (A,C) (A,C)",4.0,1.0
3922,32.0,Free,2.0,mn-03-123294,4.0,5.0
3166,98.0,Free,4.0,mn-06-121831,4.0,9.0
3446,171.0,Free,6.0,mn-07-133415,4.0,12.0
11,198.0,Free,9.0,Marcus Garvey Park,4.0,16.0
3530,187.0,Free,6.0,mn-07-133638,4.0,15.0
4129,30.0,Free,1.0,mn-03-137173,4.0,4.0
