objectid,latitude,longitude,sourceid,:@computed_region_f5dn_yrer,ssid,ntaname,:@computed_region_efsh_h5xi
11808,40.6947255403,-73.9942270995,LINK-014440,68.0,LinkNYC Free Wi-Fi,Brooklyn Heights-Cobble Hill,16865.0
11791,40.7163550002,-73.9911979994,LINK-014263,70.0,LinkNYC Free Wi-Fi,Chinatown,11723.0
10162,40.8049579997,-73.9413740003,,7.0,Harlem Wi-Fi,East Harlem North,13093.0
10038,40.6682166933,-73.9834274329,,14.0,BPLUNWIRED,Park Slope-Gowanus,17617.0
11614,40.7936690002,-73.9368160005,0,7.0,GuestWiFi,East Harlem North,12426.0
9726,40.8126809996,-73.9393569996,0,18.0,GuestWiFi,Central Harlem North-Polo Grounds,13095.0
10381,40.5783799996,-73.9399199995,,32.0,GuestWiFi,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,13826.0
11483,40.7408361702,-73.9881357799,LINK-013974,11.0,LinkNYC Free Wi-Fi,Hudson Yards-Chelsea-Flatiron-Union Square,12073.0
11458,40.8007811996,-73.94624056,LINK-010897,7.0,LinkNYC Free Wi-Fi,East Harlem North,13093.0
12449,40.797148,-73.9696300005,LINK-001546,20.0,LinkNYC Free Wi-Fi,Upper West Side,12422.0
9847,40.7210259999,-73.8779350001,0,54.0,GuestWiFi,Middle Village,15309.0
10561,40.7414800003,-73.9889399995,0,11.0,GuestWiFi,Hudson Yards-Chelsea-Flatiron-Union Square,12073.0
10858,40.8274409997,-73.9230079996,,50.0,GuestWiFi,West Concourse,10930.0
9857,40.6863709996,-73.9785409997,,68.0,Downtown Brooklyn WiFi,Fort Greene,17619.0
11514,40.6893339998,-73.9819749997,,68.0,Downtown Brooklyn WiFi,Fort Greene,17619.0
9906,40.6893190003,-73.9871619999,,68.0,Downtown Brooklyn WiFi,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,16865.0
10224,40.5845510002,-73.8110030005,0,51.0,GuestWiFi,Hammels-Arverne-Edgemere,20531.0
12171,40.7435997402,-74.0035878803,LINK-012636,12.0,LinkNYC Free Wi-Fi,Hudson Yards-Chelsea-Flatiron-Union Square,12074.0
11509,40.639231,-74.0319329997,0,10.0,GuestWiFi,Bay Ridge,18180.0
10838,40.7202799998,-73.9939149995,,70.0,TransitWirelessWiFi,Chinatown,11723.0
11255,40.706822167,-73.9505289535,LINK-010434,36.0,LinkNYC Free Wi-Fi,North Side-South Side,17613.0
12473,40.7509655202,-73.9741480605,LINK-001675,71.0,LinkNYC Free Wi-Fi,Turtle Bay-East Midtown,12079.0
12180,40.7383023997,-73.9962956503,LINK-012665,12.0,LinkNYC Free Wi-Fi,Hudson Yards-Chelsea-Flatiron-Union Square,12074.0
1164500.00%,40.6950769996,-73.8228169995,0,46.0,GuestWiFi,Richmond Hill,24015.0
12506,40.8314669998,-73.9217469998,LINK-001785,50.0,LinkNYC Free Wi-Fi,West Concourse,10930.0
12405,40.6932189996,-73.9899979996,,68.0,TransitWirelessWiFi,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,16865.0
12567,40.7541399203,-73.99233961,LINK-000489,12.0,LinkNYC Free Wi-Fi,Hudson Yards-Chelsea-Flatiron-Union Square,12080.0
11733,40.8006900003,-73.9619456901,LINK-010982,20.0,LinkNYC Free Wi-Fi,Morningside Heights,12422.0
12181,40.8066299401,-73.9502560898,LINK-012666,18.0,LinkNYC Free Wi-Fi,Central Harlem South,12424.0
12565,40.7669397902,-73.9831552895,LINK-000486,12.0,LinkNYC Free Wi-Fi,Clinton,12081.0
9772,40.7382777799,-74.0056712102,LINK-010844,57.0,LinkNYC Free Wi-Fi,West Village,12077.0
9883,40.692417,-73.987117,,68.0,Downtown Brooklyn WiFi,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,16865.0
1.15e+04,40.5786309996,-74.0768009998,0,31.0,GuestWiFi,Old Town-Dongan Hills-South Beach,10692.0
11899,40.8524117299,-73.93133833,LINK-011495,47.0,LinkNYC Free Wi-Fi,Washington Heights North,13091.0
11437,40.7427595303,-73.9864199897,LINK-010807,11.0,LinkNYC Free Wi-Fi,Hudson Yards-Chelsea-Flatiron-Union Square,12073.0
11720,40.8389890001,-73.8887139998,,34.0,GuestWiFi,park-cemetery-etc-Bronx,11269.0
12002,40.8201024948,-73.9128382274,LINK-011789,49.0,LinkNYC Free Wi-Fi,Melrose South-Mott Haven North,10933.0
9970,40.8548777848,-73.8641435801,,59.0,NYPL,Pelham Parkway,11271.0
12276,40.753149,-73.9728679996,LINK-000330,71.0,LinkNYC Free Wi-Fi,Turtle Bay-East Midtown,12079.0
10085,40.7136065153,-74.0078616724,,56.0,NYPL,SoHo-TriBeCa-Civic Center-Little Italy,11728.0
11464,40.8029842296,-73.9678553303,LINK-010933,20.0,LinkNYC Free Wi-Fi,Morningside Heights,12422.0
12843,40.7724771003,-73.9587668404,LINK-000852,23.0,LinkNYC Free Wi-Fi,Upper East Side-Carnegie Hill,12083.0
12750,40.7611419703,-73.9830902797,LINK-003315,11.0,LinkNYC Free Wi-Fi,Midtown-Midtown South,12081.0
1.05e+04,40.7047004998,-74.0083008003,,56.0,#DwtwnAllianceFreeWiFi,Battery Park City-Lower Manhattan,11726.0
1.09e+04,40.810178,-73.9489240003,,18.0,Harlem Wi-Fi,Central Harlem North-Polo Grounds,12424.0
11732,40.7673067797,-73.92211147,LINK-010981,39.0,LinkNYC Free Wi-Fi,Old Astoria,16859.0
10694,40.7550431903,-73.96855237,LINK-007636,71.0,LinkNYC Free Wi-Fi,Turtle Bay-East Midtown,12419.0
10960,40.798102,-73.950349,,18.0,Harlem Wi-Fi,Central Harlem South,12423.0
11491,40.7312190398,-73.9828270001,LINK-014015,70.0,LinkNYC Free Wi-Fi,East Village,11724.0
10265,40.7185134904,-73.9572313094,LINK-021234,36.0,LinkNYC Free Wi-Fi,North Side-South Side,17613.0
12920,40.7172123501,-73.8354962198,LINK-006882,40.0,LinkNYC Free Wi-Fi,Forest Hills,14786.0
11679,40.8377000004,-73.9084800001,,50.0,GuestWiFi,park-cemetery-etc-Bronx,
11694,40.5733810002,-73.9788719999,,21.0,GuestWiFi,Seagate-Coney Island,18184.0
9820,40.7550150197,-73.9682764104,LINK-020492,71.0,LinkNYC Free Wi-Fi,Turtle Bay-East Midtown,12419.0
10142,40.8011370003,-73.9537779996,,18.0,Harlem Wi-Fi,Central Harlem South,12423.0
