tolongitude,bctsnum
-73.804649,XBC-06-591
-73.907337,DOT-465288-Z0L9
-73.744577,DOT-478772-B0D3
-74.105579,DOT-624162-X9S0
-73.822968,DOT-664992-B6N9
-73.7865,DOT-663089-K8B9
-73.736983,DOT-659718-Q4P5
-73.850431,DOT-647750-G0F1
-74.158747,DOT-627538-L2R6
-7.40e+01,DOT-623940-G0S7
-74.162174,DOT-627697-F0Y2
-73.90748399999998,303768-G7D2
-74.141848,DOT-527550-V3S5
-73.949338,DOT-448715-L3K4
-74.017815,DOT-652794-S2C9
-73.842825,06-1907
-74.00402,DOT-650736-R1K2
-73.849269,DOT-654281-N0Y5
-7419.18%,DOT-524776-Q5G3
-73.703316,DOT-501841-H6W5
-73.981925,DOT-664236-P2B8
-73.815816,DOT-665715-P4Q7
-74.066265,DOT-675605-G8Y2
-73.757582,DOT-666835-G5Z1
-73.956165,DOT-665077-Z8X6
-74.217178,DOT-525169-G7Q6
-73.84953,DOT-653927-S8P0
-73.941387,DOT-648537-S5S6
-73.909216,DOT-638504-J3X5
-73.818271,DOT-651749-N1B6
-73.744748,DOT-666117-R3H0
-73.962863,DOT-625932-X5S8
-73.798321,DOT-673794-S4L2
-73.859138,DOT-654249-N3R8
-73.986764,DOT-624580-H5B9
-73.729667,DOT-650471-V8C0
-73.949571,DOT-448715-L3K4
-73.892482,322147-L0J1
-73.90311599999998,XBC-09-57
-73.988713,DOT-650453-K8S1
-73.932671,DOT-652963-G3S2
-73.793189,DOT-665203-T6B7
-73.907896,DOT-501464-D1Z8
-7.38e+01,DOT-666835-G5Z1
-73.86821,DOT-521373-Z0H9
-73.747354,DOT-611997-Q8S7
-74.215692,DOT-525169-G7Q6
-73.804916,DOT-407677-K6F7
-74.008715,DOT-665599-Q2D9
-73.758857,DOT-674602-P6B5
-73.890223,DOT-625538-N6C2
-73.727119,DOT-632390-G3C4
-73.963186,DOT-674253-V4G0
-7.39e+01,DOT-666700-B6G3
-74.17064281406438,
-7407.10%,DOT-666293-G8F1
-73.954881,DOT-287564-N2T9
-73.972066,DOT-666008-M2H0
-73.724204,DOT-632390-G3C4
-74.130301,DOT-671420-Q1L6
-73.910655,DOT-664929-N1D3
-73.766991,DOT-654265-G1L4
-74.010503,DOT-650736-R1K2
-73.754036,DOT-633887-P9G0
-74.081081,DOT-638121-W3T5
-73.922743,DOT-665157-G4N9
-74.14878799999998,06-37
-74.067109,DOT-653926-G8J4
-73.824517,DOT-650177-V1F4
-73.9066,DOT-648833-W0Z8
-73.880079,DOT-649859-B4N5
-73.8859159558667,DOT-257912-Z8Z3
-7397.66%,17369
-74.011086,DOT-650736-R1K2
-73.905723,DOT-483867-B4K9
-73.836606,DOT-631716-J2X9
-73.980219,DOT-673395-W6J3
