building_id,house_number,counted_homeownership_units,postcode,moderate_income_units,community_board,extremely_low_income_units
930631.0,3474,,10469.0,1.0,BX-12,
1006623.0,29-05A,,11101.0,,QN-01,
,----,1.0,,,QN-10,
877798.0,1450,,10456.0,4.0,BX-04,
1013796.0,633,,10466.0,,BX-12,
930949.0,3458,,10469.0,2.0,BX-12,
109365.0,1305,,10452.0,,BX-04,
956166.0,123,,10303.0,,SI-01,1.0
1016814.0,180,,11207.0,,BK-05,
343596.0,1644,,11210.0,,BK-17,
1006161.0,27-19,,11101.0,,QN-02,
930771.0,3475,,10469.0,,BX-12,
,----,1.0,,,QN-12,
,----,1.0,,,BK-18,1.0
956164.0,119,,10303.0,,SI-01,1.0
,----,2.0,,,BK-16,
132465.0,670,,11215.0,,BK-07,
956126.0,29,,10303.0,,SI-01,1.0
927205.0,303,,11207.0,,BK-05,
37595.0,125,,10025.0,2.0,MN-07,
1014155.0,2769,,10468.0,,BX-07,
1015676.0,23-10,,11101.0,,QN-02,
1014141.0,1806,,10457.0,,BX-05,75.0
3427.0,2013,,10027.0,,MN-10,56.0
1016893.0,130,,10452.0,,BX-04,
812479.0,55,,10303.0,24.0,SI-01,87.0
930627.0,3472,,10469.0,1.0,BX-12,
79328.0,1011,,10459.0,7.0,BX-03,131.0
1014038.0,22-25,,11691.0,,QN-14,
,----,1.0,,,SI-01,
,----,1.0,,,BK-15,
1011483.0,131,,11201.0,,BK-02,
79792.0,1581,,10457.0,,BX-03,
979882.0,21-07,,11102.0,,QN-01,
1017025.0,256,,10457.0,,BX-05,
956150.0,59,,10303.0,,SI-01,1.0
930514.0,3455,,10469.0,,BX-12,
88524.0,390,,10454.0,,BX-01,4.0
321897.0,6,,11221.0,,BK-04,1.0
267282.0,153,,11203.0,,BK-17,
887513.0,2185,,10027.0,1.0,MN-10,
,----,2.0,,,QN-12,
154257.0,219,,11220.0,,BK-07,1.0
930402.0,3438,,10469.0,2.0,BX-12,
97336.0,1129,,10456.0,,BX-04,
95425.0,2040,,10462.0,,BX-09,
9707.0,51,219.0,10002.0,,MN-03,1.0
956128.0,33,,10303.0,,SI-01,1.0
933223.0,3439,,10469.0,4.0,BX-12,
1017566.0,635,8.0,11207.0,8.0,BK-04,
,----,1.0,,1.0,BK-17,
930537.0,3438,,10469.0,4.0,BX-12,
1015674.0,98-10,,11374.0,,QN-06,
854124.0,947,,10456.0,,BX-04,
6072.0,933,,10025.0,6.0,MN-07,1.0
,----,1.0,,,BK-15,
308740.0,762,,11237.0,1.0,BK-04,1.0
956143.0,99,,10303.0,,SI-01,
817417.0,150,,10314.0,,SI-02,77.0
930819.0,3448,,10469.0,1.0,BX-12,
805325.0,1361,,10033.0,54.0,MN-12,
1016726.0,161,,11226.0,,BK-17,
806951.0,985,,10459.0,,BX-02,42.0
1013320.0,2605,,11208.0,,BK-05,18.0
930561.0,3484,,10469.0,3.0,BX-12,
376899.0,827,,11216.0,,BK-08,
930513.0,3449,,10469.0,2.0,BX-12,
805337.0,210,,10002.0,1.0,MN-03,139.0
,----,1.0,,,MN-06,
1015478.0,176,1.0,10306.0,1.0,SI-02,
956153.0,49,,10303.0,,SI-01,1.0
,----,1.0,,,BX-10,
930944.0,3478,,10469.0,,BX-12,
,----,1.0,,,MN-08,
988767.0,2250,,10453.0,,BX-05,
258145.0,1057,,11210.0,,BK-18,
956135.0,79,,10303.0,,SI-01,1.0
,----,3.0,,,BX-12,
92381.0,1083,,10459.0,,BX-02,36.0
671869.0,91-31,,11373.0,3.0,QN-04,1.0
,----,1.0,,,QN-02,
930757.0,3461,,10469.0,3.0,BX-12,
32921.0,351,,10036.0,7.0,MN-04,50.0
,----,1.0,,,BX-06,
