createdon,previouspermitnumber,sidewalkshortdesc,permitnumberofzones,locationgeometry,numberofcontainers,wkt
2025-07-09T22:44:05.000,,CONCRETE,1.0,,,
2025-07-15T10:12:14.000,,,,,,
2025-07-11T09:00:26.000,,,,,,
2025-07-10T15:48:02.000,,CONCRETE,,,,
2025-07-11T12:17:11.000,B162025189A15,,,,,
2025-07-11T09:58:39.000,,,,,,
2025-07-14T12:40:47.000,B162025191A65,,,,,
2025-07-12T09:11:12.000,,,,,,
2020-12-28T13:45:03.000,B012020327A14,CONCRETE,1.0,D70800000114808B6CE71F2D2E4100FC187318310541800F7A760D2E2E4100CC1047DB290541,,"LINESTRING (988815.952000007 173603.05619999766, 988934.73139999807 173371.40970000625)"
2025-07-16T14:59:57.000,,,,,,
2025-07-15T15:38:59.000,,,,,,
2025-07-11T11:03:46.000,B162025188A30,,,,,
2025-07-16T07:39:17.000,,,,,,
2025-07-11T09:33:53.000,,,,,,
2025-07-14T09:46:02.000,,,,,,
2025-07-14T08:37:42.000,,,,,,
2025-07-10T16:40:14.000,B162025184A83,,,,,
2025-07-11T09:18:25.000,,,,,,
2025-07-10T07:17:36.000,,,,,,
2025-07-11T15:07:13.000,,,,,,
2025-07-10T21:26:13.000,B162025186A26,,,,,
2025-07-16T14:59:54.000,,,,,,
2025-07-15T11:48:15.000,,,,,,
2025-07-15T09:17:12.000,,,,,,
2025-07-11T14:16:24.000,,,,,,
2025-07-15T13:41:10.000,,,,,,
2025-07-09T15:14:58.000,B022025149E94,,,,,
2025-07-11T08:12:13.000,,,,,,
2025-07-11T09:58:42.000,,,,,,
2025-07-15T07:21:30.000,,,,,,
2025-07-14T23:31:14.000,,,,,,
2025-07-16T14:59:56.000,,,,,,
2025-07-09T08:26:57.000,B012025177B84,,18.0,,,
2025-07-11T10:20:55.000,,CONCRETE,1.0,,,
2025-07-11T09:33:56.000,,,,,,
2025-07-14T07:05:50.000,,,,,,
2025-07-16T14:59:58.000,,,,,,
2025-07-10T18:22:18.000,,,,,,
2025-07-11T09:47:22.000,B162025184A28,,,,,
2020-12-28T13:45:01.000,B012020327A11,CONCRETE,1.0,D70800000114807B836F582A2E41005839B4CF46054100E9B76F452B2E41007E1D38913F0541,,"LINESTRING (988460.21780000627 174297.96299999952, 988578.71819999814 174066.15240000188)"
2025-07-11T09:37:12.000,B162025188A09,,,,,
2025-07-11T07:48:49.000,,,,,,
2025-07-09T08:26:09.000,B012025177B65,,18.0,,,
2025-07-10T13:08:53.000,,,,,,
2025-07-15T13:07:14.000,,,,,,
2025-07-11T16:05:17.000,B162025188A69,,,,,
2025-07-09T08:26:56.000,B012025177B80,,18.0,,,
2021-01-07T08:43:00.000,,CONCRETE,1.0,D7080000011400492E7F5B292E4100E88C289B4E0541807B836F582A2E41005839B4CF460541,,"LINESTRING (988333.74840000272 174547.39480000734, 988460.21780000627 174297.96299999952)"
2025-07-09T15:35:32.000,,CONCRETE,,,,
2025-07-10T11:27:53.000,,,,,,
