tr6_no,control_no,bin,cycle,submitted_on,qewi_bus_name,filing_date
TR6-805723-8B-N1,805723,1048574,8,,,
TR6-913996-9A-N1,913996,2002852,9,,,
TR6-917408-9A-N1,917408,1090180,9,,,
TR6-805131-8C-N1,805131,1043215,8,,,
TR6-808096-8C-N1,808096,2015481,8,,,
TR6-709737-7A-A1,709737,3326947,7,2016-05-31T00:00:00.000,EXPERION DESIGN GROUP,2016-05-31T00:00:00.000
TR6-916870-9A-N1,916870,2057437,9,,,
TR6-814311-8B-N1,814311,4533965,8,,,
TR6-906155-9C-N1,906155,1053397,9,,,
TR6-905305-9A-N1,905305,1045287,9,,,
TR6-806361-8A-N1,806361,1079356,8,,,
TR6-806053-8A-N1,806053,1083461,8,,,
TR6-814345-8A-N1,814345,4536854,8,,,
TR6-707988-7C-N1,707988,2013018,7,,,
TR6-809632-8B-N1,809632,3338423,8,,,
TR6-918595-9B-N1,918595,3396505,9,,,
TR6-909067-9B-N1,909067,3001482,9,,,
TR6-809148-8A-N1,809148,3002548,8,,,
TR6-810020-8B-N1,810020,3324228,8,,,
TR6-913694-9C-N1,913694,1087266,9,,,
TR6-802365-8C-N1,802365,1016287,8,,,
TR6-810603-8B-N1,810603,4430798,8,,,
TR6-903183-9C-N1,903183,1024811,9,,,
TR6-809661-8A-N1,809661,3342263,8,,,
TR6-901895-9A-N1,901895,1015200,9,,,
TR6-903127-9C-N1,903127,1023750,9,,,
TR6-814253-8B-N1,814253,3154983,8,,,
TR6-701504-7B-I1,701504,1088885,7,2013-06-20T00:00:00.000,KOENIGSBERG ENGINEERING PC,2013-06-20T00:00:00.000
TR6-908104-9C-N1,908104,2015581,9,,,
TR6-904726-9A-A1,904726,1039990,9,2025-11-24T00:00:00.000,"JMA CONSULTANTS, INC/ JMA CONSULTAN",2025-11-24T11:52:42.000
TR6-908087-9B-N1,908087,2015403,9,,,
TR6-802530-8A-N1,802530,1017588,8,,,
TR6-814133-8A-N1,814133,1087657,8,,,
TR6-803784-8B-N1,803784,1031763,8,,,
TR6-808654-8B-N1,808654,2051297,8,,,
TR6-703475-7C-N1,703475,1087637,7,,,
TR6-804125-8C-A1,804125,1081126,8,2019-09-03T00:00:00.000,ZIE,2019-09-03T00:00:00.000
