grade_1,grade_7,grade_5,year,white_1,black,white,female
0,124,0,2016-17,0.193,60,72,200
0,20,44,2015-16,0.191,38,29,81
52,0,73,2017-18,0.261,37,99,166
0,0,0,2015-16,0.057,215,30,377
0,61,61,2015-16,0.614,35,145,122
103,57,80,2015-16,0.62,79,460,373
114,0,98,2018-19,0.204,116,129,315
0,0,0,2017-18,0.554,22,276,256
46,0,0,2014-15,0.65,2,102,63
98,0,90,2017-18,0.601,30,372,305
0,29,0,2015-16,0.436,124,238,407
0,0,0,2016-17,0.081,22,6,44
54,0,50,2016-17,0.274,37,105,179
0,0,0,2015-16,0.026,65,5,88
0,58,0,2015-16,0.423,15,60,64
53,0,0,2015-16,0.589,4,136,102
60,0,57,2017-18,0.506,1,181,174
0,0,0,2016-17,0.02,157,8,217
0,0,0,2014-15,0.019,89,8,306
138,0,96,2018-19,0.62,12,439,357
52,0,50,2018-19,0.463,25,168,189
0,0,0,2015-16,0.019,113,7,207
0,152,0,2014-15,0.679,14,305,231
39,0,49,2017-18,0.586,38,197,161
0,0,0,2017-18,0.026,123,8,166
0,59,0,2016-17,0.099,102,22,98
0,0,0,2015-16,0.011,88,3,142
24,76,32,2018-19,0.025,118,10,185
0,0,0,2015-16,0.032,140,16,169
109,0,125,2014-15,0.741,9,479,344
0,0,0,2014-15,0.019,118,8,256
0,0,0,2017-18,0.449,281,1261,2126
0,0,0,2016-17,0.144,287,209,876
0,0,0,2015-16,0.045,116,19,197
108,0,70,2014-15,0.039,53,25,301
101,0,107,2017-18,0.721,9,463,318
0,0,0,2018-19,0.298,56,123,215
0,0,0,2018-19,0.002,2,1,280
0,97,0,2016-17,0.018,77,5,126
0,0,0,2015-16,0.014,79,3,126
56,0,41,2017-18,0.003,43,1,152
0,0,0,2018-19,0.02,131,8,215
40,0,55,2018-19,0.024,53,7,137
0,0,0,2014-15,0.186,107,83,166
0,105,0,2017-18,0.364,83,273,358
0,0,0,2018-19,0.048,92,20,189
104,0,144,2014-15,0.017,5,15,389
0,0,0,2015-16,0.12,54,41,158
0,0,0,2016-17,0.018,60,10,248
94,0,59,2014-15,0.351,77,183,272
0,0,0,2015-16,0.064,78,15,136
84,0,118,2015-16,0.012,27,8,313
0,0,0,2014-15,0.117,138,42,182
43,0,0,2014-15,0.59,6,95,77
134,0,108,2017-18,0.667,43,502,369
0,67,0,2015-16,0.053,99,10,92
0,0,0,2015-16,0.426,86,228,315
0,342,0,2014-15,0.244,95,262,517
0,220,0,2018-19,0.544,53,305,289
0,0,0,2018-19,0.024,47,3,77
15,15,15,2015-16,0.433,37,120,140
136,0,132,2018-19,0.65,28,584,473
0,0,0,2016-17,0.035,142,17,153
62,0,56,2015-16,0.45,40,141,143
72,0,0,2015-16,0.591,9,165,146
76,0,100,2018-19,0.17,119,93,246
57,0,0,2014-15,0.052,144,13,131
60,0,58,2018-19,0.506,1,182,174
0,133,0,2016-17,0.275,37,106,200
0,125,0,2016-17,0.007,26,3,193
0,0,0,2014-15,0.025,82,9,150
50,0,27,2015-16,0.548,26,164,144
44,0,0,2016-17,0.654,6,136,113
0,0,0,2018-19,0.034,105,15,240
0,0,0,2017-18,0.035,130,20,316
0,0,0,2017-18,0.03,47,5,123
62,77,66,2018-19,0.171,99,103,296
40,0,42,2014-15,0.1,47,27,132
0,0,0,2015-16,0.002,1,1,262
35,0,32,2018-19,0.05,101,13,113
116,0,166,2017-18,0.033,9,30,436
0,0,0,2015-16,0.025,196,9,359
0,0,0,2015-16,0.028,93,10,248
32,0,44,2015-16,0.02,91,4,101
0,365,0,2018-19,0.349,84,390,540
41,62,33,2015-16,0.036,113,14,200
0,19,0,2014-15,0.007,237,3,294
0,76,0,2017-18,0.494,28,115,116
0,102,0,2017-18,0.628,20,213,196
0,0,0,2017-18,0.04,136,20,239
31,0,0,2015-16,0.434,14,66,72
63,0,65,2015-16,0.027,88,12,214
84,0,94,2017-18,0.404,63,218,273
151,0,166,2014-15,0.654,42,572,441
114,0,69,2016-17,0.588,33,353,305
0,134,0,2015-16,0.501,55,203,230
0,0,0,2018-19,0.06,83,25,275
68,0,56,2014-15,0.291,41,122,203
0,0,0,2015-16,0.11,61,21,101
0,128,0,2017-18,0.614,7,237,224
35,0,30,2017-18,0.018,102,3,80
0,8,0,2016-17,0.016,247,6,153
0,84,0,2016-17,0.479,22,102,103
0,0,0,2017-18,0.03,135,8,138
76,0,106,2016-17,0.012,34,7,283
0,0,0,2015-16,0.076,168,58,309
32,0,33,2018-19,0.054,41,12,93
0,0,0,2015-16,0.29,71,112,221
0,0,0,2014-15,0.027,138,9,191
0,0,0,2015-16,0.027,114,11,209
76,113,73,2014-15,0.095,92,77,404
0,0,0,2014-15,0.02,57,4,104
62,55,64,2016-17,0.162,118,92,278
0,0,0,2014-15,0.011,163,5,125
0,0,0,2014-15,0.204,28,674,1359
0,66,0,2018-19,0.023,3,5,115
0,0,0,2018-19,0.053,150,22,222
0,110,0,2014-15,0.339,87,191,162
0,0,0,2017-18,0.601,18,116,100
0,0,0,2017-18,0.06,82,24,275
83,0,65,2016-17,0.453,43,212,224
40,0,42,2015-16,0.024,77,6,123
125,0,112,2014-15,0.702,7,512,362
0,0,0,2018-19,0.038,109,16,213
0,0,0,2017-18,0.107,82,26,199
33,0,0,2014-15,0.385,8,40,45
69,0,50,2015-16,0.621,8,264,195
0,19,0,2017-18,0.011,226,4,122
53,57,49,2016-17,0.03,394,15,264
145,0,119,2015-16,0.64,42,545,428
0,0,0,2014-15,0.235,28,106,269
90,0,92,2015-16,0.041,46,24,277
0,0,0,2017-18,0.026,110,10,280
0,0,0,2016-17,0.031,97,11,247
0,0,0,2016-17,0.514,177,670,840
0,0,0,2015-16,0.311,87,142,257
58,64,53,2017-18,0.512,15,275,266
0,0,0,2016-17,0.179,21,602,1455
102,0,100,2014-15,0.589,41,362,316
0,0,0,2016-17,0.045,55,8,130
0,0,0,2018-19,0.403,66,248,379
0,65,0,2018-19,0.02,107,4,98
0,0,0,2014-15,0.175,209,115,357
0,120,0,2014-15,0.636,14,232,220
162,0,140,2015-16,0.034,9,33,470
0,122,0,2017-18,0.209,51,78,198
0,0,0,2018-19,0.059,130,27,90
91,0,110,2015-16,0.273,94,160,274
0,0,0,2014-15,0.055,89,24,244
0,0,0,2015-16,0.023,166,12,368
0,97,0,2018-19,0.636,29,462,494
31,0,25,2017-18,0.023,64,5,117
0,0,0,2018-19,0.658,14,349,317
0,107,0,2016-17,0.371,87,283,373
52,94,56,2014-15,0.018,171,11,307
97,0,96,2016-17,0.599,11,345,282
0,72,0,2014-15,0.564,70,272,232
0,0,0,2017-18,0.04,136,19,153
64,0,46,2015-16,0.582,12,258,217
0,0,0,2016-17,0.261,90,120,176
34,59,45,2017-18,0.018,144,8,204
0,85,0,2017-18,0.097,60,23,118
0,0,0,2018-19,0.044,214,31,314
0,0,0,2018-19,0.04,70,12,164
0,0,0,2018-19,0.425,17,202,265
0,0,0,2017-18,0.04,95,17,129
0,0,0,2014-15,0.031,142,15,161
15,14,16,2017-18,0.436,38,137,160
0,0,0,2015-16,0.521,24,122,122
0,0,0,2016-17,0.024,11,7,132
18,6,19,2015-16,0.233,42,44,93
128,0,72,2016-17,0.574,39,366,309
0,0,0,2017-18,0.05,106,13,133
0,0,0,2018-19,0.053,490,83,1443
0,0,0,2017-18,0.036,144,19,294
102,0,106,2015-16,0.594,30,363,318
0,0,0,2017-18,0.294,64,121,224
0,0,0,2018-19,0.065,180,75,580
0,448,0,2018-19,0.532,94,733,623
0,0,0,2014-15,0.026,54,5,110
