ell_chinese_1,white_1,math_level_4_2,ell_haitian_creole_2,ela_level_3_1,ell_russian_1,math_level_3_1,female_1,male_1,ela_level_1_1,math_level_4_1
No Data,49,s,No Data,27,No Data,s,393,734,150,s
No Data,1453,11.0%,No Data,1613,No Data,735,14582,11659,1112,551
No Data,609,5.0%,No Data,349,No Data,148,3296,2901,290,57
No Data,335,s,No Data,16,No Data,s,1379,1311,25,s
No Data,585,1.4%,No Data,172,No Data,79,2403,3406,593,18
No Data,274,s,No Data,12,No Data,s,415,508,s,s
No Data,13,s,No Data,s,No Data,s,233,465,84,s
No Data,104,16.5%,No Data,115,No Data,61,1169,1189,53,44
No Data,56,1.4%,No Data,142,No Data,58,2005,2406,311,12
No Data,348,1.7%,No Data,s,No Data,17,694,1322,240,8
s,71,s,s,s,s,s,478,646,185,s
No Data,835,1.5%,No Data,480,No Data,130,4478,5629,499,22
No Data,1767,11.3%,No Data,887,No Data,503,6047,8126,510,273
No Data,2211,17.3%,No Data,562,No Data,259,5315,3628,200,205
No Data,124,s,No Data,14,No Data,s,390,444,17,s
No Data,s,s,No Data,s,No Data,s,100,111,7,s
No Data,481,1.2%,No Data,353,No Data,99,3483,4146,402,14
No Data,857,15.9%,No Data,608,No Data,335,4541,4671,335,256
294,s,s,1.2%,s,s,s,205,283,15,s
No Data,s,17.0%,No Data,15,No Data,7,141,140,18,8
No Data,58,s,No Data,s,No Data,s,312,300,8,s
27,s,s,6.3%,s,s,s,190,239,42,s
No Data,144,s,No Data,s,No Data,s,489,1063,230,s
No Data,s,10.5%,No Data,30,No Data,13,287,243,34,11
No Data,11,s,No Data,s,No Data,s,160,337,60,s
No Data,s,s,No Data,s,No Data,s,626,577,90,s
No Data,149,7.1%,No Data,s,No Data,12,311,312,34,7
No Data,s,s,No Data,s,No Data,s,139,152,24,s
s,43,s,50.3%,s,s,s,143,223,30,s
No Data,s,s,No Data,s,No Data,s,115,147,21,s
No Data,457,8.4%,No Data,392,No Data,223,3751,3491,291,104
No Data,404,8.5%,No Data,567,No Data,219,6002,6349,788,203
No Data,8,s,No Data,s,No Data,s,215,189,36,s
s,22,s,3.2%,s,s,s,297,387,83,s
No Data,20,s,No Data,s,No Data,s,252,306,36,s
No Data,19,s,No Data,s,No Data,s,373,471,23,s
No Data,111,s,No Data,28,No Data,s,427,437,s,s
s,s,s,25.1%,s,s,s,113,134,22,s
No Data,78,s,No Data,s,No Data,s,600,552,30,s
No Data,19,s,No Data,s,No Data,s,86,70,6,s
No Data,31,16.7%,No Data,18,No Data,9,197,234,23,15
No Data,107,14.5%,No Data,258,No Data,135,1753,1379,142,91
No Data,88,1.0%,No Data,188,No Data,64,2121,2396,220,7
No Data,14,s,No Data,s,No Data,s,304,312,11,s
No Data,104,2.1%,No Data,126,No Data,52,2122,2555,230,14
No Data,33,s,No Data,10,No Data,s,408,443,s,s
