ell_spanish_2,asian_2,black_1,hispanic_2,grade_11,ela_level_2_1,ela_level_1_2,other_1,total_enrollment,ell_other_1,ell_korean_1,female_2,ell_urdu_2,district,asian_1,ell_french_2,math_level_1_1,ela_level_3_2,grade_10
No Data,4.8%,750,22.8%,220,92,54.5%,17,1127,No Data,No Data,34.9%,No Data,13,54,No Data,188,9.8%,325
No Data,17.1%,6238,51.4%,6060,2277,19.3%,579,26241,No Data,No Data,55.6%,No Data,2,4482,No Data,1882,28.0%,6926
No Data,5.6%,2539,40.5%,1418,566,22.0%,194,6197,No Data,No Data,53.2%,No Data,15,344,No Data,529,26.5%,1710
No Data,10.7%,796,45.3%,645,28,33.3%,51,2690,No Data,No Data,51.3%,No Data,2,289,No Data,40,21.3%,737
No Data,5.4%,1601,54.4%,1245,581,43.3%,150,5809,No Data,No Data,41.4%,No Data,2,315,No Data,820,12.5%,1569
No Data,20.9%,226,23.6%,202,19,s,12,923,No Data,No Data,45.0%,No Data,21,193,No Data,15,29.3%,268
No Data,2.7%,585,9.7%,167,47,59.6%,13,698,No Data,No Data,33.4%,No Data,29,19,No Data,104,s,208
No Data,32.8%,500,40.6%,585,114,15.9%,24,2358,No Data,No Data,49.6%,No Data,1,773,No Data,78,34.4%,747
No Data,4.9%,2394,37.7%,965,398,35.3%,82,4411,No Data,No Data,45.5%,No Data,19,214,No Data,497,16.1%,1164
No Data,s,789,10.7%,195,60,65.2%,28,931,No Data,No Data,33.6%,No Data,18,s,No Data,140,s,249
No Data,27.4%,661,35.7%,817,158,11.8%,58,3301,No Data,No Data,50.8%,No Data,1,904,No Data,89,33.6%,988
No Data,1.9%,445,75.4%,512,160,36.1%,19,2304,No Data,No Data,47.4%,No Data,32,43,No Data,202,15.8%,757
No Data,4.9%,3111,36.1%,1198,488,33.1%,112,5598,No Data,No Data,43.4%,No Data,19,276,No Data,590,17.5%,1451
93.6%,0.7%,40,95.0%,309,33,85.0%,7,1563,54,s,44.3%,s,6,11,0.9%,243,s,508
No Data,45.5%,53,29.4%,112,32,11.8%,8,1167,No Data,No Data,43.1%,No Data,20,531,No Data,13,36.8%,389
No Data,11.9%,306,52.6%,267,108,50.2%,19,1367,No Data,No Data,37.0%,No Data,25,162,No Data,147,s,381
No Data,1.8%,1473,70.8%,1377,436,42.4%,63,5888,No Data,No Data,48.3%,No Data,12,107,No Data,678,12.7%,1666
90.4%,3.3%,71,90.6%,391,25,87.1%,8,1579,43,s,46.5%,s,12,52,1.7%,214,s,497
No Data,1.2%,715,7.6%,172,19,28.6%,37,868,No Data,No Data,47.8%,No Data,18,10,No Data,20,s,276
No Data,8.7%,280,30.1%,247,57,28.6%,14,1167,No Data,No Data,46.6%,No Data,31,102,No Data,45,s,342
55.6%,s,12,57.4%,8,s,75.0%,s,54,6,s,44.4%,s,23,s,s,7,s,15
No Data,2.3%,253,67.8%,205,54,54.5%,7,918,No Data,No Data,51.0%,No Data,12,21,No Data,118,s,277
No Data,s,195,33.2%,85,8,s,s,328,No Data,No Data,50.3%,No Data,5,s,No Data,6,38.9%,103
No Data,3.5%,380,50.5%,262,75,44.0%,29,1219,No Data,No Data,38.0%,No Data,3,43,No Data,123,17.4%,370
No Data,0.8%,548,67.9%,357,130,63.5%,13,1839,No Data,No Data,36.2%,No Data,9,14,No Data,323,s,504
57.7%,16.1%,s,57.5%,98,17,82.8%,s,539,17,s,39.1%,s,15,87,s,81,s,174
No Data,2.1%,2383,67.5%,1901,677,33.4%,91,8443,No Data,No Data,49.8%,No Data,9,175,No Data,854,20.3%,2292
No Data,21.8%,885,50.7%,2077,882,15.6%,224,9859,No Data,No Data,49.0%,No Data,30,2153,No Data,585,29.6%,2652
No Data,34.8%,3372,15.1%,1811,502,13.7%,142,8006,No Data,No Data,47.8%,No Data,13,2789,No Data,411,31.7%,2079
No Data,8.9%,583,7.7%,161,43,29.4%,12,732,No Data,No Data,52.5%,No Data,29,65,No Data,49,s,249
No Data,6.5%,1348,39.3%,595,251,26.3%,43,2683,No Data,No Data,49.2%,No Data,5,174,No Data,281,24.5%,666
No Data,50.6%,88,17.9%,156,31,s,11,664,No Data,No Data,48.5%,No Data,26,336,No Data,9,41.3%,176
No Data,1.8%,1299,18.1%,419,151,32.7%,26,1687,No Data,No Data,43.4%,No Data,16,30,No Data,172,14.7%,362
75.1%,15.7%,27,75.0%,465,56,82.7%,10,2057,183,s,42.7%,0.8%,24,322,s,276,s,634
No Data,s,395,17.4%,114,s,s,13,512,No Data,No Data,46.7%,No Data,23,s,No Data,8,s,164
24.2%,41.1%,109,23.9%,363,52,81.3%,15,1821,245,s,39.2%,9.6%,21,748,s,154,s,543
No Data,1.5%,1690,70.1%,1425,565,34.9%,65,6511,No Data,No Data,45.4%,No Data,7,98,No Data,703,19.6%,1836
No Data,6.6%,316,55.7%,207,81,42.7%,10,925,No Data,No Data,48.2%,No Data,8,61,No Data,119,s,252
No Data,38.3%,58,36.9%,74,s,s,s,274,No Data,No Data,50.0%,No Data,1,105,No Data,9,33.3%,96
No Data,10.7%,2608,25.8%,4280,1362,17.0%,385,18180,No Data,No Data,48.4%,No Data,31,1949,No Data,1060,30.1%,4766
No Data,1.6%,752,34.4%,227,76,63.9%,18,1225,No Data,No Data,30.9%,No Data,19,20,No Data,196,s,327
64.3%,18.0%,385,64.3%,728,137,74.6%,28,3416,255,s,43.0%,s,2,614,5.5%,408,s,1166
No Data,3.2%,6383,11.6%,1854,607,22.4%,179,7885,No Data,No Data,50.7%,No Data,17,250,No Data,544,27.2%,2085
57.8%,16.3%,16,57.3%,109,29,75.0%,6,602,76,s,37.9%,3.7%,31,98,s,101,s,190
No Data,1.7%,257,67.1%,173,11,45.2%,17,929,No Data,No Data,50.6%,No Data,12,16,No Data,19,s,352
