q49_refused,q34_4,q25_8,age_group,q41,q49_3,q45,q49a_6,bank_status_num,q35_4,q50,q49a_2,q46_text
0,,2,18 - 29,2.0,1,,0,2,1,2,0,
0,,2,18 - 29,1.0,0,1.0,0,1,2,2,0,
0,,2,45 - 59,2.0,0,,1,1,2,2,0,
0,,2,30 - 44,1.0,1,4.0,0,2,1,2,0,
0,,2,18 - 29,2.0,1,,0,2,1,1,0,Never made pAyments on line
0,,2,45 - 59,1.0,1,5.0,0,1,2,2,0,
0,,2,30 - 44,1.0,0,1.0,1,2,2,2,0,
0,,2,18 - 29,1.0,1,1.0,0,3,2,2,0,
0,2.0,2,45 - 59,2.0,1,,0,1,1,2,0,
1,,2,30 - 44,1.0,0,4.0,0,2,2,2,0,
0,,2,30 - 44,1.0,1,4.0,0,1,1,1,0,
0,2.0,2,60+,2.0,0,,0,1,2,2,0,
0,,2,18 - 29,1.0,0,5.0,0,2,2,1,0,
0,2.0,2,60+,2.0,1,,0,1,1,2,0,
0,2.0,2,60+,2.0,0,,1,1,1,2,0,
0,,2,60+,2.0,0,,1,3,1,2,0,
0,1.0,2,45 - 59,2.0,0,,0,3,1,2,0,it's too time consuming.
0,2.0,2,30 - 44,1.0,0,1.0,0,3,2,2,0,
0,2.0,2,60+,2.0,1,,0,1,2,2,0,
0,,2,30 - 44,2.0,1,,0,2,2,2,0,
0,2.0,2,60+,2.0,0,,0,1,1,2,0,
0,,2,45 - 59,2.0,0,,1,2,1,2,0,
0,,2,60+,2.0,0,,1,1,2,2,0,
0,1.0,2,45 - 59,2.0,0,,0,1,1,2,1,
0,,2,60+,2.0,0,,1,1,2,2,0,
0,,2,60+,2.0,0,,0,1,2,2,0,
0,,2,30 - 44,2.0,0,,1,2,2,2,0,
0,,2,45 - 59,2.0,0,,1,1,1,2,0,
0,,2,18 - 29,1.0,1,4.0,0,1,2,2,0,
0,,2,60+,1.0,1,4.0,0,1,1,1,0,
0,,2,18 - 29,1.0,0,2.0,0,1,1,1,0,
0,,2,45 - 59,2.0,0,,1,1,2,2,0,
0,2.0,2,45 - 59,2.0,0,,1,1,2,2,0,
0,,2,18 - 29,1.0,1,4.0,0,1,2,1,0,
0,,2,45 - 59,1.0,1,1.0,0,1,2,2,0,
0,2.0,2,30 - 44,2.0,1,,0,1,2,2,0,
0,1.0,2,18 - 29,2.0,0,,1,1,2,2,0,
0,2.0,2,45 - 59,2.0,0,,1,2,2,2,0,
0,,2,30 - 44,1.0,1,2.0,0,2,1,1,0,
0,,2,18 - 29,2.0,0,,0,3,2,1,0,
0,,2,30 - 44,1.0,0,2.0,0,2,2,2,0,
0,2.0,2,18 - 29,2.0,0,,0,1,1,2,1,
0,,2,18 - 29,1.0,0,1.0,0,2,1,1,0,
0,,2,30 - 44,1.0,0,3.0,0,2,2,1,0,
0,,2,30 - 44,2.0,0,,0,1,2,1,0,
0,,2,30 - 44,1.0,1,4.0,0,1,1,2,0,
0,,2,30 - 44,1.0,1,1.0,0,3,2,1,0,
0,2.0,2,30 - 44,1.0,0,1.0,0,1,2,2,1,
0,,2,18 - 29,2.0,0,,0,1,2,2,0,
0,1.0,2,60+,2.0,0,,1,1,2,-1,0,JUST DON'T WANT TO
0,,2,45 - 59,1.0,0,4.0,1,1,2,2,0,
0,,2,45 - 59,1.0,1,2.0,0,2,2,2,0,
1,,2,45 - 59,,0,,0,3,2,2,0,
0,,2,18 - 29,1.0,0,1.0,0,1,2,2,0,
0,,2,60+,2.0,0,,1,1,1,2,0,
0,,2,60+,2.0,0,,1,1,1,2,0,
0,,2,45 - 59,1.0,1,4.0,0,2,1,1,0,
0,,2,30 - 44,1.0,1,1.0,0,3,2,1,0,
0,2.0,2,60+,2.0,0,,1,3,1,2,0,
0,,2,60+,,0,,1,1,2,2,0,
0,,2,45 - 59,1.0,0,1.0,1,2,2,2,0,
0,,2,30 - 44,2.0,1,,0,3,1,2,0,
0,2.0,2,30 - 44,1.0,1,7.0,0,1,1,2,0,
0,2.0,2,45 - 59,1.0,0,7.0,0,2,2,2,0,
0,,2,45 - 59,2.0,1,,0,1,2,2,0,
0,,2,45 - 59,-1.0,0,,0,3,1,2,0,
0,,2,60+,2.0,0,,1,1,2,2,0,
0,,2,60+,2.0,0,,1,1,2,2,0,some pays for  me
0,,2,60+,2.0,0,,1,1,1,2,0,
0,,2,30 - 44,2.0,0,,0,1,1,1,0,
0,1.0,2,60+,2.0,0,,1,2,2,2,0,
0,,2,18 - 29,2.0,0,,0,1,1,1,0,
0,,2,60+,2.0,0,,1,1,2,2,0,
0,,2,18 - 29,2.0,1,,0,2,2,1,0,
0,,2,18 - 29,,0,,0,3,1,1,0,
0,1.0,2,18 - 29,1.0,0,2.0,0,2,2,1,0,
0,2.0,2,60+,2.0,0,,1,1,1,2,0,"my phone can't do it, my phone can't!!!"
0,2.0,2,30 - 44,2.0,0,,1,2,2,2,0,
0,2.0,2,60+,2.0,0,,1,2,2,2,0,
0,,2,30 - 44,1.0,0,3.0,0,2,1,1,0,
0,1.0,2,60+,2.0,1,,0,1,1,2,0,
0,,2,30 - 44,2.0,0,,1,3,1,2,0,
0,,2,60+,1.0,0,4.0,0,2,1,2,0,
0,,2,30 - 44,2.0,0,,1,1,2,2,0,
0,,2,60+,2.0,0,,1,2,1,2,0,
0,,2,30 - 44,1.0,1,4.0,0,2,1,1,0,
0,,2,30 - 44,1.0,1,4.0,0,1,1,2,0,
0,1.0,2,45 - 59,1.0,0,1.0,0,3,2,1,0,
0,,2,45 - 59,1.0,1,4.0,0,3,2,2,0,
0,,2,30 - 44,1.0,0,1.0,0,2,1,2,0,
0,,2,30 - 44,1.0,0,5.0,0,3,2,2,0,
0,,2,45 - 59,,0,,0,3,2,2,0,
0,,2,18 - 29,2.0,1,,0,3,2,1,0,
0,,2,30 - 44,1.0,1,1.0,0,2,1,1,0,
0,,2,60+,1.0,0,4.0,1,1,2,2,0,
0,,2,45 - 59,2.0,0,,0,1,2,2,1,
0,,2,45 - 59,2.0,0,,0,1,1,2,0,prefer laptop
0,2.0,2,45 - 59,2.0,1,,0,1,1,1,0,
0,,2,45 - 59,1.0,0,4.0,0,2,2,2,0,
0,,2,18 - 29,1.0,0,5.0,0,1,1,-1,0,
0,,2,60+,,0,,1,1,1,2,0,
0,,2,30 - 44,1.0,1,2.0,0,2,1,1,0,
0,1.0,2,45 - 59,2.0,0,,1,2,2,2,0,
0,2.0,2,60+,2.0,0,,1,1,1,2,0,
0,,2,30 - 44,1.0,0,2.0,0,3,2,2,0,
0,,2,18 - 29,2.0,1,,0,3,2,2,0,
0,,2,30 - 44,2.0,0,,0,2,2,1,0,
0,,2,45 - 59,1.0,0,2.0,0,2,1,1,0,
0,2.0,2,45 - 59,,0,,1,2,1,2,0,
0,,2,18 - 29,1.0,1,4.0,0,1,1,1,0,
0,,2,45 - 59,2.0,0,,0,1,1,2,1,
0,,2,60+,2.0,0,,1,3,2,2,0,
0,,2,30 - 44,1.0,1,4.0,0,3,2,1,0,
0,1.0,2,45 - 59,1.0,0,4.0,0,1,1,2,0,
0,,2,45 - 59,2.0,0,,0,2,1,1,0,
0,2.0,2,18 - 29,2.0,1,,0,1,2,2,0,
0,,2,45 - 59,2.0,0,,0,1,2,1,0,Prefer to use cash
0,,2,60+,,0,,1,1,2,2,0,
0,2.0,2,60+,2.0,0,,1,2,1,2,0,none
0,,2,30 - 44,1.0,0,2.0,1,3,1,2,0,
0,,1,60+,2.0,0,,0,2,1,2,0,
0,,2,30 - 44,1.0,0,1.0,0,2,1,1,0,
0,,2,30 - 44,2.0,0,,0,2,2,2,0,
0,,2,45 - 59,2.0,0,,1,1,1,2,0,
0,2.0,2,18 - 29,1.0,0,5.0,1,1,2,2,0,
0,,2,18 - 29,1.0,1,4.0,0,1,2,1,0,
0,1.0,2,45 - 59,2.0,0,,0,2,1,2,0,
0,1.0,2,60+,2.0,0,,1,1,2,2,0,
0,,2,18 - 29,1.0,0,2.0,0,1,2,2,0,
0,,2,30 - 44,1.0,0,2.0,1,1,2,2,0,
0,,2,18 - 29,1.0,1,4.0,0,1,2,2,0,
0,1.0,2,60+,2.0,0,,1,1,2,2,0,
0,,2,30 - 44,2.0,0,,1,3,2,2,0,
0,,2,30 - 44,2.0,1,,0,1,1,2,0,I don't find it to be more convenient than just using cash/credit card. I don't make many purchases with my phone.
0,,2,30 - 44,2.0,0,,0,2,2,2,0,
0,2.0,2,45 - 59,2.0,0,,1,3,2,2,0,
0,2.0,2,60+,2.0,0,,1,1,1,2,0,
0,,2,30 - 44,1.0,0,4.0,0,1,2,2,0,
0,,2,18 - 29,1.0,1,1.0,0,3,2,1,0,
0,,2,45 - 59,2.0,0,,1,3,2,2,0,
0,,2,30 - 44,1.0,1,1.0,0,2,2,2,0,
0,,2,30 - 44,2.0,0,,1,3,2,2,0,
0,2.0,2,45 - 59,2.0,0,,1,1,2,2,0,
0,,2,45 - 59,1.0,1,2.0,0,1,2,1,0,
0,,2,30 - 44,2.0,1,,0,1,1,2,0,
0,,1,45 - 59,1.0,1,2.0,0,2,1,1,0,
0,,2,60+,2.0,0,,1,1,2,2,0,
0,,2,45 - 59,2.0,1,,0,1,2,2,0,
0,,2,60+,,0,,1,2,1,2,0,
0,,2,45 - 59,2.0,0,,1,2,2,2,0,
0,,2,45 - 59,2.0,0,,0,1,1,2,1,
0,,2,60+,1.0,0,1.0,1,1,1,1,0,
0,,2,45 - 59,2.0,0,,1,3,2,2,0,
0,,2,18 - 29,1.0,0,4.0,0,1,2,2,0,
0,,2,45 - 59,2.0,0,,0,1,1,1,0,
0,2.0,2,45 - 59,2.0,0,,0,1,2,2,1,
0,,2,18 - 29,1.0,0,4.0,0,2,1,2,0,
0,,2,30 - 44,1.0,1,4.0,0,3,2,1,0,
0,,2,18 - 29,2.0,0,,1,2,2,2,0,
0,2.0,2,60+,2.0,0,,0,1,1,2,0,
0,,2,18 - 29,1.0,1,1.0,0,2,1,1,0,
0,,2,45 - 59,1.0,0,7.0,0,3,1,2,0,
0,,2,60+,1.0,0,1.0,0,1,1,2,0,
