objectid,boroughcod,bphys_id,within_bnd,the_geom,nonped,accessible,created_da
554,4,13994,,"{'type': 'LineString', 'coordinates': [[-73.84389880528374, 40.715972897654304], [-73.84450861857196, 40.716195366016535]]}",,,2007-11-29T00:00:00.000Z
1052,2,57676,,"{'type': 'LineString', 'coordinates': [[-73.86619866243818, 40.81874525200904], [-73.86523688450005, 40.818874596351144]]}",,,2007-11-29T00:00:00.000Z
119,1,67011,,"{'type': 'LineString', 'coordinates': [[-73.9538432951848, 40.801249906417], [-73.95393382546223, 40.80128858725772], [-73.95400505145118, 40.80131895930351]]}",,,2007-11-29T00:00:00.000Z
366,5,55926,,"{'type': 'LineString', 'coordinates': [[-74.06572450904312, 40.60469862628401], [-74.06576469825119, 40.60463218973074], [-74.0658280233569, 40.60449540935118]]}",,,2007-11-29T00:00:00.000Z
866,3,48231,,"{'type': 'LineString', 'coordinates': [[-73.93376053422068, 40.622275191151765], [-73.9331000693046, 40.6226939290828]]}",,,2007-11-29T00:00:00.000Z
961,2,56018,,"{'type': 'LineString', 'coordinates': [[-73.83760265497382, 40.84296805975399], [-73.83692224197563, 40.843385232995146]]}",,,2007-11-29T00:00:00.000Z
58,3,51498,,"{'type': 'LineString', 'coordinates': [[-73.968363039094, 40.695819367437814], [-73.96769757697724, 40.69579447196773], [-73.96736925277602, 40.69578218721084]]}",V,,2007-11-29T00:00:00.000Z
66,5,98314,,"{'type': 'LineString', 'coordinates': [[-74.19007804151883, 40.547855743755754], [-74.19264184751408, 40.54918230845375]]}",,,2007-11-29T00:00:00.000Z
57,4,83699,,"{'type': 'LineString', 'coordinates': [[-73.79076803298857, 40.74517651759485], [-73.79006859012388, 40.74369394294834]]}",,,2007-11-29T00:00:00.000Z
159,4,92473,,"{'type': 'LineString', 'coordinates': [[-73.91338225516503, 40.77303186844763], [-73.91480012622299, 40.77186925033559]]}",,,2007-11-29T00:00:00.000Z
983,1,2930,,"{'type': 'LineString', 'coordinates': [[-73.94386850665944, 40.8352672602361], [-73.94341184343135, 40.83589018810776]]}",,,2007-11-29T00:00:00.000Z
352,3,47667,,"{'type': 'LineString', 'coordinates': [[-73.94827890939898, 40.613793556890684], [-73.94772682569736, 40.61416971568043]]}",,,2007-11-29T00:00:00.000Z
1025,4,99727,,"{'type': 'LineString', 'coordinates': [[-73.76404947080557, 40.592739046891964], [-73.76495511640358, 40.59264217824335]]}",,,2007-11-29T00:00:00.000Z
571,4,28543,,"{'type': 'LineString', 'coordinates': [[-73.73134684454732, 40.66352231473943], [-73.73299601470266, 40.66265719724735]]}",,,2007-11-29T00:00:00.000Z
506,3,98384,,"{'type': 'LineString', 'coordinates': [[-74.00879773874354, 40.57627782522135], [-74.00939142378262, 40.57691693428744]]}",,,2007-11-29T00:00:00.000Z
213,4,30508,,"{'type': 'LineString', 'coordinates': [[-73.8839409409901, 40.76334655341864], [-73.8836070851272, 40.761511005360596]]}",,,2007-11-29T00:00:00.000Z
549,4,18798,,"{'type': 'LineString', 'coordinates': [[-73.80159393071354, 40.666371106120835], [-73.80160579297522, 40.66631918491172], [-73.80162115475672, 40.66625969628104]]}",V,,2007-11-29T00:00:00.000Z
196,4,97351,,"{'type': 'LineString', 'coordinates': [[-73.81536592326738, 40.74592927571772], [-73.81445147520634, 40.745731630218]]}",,,2007-11-29T00:00:00.000Z
178,2,40525,,"{'type': 'LineString', 'coordinates': [[-73.86822341676469, 40.82742545509296], [-73.86854017175239, 40.82878486353501], [-73.86872032567078, 40.829557973282576]]}",,,2007-11-29T00:00:00.000Z
525,1,30767,,"{'type': 'LineString', 'coordinates': [[-73.95183430010549, 40.760359837911025], [-73.95165916741756, 40.76029515334258], [-73.95151026973383, 40.76019367579191]]}",,,2009-06-16T00:00:00.000Z
