physicalid,continuous,rwjurisdic,seglocstat,l_high_hn,trafdir,to_level_c,r_low_hn,bike_lane,shape_leng,twisted_pa,b_5_sc,stname_lab,l_low_hn,modified_b,lsubsect
30953,,,,50-099,TW,13,50-051,,173.52880258612,N,450010,HOLLIS CT BLVD,50-051,BlockfaceID_LOAD,3D
32551,,,,258-099,TW,13,258-001,,266.56596885486,N,444240,E WILLISTON AV,258-001,BlockfaceID_LOAD,1E
26111,,,,212-099,TW,13,212-025,,242.46237841198,N,418290,91 AV,212-025,BlockfaceID_LOAD,3D
38664,,,X,1099,FT,13,1001,,880.02273090009,N,335180,E 9 ST,1001,BlockfaceID_LOAD,6C
80174,,,,153-031,TF,13,153-001,,348.27045082603,N,412720,61 RD,153-001,BlockfaceID_LOAD,3D
169951,,,,3999,TW,13,3955,,213.69801744759,N,259620,PROVOST AV,3955,O_Ortiz,5E
17274,,,X,119-099,TW,13,119-025,,36.75342157799,N,453790,LIBERTY AV,119-025,BlockfaceID_LOAD,2D
115475,,,,,TW,13,,,816.5183888824,N,525830,DELWIT AV,,BlockfaceID_LOAD,1D
37221,,,,7899,TW,13,7801,2.0,273.97361780495,N,328230,COLONIAL RD,7801,BlockfaceID_LOAD,2D
35019,,,,71,TF,13,51,,271.48939289166,N,550900,TAYLOR ST,51,BlockfaceID_LOAD,3D
45498,,,,4699,TW,13,4601,,270.27863361481,N,340230,FARRAGUT RD,4601,BlockfaceID_LOAD,5E
6054,,,X,121-099,TW,13,121-001,,252.55832535097,N,457190,GUY R BREWER BLVD,121-001,BlockfaceID_LOAD,7C
17633,,,,106-099,TW,13,106-031,,255.6593671432,N,459690,PRINCETON ST,106-031,BlockfaceID_LOAD,2C
83712,,,,134-099,TW,13,134-001,,247.50690565452,N,423350,151 PL,134-001,BlockfaceID_LOAD,7C
46327,,,,,FT,13,,,425.61410886432,N,356230,LINDEN BLVD,,BlockfaceID_LOAD,1B
54972,,,,,FT,13,,,40.38672554983,N,309080,50 ST,,BlockfaceID_LOAD,3D
50391,,,,1449,TW,13,1425,,260.06854801402,N,272920,WARING AV,1425,BlockfaceID_LOAD,3E
47170,,,,0,TW,13,0,,295.94569695991,N,376930,SHORE BLVD,0,BlockfaceID_LOAD,3C
48521,,,X,2777,TW,13,2761,3.0,149.28599423079,N,343910,GERRITSEN AV,2761,BlockfaceID_LOAD,4D
