physicalid,objectid,l_zip,r_high_hn,status,segmentlen,rsubsect,modified_d,collection,created_by,from_level,r_zip,sandist_in,rw_type
25443,772,11436.0,139-098,2,258.21748199,4C,2015-11-07T00:00:00.000Z,,DCP,13,11436.0,,1
95278,34,10465.0,,2,71.22450173,2L,2015-12-22T00:00:00.000Z,,DCP,13,10465.0,,1
96854,344,10462.0,,2,208.78322744,3E,2015-12-22T00:00:00.000Z,,DCP,13,10472.0,,1
27337,1075,11413.0,137-098,2,296.22436895,8C,2015-11-07T00:00:00.000Z,,DCP,13,11413.0,,1
90226,189,11234.0,0,2,260.34014851,4C,2015-11-03T00:00:00.000Z,,DCP,13,11234.0,,1
133145,986,11414.0,158-012,2,544.941004,4D,2016-02-05T00:00:00.000Z,,DCP,13,11414.0,1.0,1
25292,771,11360.0,201-098,2,309.50630167,8E,2015-12-07T00:00:00.000Z,,DCP,13,11360.0,,1
99307,168,11236.0,2070,2,105.9903732,3E,2016-02-05T00:00:00.000Z,,DCP,13,11236.0,,1
31546,691,11422.0,240-098,2,270.39107064,7E,2015-11-03T00:00:00.000Z,,DCP,13,11422.0,,1
68311,937,11385.0,,2,292.65373677,,2015-11-07T00:00:00.000Z,,DCP,13,11385.0,,2
53898,574,10303.0,140,2,180.04170043,4C,2016-01-12T00:00:00.000Z,,DCP,13,10303.0,,1
94398,609,10308.0,65,2,658.8223913,3D,2016-01-12T00:00:00.000Z,,DCP,13,10308.0,,1
163494,765,10469.0,2852,2,703.140713,2E,2015-12-22T00:00:00.000Z,,DCP,13,10469.0,,1
57834,1045,11215.0,290,2,737.52569185,5C,2016-02-05T00:00:00.000Z,,DCP,13,11215.0,,1
132045,579,10002.0,,2,578.04203957,,2015-08-10T00:00:00.000Z,,DCP,17,10002.0,,2
75964,621,11691.0,0,2,154.72248568,3C,2015-09-23T00:00:00.000Z,,DCP,13,11691.0,,1
23116,238,11385.0,598,2,260.48444504,3D,2016-02-05T00:00:00.000Z,,DCP,13,11385.0,,1
2901,65,10031.0,0,2,259.93951614,3A,2015-12-22T00:00:00.000Z,F,DCP,13,10031.0,,1
49424,963,10314.0,0,2,281.3542827,4E,2016-01-12T00:00:00.000Z,,DCP,13,10314.0,,1
89555,276,10471.0,5034,2,202.39752118,3D,2015-12-22T00:00:00.000Z,,DCP,13,10471.0,,1
55856,1029,10305.0,0,2,56.58721336,1C,2016-01-12T00:00:00.000Z,F,DCP,13,10305.0,,1
1136,327,10036.0,748,2,261.83644104,2A,2015-12-07T00:00:00.000Z,,DCP,13,10036.0,,1
66936,211,11413.0,0,2,270.2821908,6E,2015-11-03T00:00:00.000Z,,DCP,13,11413.0,,1
87787,379,10452.0,139,2,227.52646241,2A,2015-12-22T00:00:00.000Z,,DCP,13,10452.0,,1
14521,782,11693.0,0,2,343.3921827,2C,2015-09-23T00:00:00.000Z,,DCP,13,11693.0,,1
82223,400,11357.0,11-098,2,399.70040153,8C,2015-12-07T00:00:00.000Z,,DCP,13,11357.0,,1
72994,399,11207.0,876,2,254.66477007,4E,2016-02-05T00:00:00.000Z,,DCP,13,11207.0,,1
77935,133,11370.0,,2,464.21175848,,2016-06-17T00:00:00.000Z,,DCP,13,11370.0,,1
27469,659,11413.0,224-098,2,250.32182043,8D,2015-11-03T00:00:00.000Z,,DCP,13,11413.0,,1
43867,845,11210.0,3798,2,258.63808679,6E,2016-02-05T00:00:00.000Z,,DCP,13,11210.0,,1
