starea,stlength,wheelchairfootball,field_number,multipolygon,adult_softball,accessible,netball,regulation_soccer,ll_baseb_13andolder,pickleball,track_and_field,tennis,rugby,department,adult_football,councildistrict,surface_type
1201.652359008789,142.7278538350945,False,01,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92251855890547, 40.68014895445546], [-73.9224941539309, 40.68002996472039], [-73.92239667494789, 40.68004049987644], [-73.92242193222376, 40.68016082837157], [-73.92251855890547, 40.68014895445546]]]]}",False,False,False,False,False,False,False,False,False,B-03,False,41,Asphalt
1083.746322631836,137.0860033226738,False,02,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99303769716043, 40.710918786667726], [-73.99319331658933, 40.71089806711612], [-73.99317704097412, 40.710830399968806], [-73.9930218357116, 40.71085283679784], [-73.99303769716043, 40.710918786667726]]]]}",False,False,False,False,False,False,False,False,False,M-03,False,1,Asphalt
1464.451904296875,154.9184655812177,False,02,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91957513105473, 40.808694040833416], [-73.91943410652411, 40.80863434018639], [-73.91937678393568, 40.808713033381], [-73.91951780739646, 40.808772734096564], [-73.91957513105473, 40.808694040833416]]]]}",False,False,False,False,False,False,False,False,False,X-01,False,8,Asphalt
1433.7356872558594,152.24018498762936,False,02,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90161892342766, 40.71892005283232], [-73.90158996873852, 40.71880799468371], [-73.9014676890914, 40.71882630373476], [-73.90149936397243, 40.71893956912426], [-73.90161892342766, 40.71892005283232]]]]}",False,False,False,False,False,False,False,False,False,Q-05,False,30,Asphalt
1841.5885925292969,171.73239859985273,False,02,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9278760955986, 40.77054533124622], [-73.92774054171522, 40.77048157170734], [-73.92766309393947, 40.77057976714888], [-73.92779864557961, 40.77064352677647], [-73.9278760955986, 40.77054533124622]]]]}",False,False,False,False,False,False,False,False,False,Q-01,False,22,Asphalt
1710.3524017333984,166.81570902209864,False,02,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.80544248114312, 40.736395014353064], [-73.80543941510919, 40.73629521556349], [-73.80527264407947, 40.73629848169637], [-73.80527020891228, 40.73639852333149], [-73.80544248114312, 40.736395014353064]]]]}",False,False,False,False,False,False,False,False,False,Q-08,False,24,Concrete
1331.661392211914,146.6232780645624,False,01,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95600420311233, 40.81481608594021], [-73.95592296667135, 40.81472485616485], [-73.95582321925212, 40.81477451912814], [-73.95590318351444, 40.81486623115295], [-73.95600420311233, 40.81481608594021]]]]}",False,False,False,False,False,False,False,False,False,M-09,False,7,Asphalt
913.7568511962892,124.32214566309808,False,01,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96691425054648, 40.69514677723677], [-73.96692657738811, 40.69521157266887], [-73.96706338422756, 40.69519697136663], [-73.96705105725611, 40.69513217504853], [-73.96691425054648, 40.69514677723677]]]]}",False,False,False,False,False,False,False,False,False,B-02,False,35,Asphalt
763.3619689941406,115.6810290665587,False,06,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.08161444639613, 40.59512712211809], [-74.0815824444993, 40.595076790292154], [-74.08146062550539, 40.59512060251056], [-74.0814922600871, 40.59517106430595], [-74.08161444639613, 40.59512712211809]]]]}",False,False,False,False,False,False,False,False,False,R-02,False,50,Asphalt
854.7556610107422,118.0242531788522,False,04,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96348697097, 40.697656049415635], [-73.96350591610816, 40.69772497074014], [-73.96362379146032, 40.6977050734124], [-73.96360505881462, 40.69763681675254], [-73.96348697097, 40.697656049415635]]]]}",False,False,False,False,False,False,False,False,False,B-02,False,35,Asphalt
2749.3876953125,225.74086135895095,False,10,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.7685223410537, 40.77218373711229], [-73.76845047265348, 40.77197826739183], [-73.76832579391542, 40.77200263120866], [-73.76839795677871, 40.77220711374347], [-73.7685223410537, 40.77218373711229]]]]}",False,False,False,False,False,False,False,True,False,Q-11,False,19,Asphalt
1665.6629791259766,170.06097255726783,False,04,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.79540531363844, 40.69424425310639], [-73.79530881379053, 40.694113233052086], [-73.79521459685009, 40.69415660805353], [-73.79530932342541, 40.69428635980862], [-73.79540531363844, 40.69424425310639]]]]}",False,False,False,False,False,False,False,False,False,Q-12,False,28,Asphalt
1118.760711669922,137.23681520257452,False,04,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9826463721866, 40.6979812657513], [-73.9825502845829, 40.69797786079437], [-73.98254184798131, 40.69809281171487], [-73.98263793575, 40.698096217579355], [-73.9826463721866, 40.6979812657513]]]]}",False,False,False,False,False,False,False,False,False,B-02,False,35,Asphalt
1250.569091796875,144.89570223552744,False,08,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9433961761268, 40.65777735005626], [-73.94329425960724, 40.65778382230142], [-73.94330796132306, 40.657904339829294], [-73.94340987802465, 40.65789786847254], [-73.9433961761268, 40.65777735005626]]]]}",False,False,False,False,False,False,False,False,False,B-09,False,40,Asphalt
1191.8384246826172,143.35184161959728,False,02,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95239891405407, 40.69535791292953], [-73.95223736435506, 40.69537906117885], [-73.95225280547585, 40.695450064010885], [-73.95241435534207, 40.695428915740074], [-73.95239891405407, 40.69535791292953]]]]}",False,False,False,False,False,False,False,False,False,B-03,False,36,Asphalt
1121.179214477539,135.99774141565166,False,01,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88432314343697, 40.76203783482957], [-73.88418038177451, 40.76205224535993], [-73.88419443455263, 40.762128744794055], [-73.88433716120925, 40.76211412529395], [-73.88432314343697, 40.76203783482957]]]]}",False,False,False,False,False,False,False,False,False,Q-03,False,21,Asphalt
1173.6883544921875,140.84316409176887,False,01,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9516431020423, 40.82303453017909], [-73.95155818494948, 40.82299794430756], [-73.9514820756453, 40.82310260036505], [-73.95156818126348, 40.82313828449424], [-73.9516431020423, 40.82303453017909]]]]}",False,False,False,False,False,False,False,False,False,M-09,False,7,Asphalt
1097.9806060791016,193.9040717725589,False,01,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92735331092824, 40.61749854288288], [-73.9273482168859, 40.61746333649667], [-73.92704754804515, 40.61748158604686], [-73.92705190802131, 40.61751790952712], [-73.92735331092824, 40.61749854288288]]]]}",False,False,False,False,False,False,False,False,False,B-18,False,46,Sand
1594.5581665039062,160.89185175192864,False,01,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95730024535744, 40.689943364227254], [-73.95732557657387, 40.690065368866364], [-73.9574513676597, 40.69005123145855], [-73.95742693911386, 40.68992885526892], [-73.95730024535744, 40.689943364227254]]]]}",False,False,False,False,False,False,False,False,False,B-03,False,36,Asphalt
1118.9265594482422,136.47945416822176,False,03,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87884091003602, 40.75742819395855], [-73.87874293026051, 40.75743831250847], [-73.87876306148655, 40.75754937417321], [-73.87886104379412, 40.757539253807835], [-73.87884091003602, 40.75742819395855]]]]}",False,False,False,False,False,False,False,False,False,Q-03,False,25,Asphalt
1230.6449127197266,143.41458859825798,False,03,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.73715262189714, 40.669217498954566], [-73.73729410603094, 40.66926539027052], [-73.73733708125563, 40.66919383945972], [-73.73719301394348, 40.6691463340209], [-73.73715262189714, 40.669217498954566]]]]}",False,False,False,False,False,False,False,False,False,Q-13,False,31,Asphalt
1439.7428283691406,153.04803422095432,False,02,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.0005149064647, 40.636735868267195], [-74.0004191136142, 40.6368292749732], [-74.00051388037639, 40.636885505686415], [-74.00060967435702, 40.636792098001486], [-74.0005149064647, 40.636735868267195]]]]}",False,False,False,False,False,False,False,False,False,B-12,False,39,Asphalt
19658.25787353516,534.1801456615872,False,01,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88904963420995, 40.7534604799798], [-73.88904141495814, 40.753503813428026], [-73.88904129348158, 40.753547594123006], [-73.88904927124356, 40.75359095307769], [-73.88906518983218, 40.753633028353285], [-73.88908873329858, 40.753672982171594], [-73.88911943286087, 40.75371001983024], [-73.88915667753356, 40.75374340592253], [-73.88919972713315, 40.75377247605713], [-73.88924772646266, 40.75379665218094], [-73.88929972068794, 40.75381545340031], [-73.88935467545275, 40.75382850590689], [-73.88941149818272, 40.753835550202226], [-73.88946905939312, 40.75383644652191], [-73.88952621400037, 40.75383117755754], [-73.88958182619494, 40.75381984667967], [-73.889634788386, 40.753802679756916], [-73.88957377611298, 40.75345271788913], [-73.88951586521121, 40.75341868265645], [-73.88904963420995, 40.7534604799798]]]]}",False,False,False,False,False,False,False,False,False,Q-03,False,25,Asphalt
1401.3904113769531,150.07280352841897,False,02,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94027611671592, 40.66245832582771], [-73.94015009935609, 40.66246620918988], [-73.94015902757319, 40.662575670706765], [-73.94028504513874, 40.66256778733494], [-73.94027611671592, 40.66245832582771]]]]}",False,False,False,False,False,False,False,False,False,B-09,False,40,Asphalt
1614.8793334960938,161.36792053895684,False,03,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8846521086256, 40.676247075756336], [-73.88468096629919, 40.67636552607745], [-73.88481135690833, 40.67634698720436], [-73.88478250019396, 40.676228536916916], [-73.8846521086256, 40.676247075756336]]]]}",False,False,False,False,False,False,False,False,False,B-05,False,37,Asphalt
1016.978271484375,130.9349690610238,False,08,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95222311305494, 40.6953103299312], [-73.9520801075415, 40.69532698219235], [-73.95209435988087, 40.69539571345804], [-73.95223736435506, 40.69537906117885], [-73.95222311305494, 40.6953103299312]]]]}",False,False,False,False,False,False,False,False,False,B-03,False,36,Asphalt
