dbn,location_name,_19_expulsions,_5_expulsions,_15_removals,_6_removals,_10_principal,_21_principal,_8_superintendent,_12_expulsions,_15_superintendent,_21_expulsions,sy1617_total_removals_suspensions,_22_superintendent,_10_expulsions,_17_superintendent,_18_principal,_19_superintendent,_16_expulsions,_9_superintendent,_17_expulsions,_18_removals,_5_superintendent,_21_removals,_12_superintendent
02M212,P.S. 212 Midtown West,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
04M206,P.S. 206 Jose Celso Barbosa,R,R,R,R,R,R,R,R,R,R,33,R,R,R,R,R,R,R,R,R,R,R,R
05M517,Teachers College Community School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
16K669,Research and Service High School,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R
19K660,W. H. Maxwell Career and Technical Education High,R,R,R,R,R,R,R,R,R,R,67,R,R,R,R,R,R,R,R,R,R,R,R
14K614,Young Women's Leadership School of Brooklyn,R,R,R,R,R,R,R,R,R,R,27,R,R,R,R,R,R,R,R,R,R,R,R
09X274,The New American Academy at Roberto Clemente State,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R,R
01M363,Neighborhood School,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
07X223,M.S. 223 The Laboratory School of Finance and Tech,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R
19K290,P.S. 290 Juan Morel Campos,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R
03M291,West End Secondary School,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
13K483,The Urban Assembly School for Law and Justice,R,R,R,R,R,R,R,R,R,R,55,R,R,R,R,R,R,R,R,R,R,R,R
11X249,Bronx Health Sciences High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
01M134,P.S. 134 Henrietta Szold,R,R,R,10,R,R,R,R,R,R,42,R,R,R,R,R,R,R,R,R,R,R,R
15K442,M.S. 442 Carroll Gardens School for Innovation,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,R,R,R,R,R,R,R
06M223,The Mott Hall School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
05M670,Thurgood Marshall Academy for Learning and Social,R,R,R,R,R,R,R,R,R,R,50,R,R,R,R,R,R,R,R,R,R,R,R
09X297,Morris Academy for Collaborative Studies,R,R,R,R,R,R,R,R,R,R,38,R,R,R,R,R,R,R,R,R,R,R,R
15K429,Digital Arts and Cinema Technology High School,R,R,R,R,R,R,R,R,R,R,67,R,R,R,R,R,R,R,R,R,R,R,R
10X032,P.S. 032 Belmont,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
17K061,M.S. 061 Dr. Gladstone H. Atwell,R,R,R,R,R,R,R,R,R,R,38,R,R,R,R,R,R,R,R,R,R,R,10
15K463,Secondary School for Journalism,R,R,R,R,R,R,R,R,R,R,20,R,R,R,R,R,R,R,R,R,R,R,R
11X287,North Bronx School of Empowerment,R,R,R,R,R,R,R,R,R,R,37,R,R,R,R,R,R,R,R,R,R,R,R
02M040,P.S. 040 Augustus Saint-Gaudens,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X537,Bronx Arena High School,R,R,R,R,R,R,R,R,R,R,23,R,R,R,R,R,R,R,R,R,R,R,R
16K308,P.S. 308 Clara Cardwell,R,R,R,R,R,R,R,R,R,R,24,R,R,R,R,R,R,R,R,R,R,R,7
19K311,Essence School,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R,R
07X456,Alfred E. Smith Campus YABC,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
16K081,P.S. 081 Thaddeus Stevens,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
18K219,P.S. 219 Kennedy-King,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,R,R,R,R,R,R,R
11X160,P.S. 160 Walt Disney,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X568,Young Women's Leadership School of the Bronx,R,R,R,R,R,R,R,R,R,R,32,R,R,R,R,R,R,R,R,R,R,R,R
06M311,Amistad Dual Language School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X117,I.S. 117 Joseph H. Wade,R,R,R,R,R,R,R,R,R,R,55,R,R,R,R,R,R,R,R,R,R,R,R
02M289,I.S. 289,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R,R
09X413,Bronx High School for Medical Science,R,R,R,R,R,R,R,R,R,R,28,R,R,R,R,R,R,R,R,R,R,R,R
03M250,M.S. 250 West Side Collaborative Middle School,R,R,R,R,R,R,R,R,R,R,29,R,R,R,R,R,R,R,R,R,R,R,R
13K901,G. Westinghouse Evening H.S.,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
18K922,South Shore Educational Complex Yabc,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
16K393,Frederick Douglass Academy IV Secondary School,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R
02M393,Business Of Sports School,R,R,R,R,R,R,R,R,R,R,78,R,R,R,R,R,R,R,R,R,R,R,R
10X442,"Celia Cruz Bronx High School of Music, The",R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R,R,R
02M374,Gramercy Arts High School,R,R,R,R,R,R,R,R,R,R,67,R,R,R,R,R,R,R,R,R,R,R,R
13K605,George Westinghouse Career and Technical Education,R,R,R,R,R,R,R,R,R,R,136,R,R,R,R,R,R,R,R,R,R,R,R
11X418,Bronx High School for the Visual Arts,R,R,8,R,R,R,R,R,R,R,68,R,R,R,R,R,R,R,R,R,R,R,R
