asian_1,ell_urdu_2,ell_korean3,ela_level_3_2,ell_russian,asian_2,ell_korean_2,white_2,ell_haitian_creole_1,white_1,ell_arabic_2,ela_level_2_1
9,,,s,,0.005402160864345739,,0.02220888355342137,,37,,102.0
402,,,0.3273809523809524,,0.1085899513776337,,0.03511615343057806,,130,,311.0
221,,,s,,0.3157142857142857,,0.14,,98,,22.0
27,,,s,,0.026188166828322017,,0.02230843840931135,,23,,14.0
107,,,0.10810810810810811,,0.2336244541484716,,0.03711790393013101,,17,,27.0
86,,,0.14739884393063585,,0.017497456765005085,,0.01098677517802645,,54,,464.0
614,s,s,s,29,0.19289978008168396,s,0.05655042412818096,50,180,0.0512095507382972,116.0
255,,,0.2595797280593325,,0.06671899529042387,,0.0630559916274202,,241,,292.0
3439,,,0.29095354523227385,,0.32330544326407823,,0.10275453605339852,,1093,,989.0
s,,,s,,s,,0.030753968253968252,,31,,6.0
s,,,s,,s,,s,,s,,40.0
2088,,,0.19801434087148373,,0.24686687160085127,,0.20028375502482856,,1694,,845.0
338,,,s,,0.29442508710801396,,0.09146341463414634,,105,,32.0
86,s,s,s,s,0.18655097613882862,s,0.16052060737527116,9,74,0.2603036876355748,13.0
77,,,0.34782608695652173,,0.19543147208121828,,0.3883248730964467,,153,,10.0
313,,,s,,0.47496206373292865,,0.18664643399089528,,123,,30.0
204,,,0.24752475247524752,,0.1935483870967742,,0.10246679316888045,,108,,44.0
16,,,s,,0.05423728813559322,,s,,s,,31.0
103,,,s,,0.28065395095367845,,s,,s,,20.0
26,,,s,,0.01588271227855834,,0.010995723885155772,,18,,113.0
17,,,s,,0.024566473988439308,,0.015895953757225433,,11,,32.0
714,0.03015075376884422,0.01256281407035176,s,s,0.4484924623115578,20,0.034547738693467334,s,55,0.01821608040201005,27.0
37,,,s,,0.04468599033816425,,0.025362318840579712,,21,,76.0
109,,,0.15926892950391644,,0.01906594367675354,,0.012943851670456533,,74,,518.0
299,0.02736098852603707,s,s,s,0.263901147396293,s,0.03089143865842895,9,35,0.04060017652250662,8.0
29,,,s,,0.011060259344012205,,0.03966437833714721,,104,,163.0
874,,,0.3484848484848485,,0.2598870056497175,,0.151947665774606,,511,,180.0
158,,,0.13897662665824384,,0.02033200360313988,,0.00990863466735298,,77,,632.0
20,,,s,,0.013783597518952447,,0.03170227429359063,,46,,11.0
273,,,0.16875522138680032,,0.05019305019305019,,0.02592388306674021,,141,,490.0
326,,,0.30972222222222223,,0.10438680755683638,,0.03073967339097022,,96,,274.0
41,,,0.11063829787234042,,0.03436714165968147,,0.11986588432523052,,143,,86.0
s,,,s,,s,,s,,s,,67.0
19,,,s,,0.0407725321888412,,0.03648068669527897,,17,,42.0
310,s,s,s,s,0.649895178197065,s,s,s,s,s,
400,,,0.11938382541720154,,0.049862877088007976,,0.04836699077536774,,388,,662.0
s,,,s,,s,,0.038314176245210725,,20,,17.0
4292,,,0.2543681430312881,,0.3301284516575648,,0.2606722559803092,,3389,,1074.0
297,,,0.08443465491923642,,0.05348460291734198,,0.08806050783360346,,489,,493.0
9,,,s,,0.026706231454005934,,s,,s,,20.0
215,,,s,,0.13862024500322373,,0.08961960025789813,,139,,102.0
61,,,s,,0.05204778156996587,,0.06399317406143344,,75,,40.0
315,0.005467468562055768,s,s,12,0.1722252597047567,s,0.07217058501913615,7,132,0.04811372334609076,43.0
33,,,s,,0.016649848637739658,,0.03985872855701312,,79,,99.0
s,,,s,,s,,s,,s,,8.0
