male_1,ell_chinese2,ela_level_4_1,year,math_level_4_2,ell_urdu_1,hispanic_1,ell_chinese_1,math_level_1_1,district,ela_level_2_2
1125,,s,2015-16,s,,1164.0,,297.0,7,0.2649350649350649
1622,,67,2015-16,0.130374479889043,,2219.0,,214.0,4,0.3702380952380952
377,,s,2015-16,s,,314.0,,20.0,30,0.3793103448275862
492,,s,2015-16,s,,660.0,,30.0,12,0.358974358974359
239,,6,2015-16,s,,148.0,,41.0,27,0.3648648648648648
2585,,24,2015-16,0.02554399243140965,,4032.0,,520.0,6,0.4470134874759152
1779,0.12378259503612944,s,2015-16,0.023474178403755867,s,1999.0,0.1237825950361294,437.0,2,0.1986301369863013
1976,,86,2015-16,0.09582689335394126,,1361.0,,276.0,5,0.3609394313967861
5184,,194,2015-16,0.08520900321543408,,3135.0,,628.0,28,0.4030154849225754
351,,s,2015-16,s,,133.0,,16.0,13,0.5
363,,s,2015-16,s,,223.0,,87.0,5,0.2845528455284553
111,,s,2015-16,s,,30.0,,31.0,29,0.4523809523809524
1200,,s,2015-16,s,,1256.0,,268.0,24,0.3793103448275862
101,s,s,2015-16,s,s,156.0,0.0,40.0,5,0.1951219512195122
396,,s,2015-16,s,,564.0,,104.0,12,0.3557046979865771
701,,s,2015-16,s,,376.0,,76.0,27,0.4879518072289157
2301,,24,2015-16,0.01818181818181818,,411.0,,435.0,29,0.4453488372093023
257,,s,2015-16,s,,70.0,,,23,
228,,s,2015-16,s,,61.0,,20.0,16,0.3703703703703703
8657,,480,2015-16,0.11466372657111357,,9098.0,,1256.0,10,0.3295386458957459
261,,s,2015-16,s,,207.0,,31.0,30,0.3472222222222222
489,0.5022522522522522,s,2015-16,0.0893854748603352,18,179.0,0.5022522522522522,62.0,26,0.2547770700636942
2414,,7,2015-16,0.010514018691588784,,1600.0,,537.0,19,0.4220994475138122
60,,s,2015-16,s,,65.0,,,4,0.5714285714285714
176,,s,2015-16,s,,42.0,,37.0,18,0.4032258064516129
182,,s,2015-16,0.09090909090909091,,86.0,,24.0,26,0.4166666666666667
1527,s,s,2015-16,s,8,2396.0,0.0010968921389396,360.0,10,0.1407035175879397
150,,s,2015-16,s,,125.0,,10.0,5,0.391304347826087
1301,,s,2015-16,s,,1813.0,,231.0,32,0.3689320388349514
558,,s,2015-16,s,,212.0,,32.0,21,0.3088235294117647
967,s,s,2015-16,s,s,1493.0,0.0,308.0,9,0.1047297297297297
1192,,40,2015-16,0.1695501730103806,,972.0,,69.0,1,0.4329608938547486
766,,s,2015-16,s,,152.0,,228.0,17,0.286231884057971
32,s,s,2015-16,s,s,33.0,0.0,,23,
1242,,s,2015-16,s,,1757.0,,223.0,32,0.3657289002557545
4801,,349,2015-16,0.2313705054715998,,1414.0,,385.0,22,0.3005062126092959
401,,s,2015-16,s,,714.0,,79.0,6,0.4375
569,,s,2015-16,s,,731.0,,174.0,9,0.3157894736842105
122,,s,2015-16,s,,32.0,,31.0,16,0.2631578947368421
3679,,21,2015-16,0.0071633237822349575,,4385.0,,846.0,8,0.4237405106970324
4184,,18,2015-16,0.020669992872416252,,5176.0,,810.0,7,0.4071856287425149
766,0.08218125960061444,s,2015-16,s,25,768.0,0.0821812596006144,124.0,30,0.1401273885350318
128,,s,2015-16,s,,177.0,,16.0,32,0.4285714285714285
150,,s,2015-16,s,,108.0,,40.0,15,0.4605263157894737
567,s,s,2015-16,s,6,777.0,0.0010131712259371,166.0,8,0.1595744680851064
402,,s,2015-16,s,,499.0,,109.0,7,0.4228571428571429
