school_name,q2_how_much_do_you_agree_disagree_g_there_is_an_adult_at_the_whom_my_child_trus,q2e_number_strongly_agree,teacher_safety_and_respect_score,parent_engagement_score,q7_my_child_participates_in_the_following_before_or_after_school,student_safety_and_respect_score,q8_how_much_do_you_agree_disagree_my_child_s_offers_a_wide_enough_variety_of_co,enrollment,q1_number_2nd_grade,change_in_parent_engagement_score_2007_2008,q2_how_much_do_you_agree_disagree_d_the_keeps_me_inf_med_about_my_child_s_acade,q1_number_12th_grade,q2a_number_strongly_disagree,horizion_engagement_score,q1_number_5th_grade,horizion_safety_and_respect_score,q11_how_often_do_you_think_a_students_threaten_bully_other_students,teacher_horizon_safety_and_respect_score,teacher_horizon_academic_expectations_score,q2a_number_strongly_agree,teacher_respondents,student_horizon_engagement_score,q2b_number_strongly_agree,student_respondents,q5_how_much_do_you_agree_disagree_c_my_child_s_teacher_s_give_helpful_comments,communication_score,q2e_number_disagree,teacher_response_rate,q2b_number_disagree,change_in_student_academic_expectations_score_2007_2008,q13_how_satisfied_are_you_with_d_your_opp_tunities_to_be_involved_in_your_child,q2c_number_strongly_disagree,q1_number_11th_grade,q2d_number_disagree,q13_how_satisfied_are_you_with_e_the_education_your_child_has_received_this_yea,change_in_parent_academic_expectations_score_2007_2008,change_in_student_communication_score_2007_2008,total_students,q2d_number_strongly_disagree,parent_horizon_engagement_score,q11_how_often_do_you_think_e_students_use_alcohol_illegal_drugs_during_school,q10_how_much_do_you_agree_disagree_answer_this_question_only_if_your_child_s_ha,horizion_academic_expectations_score
P.S. 017 Henry D. Woodworth,7.6,45,7.3,7.5,3.9,.,7.3,373,20,0.9,8.3,0,2,59.4,14,62.1,7.7,52.4,42.5,59,21.0,.,53,.,8.0,6.9,1,0.6,2,.,8.2,2,0,1,8.5,0.3,.,.,1,72.7,10.0,8.6,50.0
M.S. 390,8.0,140,7.0,7.2,4.5,6.6,7.4,522,0,0.8,8.2,0,2,69.0,67,63.6,6.1,56.2,59.6,141,27.0,56.5,126,335,8.2,7.0,16,0.56,17,.,7.6,2,1,15,8.1,0.8,.,411,2,76.7,9.5,8.0,70.4
P.S. 152 Dyckman Valley,7.5,77,7.0,7.2,5.2,.,6.7,970,24,0.7,7.4,0,7,37.5,37,44.8,7.1,45.2,22.5,74,41.0,.,61,.,7.4,6.3,7,0.47,20,.,7.4,7,0,21,7.7,0.4,.,.,4,59.1,9.9,7.1,23.1
J.H.S. 127 The Castle Hill,7.1,44,6.6,6.8,4.9,5.9,6.5,645,0,1.2,7.0,0,2,58.6,1,42.4,4.4,47.9,55.3,42,21.0,43.5,34,459,7.0,6.2,5,0.36,13,0.1,6.9,3,0,16,7.0,0.5,0.3,649,5,63.3,9.0,7.5,51.9
J.H.S. 234 Arthur W. Cunningham,7.1,253,8.3,7.1,3.6,6.5,7.7,1776,0,1.4,7.6,1,3,86.2,1,72.7,6.4,83.3,91.5,318,102.0,65.2,273,1720,7.3,7.0,30,0.87,43,1,7.2,6,0,51,7.5,0.5,0.7,1778,12,73.3,9.2,7.6,81.5
Peace and Diversity Academy,9.2,104,6.7,7.8,1.2,7.7,8.5,324,0,2.3,9.2,33,1,75.9,0,86.7,9.0,51.2,30.2,102,18.0,90.9,102,247,9.1,7.1,1,0.72,1,0.5,9.3,1,30,3,9.1,2.6,1.4,322,2,100.0,9.7,8.2,76.9
I.S. 211 John Wilson,8.1,281,6.8,8.1,7.0,7.4,8.3,708,0,2.3,7.9,0,0,79.3,0,75.8,7.7,52.1,38.3,228,17.0,104.3,251,619,8.6,7.0,2,0.27,4,1.2,7.6,1,0,5,8.0,2,1.6,703,1,106.7,10.0,8.2,63.0
Bronx Engineering and Technology Academy,7.3,25,6.2,7.1,4.6,6.2,6.9,354,0,1.7,7.8,9,0,55.2,0,46.7,6.8,39.0,44.2,25,20.0,45.5,24,263,7.6,6.3,3,0.8,2,0.2,7.8,0,15,5,7.4,0.8,0.1,340,1,77.4,9.3,6.8,57.7
P.S. 306 Ethan Allen,6.5,58,6.2,6.5,3.8,5.6,5.3,730,21,0,6.8,0,5,38.5,31,31.2,4.6,40.0,35.9,58,59.0,31.8,46,202,7.4,6.2,20,0.78,29,0.3,7.4,8,0,22,7.3,1.1,0.3,217,10,37.5,9.9,6.5,37.5
Gateway School for Environmental Research and Technology,6.5,17,6.9,5.3,2.2,.,5.8,414,0,0.1,5.8,14,3,48.3,0,50.0,5.3,56.1,55.8,17,27.0,.,19,.,6.6,5.9,7,0.82,6,.,6.0,4,9,14,6.6,-0.3,.,419,7,19.4,8.3,7.0,42.3
Tag Young Scholars,8.0,69,7.4,7.7,5.4,6.8,7.7,459,12,0.9,8.2,0,1,69.2,21,68.7,7.2,66.7,53.8,77,11.0,59.1,62,167,8.2,6.6,1,0.46,11,1,7.7,1,0,5,8.1,0.4,0.3,169,2,87.5,9.9,8.1,75.0
P.S. 346 Abe Stark,7.4,50,5.8,7.4,4.4,.,6.8,806,20,1.1,7.4,0,4,31.3,42,24.1,5.7,16.7,22.5,75,21.0,.,56,.,8.1,6.2,10,0.31,13,.,7.9,2,0,12,7.9,0.8,.,.,5,68.2,10.0,8.3,30.8
P.S. 157 Benjamin Franklin,8.2,79,8.6,8.1,5.5,.,8.0,333,14,0.3,8.7,0,0,96.9,15,89.7,8.4,83.3,85.0,80,26.0,.,74,.,8.8,8.6,0,0.81,0,.,8.7,1,0,0,8.9,0.3,.,.,0,100.0,10.0,8.2,96.2
A. Philip Randolph Campus High School,6.3,40,6.5,6.5,3.9,6.2,6.7,1495,0,1.1,7.0,28,3,44.8,0,50.0,6.6,46.3,34.9,42,39.0,50,30,108,6.8,5.6,7,0.39,16,0.3,6.7,3,21,18,6.9,0.2,0.4,1418,3,58.1,8.8,7.4,34.6
High School for Environmental Studies,6.7,147,7.3,6.2,3.5,6.5,6.9,1460,0,0.9,6.9,119,8,55.2,0,60.0,6.3,65.9,58.1,142,61.0,50,106,1113,6.9,5.8,50,0.73,52,0.2,6.6,11,101,76,7.2,0.3,0.4,1399,18,48.4,8.5,7.1,57.7
Bronx High School for Medical Science,7.7,55,7.5,6.9,3.4,6,7.4,505,0,1,8.0,9,1,72.4,0,63.3,6.4,70.7,72.1,65,41.0,40.9,54,396,7.9,6.7,5,1.0,6,-0.3,7.5,1,13,7,7.8,0.1,0.4,484,2,71.0,9.3,7.9,69.2
Frederick Douglass Academy III Secondary School,6.9,27,7.5,6.3,3.7,6.6,6.6,498,0,0.5,7.3,9,6,72.4,0,66.7,5.8,70.7,72.1,26,31.0,68.2,24,430,7.0,6.3,5,0.91,8,-0.4,6.8,2,9,11,7.5,0.3,-0.4,498,2,51.6,9.5,7.6,69.2
P.S. 89,7.9,50,8.7,8.0,4.8,.,7.7,512,33,1.1,7.7,0,1,84.4,23,82.8,6.3,85.7,72.5,111,26.0,.,80,.,7.8,7.2,6,0.68,14,.,8.1,2,0,12,7.9,0.6,.,.,3,95.5,9.9,7.8,69.2
P.S. 028 Mount Hope,7.0,51,6.8,7.2,5.5,.,7.1,779,14,0.2,7.9,0,3,50.0,31,41.4,6.4,40.5,52.5,59,30.0,.,46,.,8.0,7.0,5,0.41,7,.,7.7,7,0,6,7.6,-0.1,.,.,4,59.1,9.9,7.7,46.2
P.S. 209,8.7,102,8.6,8.1,4.1,.,8.7,228,30,0.5,9.3,0,0,76.5,0,83.3,9.3,71.1,73.8,127,17.0,.,114,.,9.3,8.2,1,0.77,1,.,9.3,0,0,2,9.5,0.5,.,.,0,78.3,10.0,9.3,85.7
J.H.S. 054 Booker T. Washington,7.4,81,7.1,7.0,4.1,6.7,7.6,877,0,1.2,7.7,0,3,65.5,1,57.6,5.4,58.3,61.7,103,49.0,69.6,104,798,7.6,6.7,6,0.72,31,0.5,7.2,9,0,23,8.3,0.6,0.4,866,4,70.0,9.0,7.2,77.8
The Young Scholars Academy of The Bronx,6.6,45,5.9,6.0,2.7,5.5,5.7,561,0,0.2,6.9,0,3,31.0,1,30.3,4.3,33.3,38.3,36,23.0,21.7,35,520,7.0,5.9,5,0.68,13,0,6.6,7,0,20,6.9,0.3,-0.4,550,6,36.7,9.4,7.0,40.7
Unity Center for Urban Technologies,7.5,32,7.3,6.4,3.3,6.2,5.4,202,0,0.3,7.8,13,0,51.7,0,63.3,6.9,65.9,60.5,25,16.0,27.3,22,137,7.5,6.3,1,0.8,3,0.7,7.3,0,13,4,6.7,0,1.1,177,0,54.8,9.6,7.9,50.0
Providing Urban Learners Success In Education High School,6.9,5,7.9,5.0,1.9,7.3,5.5,125,0,-1.9,7.6,2,1,25.9,0,58.3,8.0,63.6,64.6,6,5.0,36,3,83,5.9,6.4,0,0.38,0,-1.5,7.3,1,2,0,7.3,-1.5,-1,124,1,-6.7,10.0,7.9,44.0
P.S. 290 Manhattan New School,8.1,80,9.0,8.1,4.5,.,8.2,664,43,1,8.3,1,1,109.4,49,89.7,7.4,92.9,92.5,162,26.0,.,139,.,7.8,8.1,6,0.57,13,.,8.3,1,0,11,8.3,0.3,.,.,1,100.0,10.0,7.6,88.5
