school_name,q2_how_much_do_you_agree_disagree_g_there_is_an_adult_at_the_whom_my_child_trus,q2e_number_strongly_agree,teacher_safety_and_respect_score,parent_engagement_score,q7_my_child_participates_in_the_following_before_or_after_school,student_safety_and_respect_score,q8_how_much_do_you_agree_disagree_my_child_s_offers_a_wide_enough_variety_of_co,enrollment,q1_number_2nd_grade,change_in_parent_engagement_score_2007_2008,q2_how_much_do_you_agree_disagree_d_the_keeps_me_inf_med_about_my_child_s_acade,q1_number_12th_grade,q2a_number_strongly_disagree,horizion_engagement_score,q1_number_5th_grade,horizion_safety_and_respect_score,q11_how_often_do_you_think_a_students_threaten_bully_other_students,teacher_horizon_safety_and_respect_score,teacher_horizon_academic_expectations_score,q2a_number_strongly_agree,teacher_respondents,student_horizon_engagement_score,q2b_number_strongly_agree,student_respondents,q5_how_much_do_you_agree_disagree_c_my_child_s_teacher_s_give_helpful_comments,communication_score,q2e_number_disagree,teacher_response_rate,q2b_number_disagree,change_in_student_academic_expectations_score_2007_2008,q13_how_satisfied_are_you_with_d_your_opp_tunities_to_be_involved_in_your_child,q2c_number_strongly_disagree,q1_number_11th_grade,q2d_number_disagree,q13_how_satisfied_are_you_with_e_the_education_your_child_has_received_this_yea,change_in_parent_academic_expectations_score_2007_2008,change_in_student_communication_score_2007_2008,total_students,q2d_number_strongly_disagree,parent_horizon_engagement_score,q11_how_often_do_you_think_e_students_use_alcohol_illegal_drugs_during_school,q10_how_much_do_you_agree_disagree_answer_this_question_only_if_your_child_s_ha,horizion_academic_expectations_score
Repertory Company High School for Theatre Arts,7.9,35,7.3,7.8,6.0,6.4,7.5,204,0,1.2,8.6,10,0,75.9,0,73.3,7.7,65.9,58.1,35,15.0,59.1,23,181,7.5,6.6,1,0.88,2,-0.1,8.1,0,13,1,7.8,0.7,0.3,201,0,100.0,9.9,8.5,61.5
"Heritage School, The",7.7,55,5.3,7.1,4.5,6.4,7.4,333,0,0.9,7.9,17,5,51.7,0,46.7,6.9,17.1,20.9,55,17.0,54.5,46,222,7.4,5.7,7,0.63,13,-0.5,7.9,3,24,6,7.8,0.6,-0.3,326,5,77.4,9.8,8.1,34.6
Landmark High School,8.2,17,7.3,6.5,4.1,6.3,6.8,450,0,0.3,8.2,3,0,72.4,0,56.7,6.1,65.9,67.4,16,21.0,50,11,300,7.8,6.4,0,0.78,1,-0.5,7.0,0,8,0,7.7,0.2,-0.1,431,1,58.1,8.7,7.5,65.4
Jonathan Levin High School for Media and Communications,7.9,32,6.9,7.2,3.7,6,6.9,484,0,1.5,8.2,5,1,62.1,0,53.3,4.7,56.1,53.5,22,10.0,45.5,22,251,7.8,6.3,3,0.21,2,0,8.1,0,8,5,7.9,1.1,0.3,449,0,80.6,9.3,7.5,57.7
Coalition School for Social Change,4.8,20,6.5,4.0,2.7,5.7,2.5,425,0,-1.6,4.5,14,30,17.2,0,6.7,3.0,46.3,46.5,15,24.0,22.7,16,298,5.2,5.3,18,0.71,38,-0.8,4.4,31,26,39,5.0,-2,-0.1,407,24,-22.6,3.7,4.3,15.4
P.S. 047 John Randolph,7.6,291,8.3,7.3,4.4,.,7.3,1122,110,1.2,8.3,0,5,87.5,93,75.9,7.2,76.2,82.5,334,68.0,.,276,.,8.6,8.2,19,0.82,23,.,8.3,6,0,13,8.5,1.1,.,.,1,63.6,9.9,8.0,88.5
Secondary School for Law,6.9,45,5.9,6.0,3.2,5.6,5.6,597,0,1,6.7,17,2,37.9,0,26.7,5.0,31.7,46.5,44,24.0,22.7,40,452,7.0,5.8,10,0.5,21,0.1,6.6,6,25,21,6.7,1.2,0.4,585,8,41.9,7.9,6.7,42.3
Central Park East High School,7.8,60,6.3,6.8,3.7,6.2,6.7,311,0,1,8.2,19,1,58.6,0,53.3,6.5,41.5,60.5,57,24.0,36.4,51,246,7.7,6.5,7,0.92,9,0.2,8.0,1,16,5,7.8,1,0.5,306,2,67.7,9.2,7.8,65.4
Murry Bergtraum High School for Business Careers,6.2,59,6.1,5.4,2.7,5.7,6.1,2774,0,0.4,6.2,28,12,37.9,1,26.7,4.6,36.6,48.8,46,59.0,18.2,42,1800,5.6,5.4,25,0.35,48,-0.1,5.6,9,43,41,6.0,-0.1,0.1,2619,24,22.6,7.9,6.6,30.8
P.S. 305 Dr. Peter Ray,8.2,88,6.6,7.7,4.0,.,7.7,411,26,0.7,8.4,0,0,40.6,19,48.3,7.0,35.7,17.5,98,15.0,.,92,.,8.9,6.6,0,0.41,8,.,8.5,0,0,5,8.4,1,.,.,1,81.8,9.9,8.7,38.5
"Urban Assembly School for Media Studies, The",7.6,17,6.7,7.1,4.8,6.4,5.9,374,0,1.4,8.1,2,0,44.8,0,50.0,6.5,51.2,18.6,20,14.0,63.6,13,236,8.1,5.4,1,0.7,1,0.1,8.1,0,6,2,8.0,1,0.1,370,1,77.4,6.9,7.3,34.6
Urban Academy Laboratory High School,9.3,10,9.0,7.8,4.4,9.2,9.1,138,0,1.2,8.8,6,0,122.2,0,104.2,8.8,97.0,91.7,16,7.0,132,16,74,8.6,8.4,1,0.37,0,-0.4,8.6,0,5,0,9.3,0.2,0.2,137,0,86.7,8.3,7.0,116.0
P.S. 056 Norwood Heights,7.3,62,7.0,7.4,3.0,.,7.2,561,28,0.9,8.2,0,0,81.3,30,51.7,7.0,45.2,85.0,96,28.0,.,76,.,8.5,7.6,8,0.72,2,.,7.9,0,0,6,8.2,0.6,.,.,3,68.2,9.9,8.3,80.8
Sheepshead Bay High School,6.7,124,6.3,6.3,3.4,5.8,7.2,2651,0,1.1,7.0,86,10,55.2,0,30.0,4.3,41.5,46.5,100,152.0,54.5,90,1797,6.6,5.9,23,0.94,47,0.2,6.7,17,86,56,6.7,0.5,0.2,2614,16,51.6,8.1,7.2,42.3
P.S. 268 Emma Lazarus,7.6,171,6.5,7.3,3.7,.,6.8,622,61,0.6,8.2,0,4,43.8,54,44.8,5.9,33.3,42.5,159,33.0,.,141,.,8.4,7.3,7,0.69,8,.,8.2,4,0,12,7.9,0.2,.,.,3,63.6,10.0,8.4,50.0
New Voices School of Academic & Creative Arts,7.2,34,7.7,7.1,4.2,6.7,7.5,418,0,0.7,7.7,0,2,69.0,0,72.7,6.4,70.8,61.7,49,25.0,52.2,40,398,7.2,6.5,5,0.74,5,0.9,7.2,2,0,4,7.6,-0.2,0.5,413,3,73.3,9.6,7.7,66.7
New School @ K314,7.2,58,8.0,7.1,4.4,.,7.3,768,33,0.1,7.8,0,2,75.0,19,65.5,7.1,69.0,72.5,68,37.0,.,62,.,7.8,7.5,5,0.5,10,.,7.4,1,0,8,7.9,0.4,.,.,3,54.5,10.0,7.9,65.4
P.S. 360,7.1,67,8.2,7.0,3.5,7.7,6.6,493,13,0.6,7.9,0,1,75.0,25,62.1,6.4,73.8,80.0,76,28.0,81,70,60,7.8,7.3,8,0.68,19,0.9,7.7,3,0,8,7.8,0.4,0.1,63,4,50.0,9.9,7.8,73.1
P.S. 213 New Lots,7.6,145,7.0,7.5,4.7,.,7.4,499,47,0.9,8.0,0,3,53.1,50,51.7,6.2,45.2,42.5,161,31.0,.,141,.,8.7,6.8,9,0.69,15,.,8.3,1,0,18,8.4,1,.,.,1,72.7,9.9,8.2,53.8
P.S. 106 Parkchester,7.3,318,7.2,7.0,3.6,.,6.7,1238,118,0.7,8.1,0,8,53.1,117,51.7,6.9,50.0,52.5,359,85.0,.,304,.,8.3,7.2,31,0.99,48,.,7.9,9,0,32,8.0,0.6,.,.,9,50.0,9.8,7.9,53.8
"Science, Technology and Research Early College High School at Erasmus",7.2,74,5.9,6.5,3.1,5.9,6.6,488,0,0.4,7.7,13,3,44.8,0,43.3,6.3,31.7,46.5,67,21.0,31.8,41,392,7.6,5.9,1,0.58,9,0,7.3,1,32,10,7.3,0.6,0.3,470,2,58.1,9.1,7.6,53.8
Edward A.Reynolds West Side High  School,7.8,25,8.2,7.0,3.6,8,7.6,591,0,1,7.7,31,2,70.4,0,70.8,7.7,72.7,60.4,32,31.0,56,27,297,7.7,6.8,3,0.66,2,0.1,7.8,2,16,6,7.8,0.3,0.6,468,2,60.0,9.1,8.6,56.0
P.S. 091 Bronx,7.3,45,7.0,7.0,3.6,.,6.4,764,16,0.2,8.2,0,1,53.1,19,51.7,7.4,45.2,55.0,55,37.0,.,38,.,8.3,6.8,5,0.54,3,.,8.1,2,0,4,8.3,0.4,.,.,0,50.0,9.8,8.0,57.7
P.S. 003 Charrette School,8.8,76,8.6,8.5,5.1,.,8.5,585,26,0.6,8.8,1,0,106.3,27,82.8,6.9,83.3,85.0,148,31.0,.,115,.,8.8,8.3,2,0.76,8,.,9.1,0,0,3,8.8,1.1,.,.,1,118.2,10.0,8.4,92.3
P.S. 125 Ralph Bunche,7.3,50,5.3,7.3,5.4,6.6,7.1,404,3,1.2,8.0,0,3,43.8,25,13.8,5.7,4.8,12.5,61,12.0,23.8,52,69,8.3,6.4,8,0.32,12,.,7.8,1,0,4,7.8,0.9,.,72,3,63.6,9.9,7.3,34.6
P.S. 203 Floyd Bennett,7.6,71,6.1,7.4,3.6,.,7.1,935,28,0.6,8.2,0,3,59.4,26,34.5,6.8,23.8,60.0,89,35.0,.,76,.,8.6,7.2,2,0.48,9,.,8.1,5,0,7,8.3,0.5,.,.,2,68.2,10.0,7.7,65.4
"High School for Mathematics, Science and Engineering at City College",7.4,46,8.6,7.0,4.3,7.7,7.8,471,0,1.2,8.5,42,2,86.2,0,100.0,8.9,97.6,79.1,57,31.0,81.8,46,442,7.1,6.8,1,0.79,14,0.1,7.0,2,28,3,8.1,0.1,0.2,469,0,74.2,9.2,7.6,88.5
P.S. 192 Brooklyn,7.3,120,7.7,7.4,4.0,7.3,7.5,488,37,0.8,8.0,0,0,80.8,57,78.1,7.7,73.3,69.2,142,35.0,90.9,109,70,8.4,7.2,12,0.59,9,1.2,7.7,1,0,11,7.9,0.3,1.5,72,1,75.0,10.0,8.0,79.2
P.S. 160 William T. Sampson,7.1,44,7.6,7.2,4.9,.,7.4,777,36,0.9,7.3,0,0,56.3,27,62.1,8.6,59.5,57.5,61,34.0,.,52,.,7.5,6.5,3,0.6,7,.,7.2,0,0,12,7.3,0,.,.,0,59.1,10.0,7.6,42.3
Health Opportunities High School,7.7,29,5.8,6.7,3.5,6.4,7.2,624,0,0.7,7.6,20,0,51.7,0,46.7,6.9,29.3,39.5,28,35.0,45.5,27,249,7.3,6.2,2,0.92,2,-0.1,7.3,0,13,6,7.6,0.1,0,613,2,64.5,8.7,6.9,50.0
Manhattan Theatre Lab High School,7.5,17,6.4,6.8,3.7,6.2,6.8,334,0,1.2,7.0,11,0,51.7,0,46.7,5.9,43.9,37.2,20,12.0,45.5,21,111,7.0,5.9,5,0.6,7,0.2,7.2,1,17,8,6.8,1.7,0.6,310,3,67.7,8.2,6.7,38.5
University Neighborhood High School,6.9,33,6.5,6.3,3.7,6.1,5.6,588,1,0.9,7.6,16,2,55.2,0,43.3,5.5,46.3,46.5,30,15.0,40.9,27,439,7.0,5.7,1,0.37,8,-0.1,6.9,3,21,4,6.6,0,0.3,573,3,51.6,7.6,7.2,42.3
P.S. 111 Seton Falls,7.6,79,8.1,7.4,4.0,.,7.1,605,33,0.4,7.8,0,3,81.3,35,69.0,6.6,71.4,77.5,112,45.0,.,103,.,8.1,7.6,9,0.7,16,.,7.9,5,0,12,7.9,0.4,.,.,5,68.2,9.8,8.1,73.1
J.H.S. 144 Michelangelo,6.9,168,6.4,6.6,3.9,5.7,6.6,1074,1,0.9,7.4,0,6,44.8,1,39.4,4.4,43.7,44.7,155,64.0,34.8,133,912,7.2,6.1,16,0.69,27,0.3,7.1,10,1,41,7.2,0.4,0.1,1055,12,56.7,9.5,7.3,48.1
Christopher Columbus High School,6.4,58,5.9,5.9,3.3,5.7,6.8,1554,0,0.9,7.2,24,7,41.4,0,30.0,5.3,31.7,39.5,41,102.0,27.3,39,808,6.7,5.8,9,0.89,16,0.3,6.5,10,41,17,6.6,0.6,0.3,1469,8,38.7,8.2,7.3,30.8
Fort Hamilton High School,6.8,144,7.1,6.2,3.2,6.4,7.4,4460,1,1.4,6.8,83,11,65.5,0,53.3,5.2,61.0,67.4,142,170.0,59.1,105,2797,6.4,6.1,33,0.77,58,0.1,6.4,18,96,70,7.0,0,0.3,4291,24,48.4,7.8,7.5,57.7
P.S. 116 Mary Lindley Murray,7.7,55,7.7,7.8,5.4,.,7.7,794,32,0.3,8.1,0,3,68.8,34,62.1,7.0,61.9,70.0,101,25.0,.,86,.,8.1,7.1,3,0.49,15,.,8.1,5,0,6,8.1,0.2,.,.,0,86.4,10.0,8.2,69.2
P.S. X088 - S. Silverstein Little School,6.7,14,7.4,6.7,4.3,.,6.3,302,11,0.2,7.3,0,3,44.1,0,29.2,7.2,39.5,52.4,17,16.0,.,13,.,8.0,7.0,6,0.52,4,.,7.2,3,0,3,7.4,-0.5,.,.,1,17.4,10.0,7.9,32.1
DeWitt Clinton High School,7.7,818,6.6,7.3,4.9,6.7,8.2,4392,2,2.3,7.9,303,22,82.8,0,63.3,7.6,48.8,62.8,722,217.0,72.7,732,3567,7.9,6.8,72,0.71,105,0.6,7.7,16,492,107,8.0,1.4,1.4,4280,22,83.9,9.2,7.9,73.1
P.S. 110 Theodore Schoenfeld,7.9,113,6.9,7.5,4.6,.,7.5,440,35,0.9,8.3,0,3,46.9,41,51.7,7.2,42.9,42.5,115,30.0,.,98,.,8.8,7.2,9,0.6,12,.,8.6,3,0,8,8.5,1.1,.,.,3,72.7,9.8,8.0,57.7
The Bilingual Bicultural School,8.0,95,7.8,7.7,4.8,.,7.4,435,37,0.6,8.3,0,0,68.8,33,72.4,8.4,64.3,60.0,117,11.0,.,100,.,8.3,7.2,6,0.35,2,.,8.2,3,0,7,8.5,0.1,.,.,0,81.8,10.0,8.3,65.4
P.S. 161 Pedro Albizu Campos,7.6,110,7.6,7.8,6.1,7.1,7.7,848,35,0.6,8.1,0,6,75.0,24,55.2,7.9,59.5,57.5,128,29.0,85.7,108,113,8.4,7.2,10,0.39,12,-0.3,8.0,3,0,14,8.2,0.3,-0.9,114,4,86.4,9.9,8.6,65.4
Bronx Writing Academy,7.0,93,6.0,6.8,3.8,5.9,7.1,501,0,1,7.8,0,3,51.7,0,42.4,5.8,35.4,61.7,87,24.0,39.1,71,434,8.0,6.4,7,0.52,12,-0.1,7.6,3,0,13,8.0,0.9,0.1,494,5,63.3,9.3,7.5,63.0
Midwood High School,6.8,210,7.7,6.3,3.4,6.4,7.6,3762,0,1.4,6.9,188,8,65.5,0,63.3,6.3,75.6,72.1,201,61.0,45.5,192,3158,6.3,6.1,27,0.31,64,0.3,6.6,11,160,102,7.1,0,0.4,3671,28,51.6,8.5,7.3,61.5
Bronx Health Sciences High School,7.0,28,7.6,6.5,3.4,5.9,5.8,350,0,0.6,7.9,12,2,51.7,0,60.0,6.7,73.2,62.8,20,20.0,27.3,21,306,7.4,6.6,2,0.83,2,-0.4,6.9,2,5,5,7.1,0.1,-0.2,342,2,58.1,9.6,7.9,57.7
Agnes Y. Humphrey School for Leadership,6.7,20,4.3,7.0,4.3,5.2,6.7,574,3,0.3,7.2,0,0,48.3,6,13.3,5.9,-7.3,4.7,20,21.0,50,16,156,7.1,5.5,6,0.28,5,-0.3,8.1,2,0,6,7.8,1.4,-0.3,236,3,74.2,8.8,6.5,26.9
The Forward School,6.7,19,5.8,6.3,4.1,5.4,6.4,345,0,1.1,7.5,0,5,34.5,0,24.2,4.2,31.2,34.0,11,10.0,17.4,12,315,7.4,5.9,3,0.5,11,-0.2,7.2,0,0,4,7.2,2.2,-0.2,341,1,46.7,9.2,6.5,37.0
Urban Assembly School for Careers in Sports,7.9,93,7.6,7.6,4.4,7.3,8.1,326,0,1,8.4,20,2,89.7,0,83.3,7.4,73.2,62.8,91,20.0,86.4,77,233,8.3,6.9,5,1.0,3,0.3,8.2,2,38,9,8.2,0.4,0.6,300,1,93.5,9.7,8.3,80.8
Pablo Neruda Academy for Architecture and World Studies,7.4,19,5.9,6.5,3.2,6.1,6.3,387,0,0.2,7.7,11,2,48.3,0,40.0,5.9,31.7,32.6,19,22.0,45.5,16,280,7.5,5.9,4,0.67,5,0.2,7.1,3,10,4,6.8,0.1,0,380,1,58.1,8.1,7.1,38.5
J.H.S. 013 Jackie Robinson,6.8,17,7.1,5.9,3.7,5.7,6.2,346,0,0.2,6.8,0,2,48.3,0,45.5,3.9,58.3,63.8,11,28.0,39.1,8,274,6.7,6.4,3,0.7,7,1,6.9,3,0,4,7.1,1,0.5,342,2,33.3,9.1,7.0,51.9
M.S. 143 Performing & Fine Arts,7.8,2,6.8,7.6,4.4,6.5,7.8,115,0,0.9,8.1,0,0,69.0,0,54.5,7.2,52.1,46.8,4,3.0,47.8,3,97,8.8,6.5,0,0.2,0,0.3,8.9,0,0,0,8.3,1.1,0.7,109,0,90.0,10.0,7.9,63.0
Bronx Leadership Academy High School,7.1,30,7.2,7.0,4.7,6.2,7.3,649,0,1.1,7.9,16,2,72.4,0,60.0,5.8,63.4,69.8,40,18.0,50,28,365,7.1,6.6,3,0.42,2,-0.1,7.1,2,11,6,7.3,-0.2,0.4,619,1,74.2,9.0,7.5,69.2
P.S. 068 Bronx,8.0,232,6.5,7.5,4.2,.,7.5,803,56,1.2,8.4,0,2,50.0,101,44.8,6.2,33.3,47.5,257,66.0,.,208,.,8.6,7.0,5,0.92,25,.,8.4,2,0,18,8.4,0.8,.,.,4,72.7,9.9,8.4,57.7
P.S. 042 Benjamin Altman,6.9,95,8.3,7.0,4.8,.,7.6,736,78,0.7,7.3,0,2,65.6,66,72.4,8.5,76.2,67.5,111,41.0,.,109,.,7.9,6.9,5,0.76,10,.,7.2,3,0,14,7.6,0.2,.,.,4,50.0,9.9,7.7,53.8
P.S. 304 Early Childhood School,8.5,177,7.4,7.6,4.1,.,7.5,536,50,1.1,8.4,0,0,62.5,59,62.1,7.3,54.8,60.0,243,23.0,.,203,.,8.5,7.4,6,0.64,9,.,8.5,0,0,13,8.7,0.4,.,.,3,77.3,9.9,7.9,73.1
Conselyea Preparatory School,7.9,154,8.2,7.4,3.8,7.6,7.5,380,0,0.8,8.4,0,0,96.6,0,90.9,6.9,81.2,85.1,139,25.0,100,137,325,7.9,7.5,4,0.96,5,1.1,7.8,1,0,9,8.3,0.2,0.7,378,1,83.3,9.9,8.3,92.6
I.S. 117 Joseph H. Wade,6.7,38,6.3,6.6,4.3,5.7,7.4,921,1,0.5,7.0,0,0,48.3,1,33.3,4.8,41.7,48.9,30,59.0,39.1,24,791,7.3,6.2,2,0.67,7,-0.1,7.0,3,0,10,7.2,0.5,-0.2,907,4,56.7,8.9,7.1,48.1
P.S. 087 Bronx,7.0,34,6.2,7.2,4.2,.,6.9,505,16,0.6,7.6,0,1,12.5,18,31.0,6.1,26.2,17.5,39,23.0,.,34,.,7.8,5.8,5,0.58,5,.,8.0,0,1,6,8.2,0.2,.,.,3,59.1,10.0,8.0,26.9
P.S. 200- The James Mccune Smith School,7.5,95,6.0,6.8,4.4,6.9,6.9,683,23,0.7,7.5,0,8,43.8,41,24.1,6.2,21.4,12.5,100,49.0,76.2,72,87,8.1,6.3,16,0.73,35,0.2,7.6,11,0,22,7.8,0.9,1.1,88,5,40.9,9.8,7.7,34.6
P.S. 072 Dr. William Dorney,7.6,100,6.8,7.0,3.6,.,6.8,904,41,0.9,7.9,0,3,56.3,66,44.8,6.3,40.5,55.0,136,54.0,.,118,.,8.2,7.2,11,0.68,20,.,7.9,2,0,16,7.9,0.9,.,.,2,50.0,9.9,8.0,53.8
N.Y.C. Museum School,6.9,19,6.0,5.9,3.6,6.2,5.1,422,0,0.4,6.3,11,3,10.3,0,43.3,6.6,34.1,4.7,19,26.0,13.6,18,379,6.6,4.7,5,0.81,12,0,6.4,3,24,12,6.2,-0.4,0.2,424,5,38.7,7.7,7.0,7.7
P.S. 279 Herman Schreiber,7.3,100,6.5,7.2,3.5,.,6.7,739,38,0.9,7.9,0,3,50.0,65,37.9,5.9,33.3,37.5,123,35.0,.,98,.,8.1,6.6,6,0.58,17,.,7.9,3,0,16,7.7,0.4,.,.,3,59.1,9.8,7.8,42.3
P.S. 170,8.1,68,8.4,7.9,4.9,.,8.2,260,38,-0.1,8.9,0,0,76.5,0,70.8,8.9,65.8,73.8,82,13.0,.,74,.,9.0,8.0,1,0.65,3,.,8.4,3,0,0,9.0,0,.,.,0,69.6,9.9,8.5,75.0
P.S. 319,9.0,88,9.4,8.7,5.0,.,9.1,170,0,1.6,9.3,0,0,105.9,0,104.2,9.8,92.1,95.2,119,13.0,.,113,.,9.4,9.2,0,0.93,0,.,9.4,0,0,0,9.6,1.1,.,.,0,104.3,10.0,9.3,103.6
Brooklyn Academy High School,9.0,39,8.2,7.6,4.0,7.9,8.2,304,0,1.2,8.7,37,0,66.7,0,75.0,8.7,72.7,58.3,36,4.0,60,37,167,8.3,7.0,0,0.17,2,-0.3,8.7,0,16,0,9.0,0.5,0,247,0,80.0,9.5,7.9,68.0
P.S. 312 Bergen Beach,8.0,253,8.3,7.6,3.7,.,7.6,865,82,0.8,8.4,1,2,87.5,99,79.3,7.4,76.2,87.5,329,64.0,.,310,.,8.6,8.0,15,0.97,18,.,8.3,5,0,15,8.6,0.3,.,.,7,77.3,10.0,8.4,92.3
P.S. 130 Abram Stevens Hewitt,7.8,212,6.2,7.6,5.0,.,7.6,671,63,0.7,8.3,0,6,56.3,79,37.9,6.8,26.2,40.0,235,38.0,.,210,.,8.7,7.1,12,0.73,13,.,8.5,3,0,15,8.5,0.9,.,.,4,77.3,9.9,8.3,53.8
P.S. 061 Francisco Oller,7.9,59,7.8,7.7,5.1,.,7.8,373,22,0.7,8.4,0,0,81.3,21,69.0,7.8,64.3,77.5,76,28.0,.,65,.,8.6,7.6,6,0.93,4,.,8.1,0,0,3,8.3,0.5,.,.,0,81.8,9.8,8.1,76.9
P.S. 149 Danny Kaye,7.5,41,6.7,7.0,4.6,.,6.8,795,16,-0.2,7.6,0,2,53.1,19,37.9,5.6,38.1,55.0,48,28.0,.,37,.,7.9,6.7,5,0.42,11,.,7.7,2,0,15,8.0,0,.,.,0,50.0,10.0,7.6,57.7
Frederick Douglass Academy IV Secondary School,6.4,28,5.8,5.9,4.1,5.8,5.0,470,0,0.6,6.1,0,5,34.5,0,33.3,4.3,29.3,32.6,38,15.0,45.5,27,356,6.2,5.0,12,0.45,14,0.2,6.0,9,15,17,6.0,0.2,0.5,470,13,38.7,8.8,6.8,23.1
P.S. 021 Phillip H. Sheridan,7.5,85,6.5,7.1,4.1,.,6.1,817,31,0.7,7.9,0,3,50.0,32,34.5,4.8,33.3,52.5,95,43.0,.,71,.,7.8,6.9,5,0.69,17,.,7.8,6,0,12,7.5,0.3,.,.,5,54.5,9.9,8.0,50.0
Urban Assembly School for the Urban Environment,6.3,17,6.4,5.9,3.0,5.8,5.5,213,0,-0.4,7.5,0,2,34.5,0,39.4,4.6,43.7,40.4,12,10.0,17.4,11,138,7.6,6.4,1,0.63,2,0.1,7.0,2,0,1,7.0,0.6,-0.2,198,2,33.3,9.7,6.7,40.7
School of Science & Technology,7.6,174,7.5,7.5,4.1,.,7.8,777,54,0.4,8.4,0,0,65.6,54,62.1,7.2,57.1,70.0,190,50.0,.,172,.,8.6,7.6,9,0.88,3,.,8.1,5,0,3,8.3,0.6,.,.,2,72.7,10.0,8.2,76.9
Hamilton Heights School,7.8,29,6.3,7.7,3.8,.,7.3,232,16,.,8.1,0,0,28.1,4,41.4,7.2,28.6,-2.5,40,9.0,.,27,.,8.3,6.1,4,0.6,5,.,8.8,0,0,5,8.1,.,.,.,0,81.8,10.0,7.4,15.4
P.S. 212,6.9,34,6.0,6.8,4.7,5.5,6.8,542,5,0,7.5,0,5,38.5,6,31.2,6.0,35.6,20.5,37,20.0,36.4,22,214,7.3,5.9,3,0.37,8,-0.2,6.9,6,0,8,7.4,0.1,-0.3,288,3,50.0,9.8,7.7,25.0
P.S./M.S. 031 The William Lloyd Garrison,7.2,128,6.7,6.9,3.4,5.8,6.9,813,26,0.6,7.4,0,5,46.2,44,46.9,5.7,51.1,59.0,150,46.0,27.3,116,277,8.0,6.5,12,0.63,18,0.2,7.7,11,0,30,8.0,0.5,-0.3,294,11,54.2,9.6,7.8,54.2
Brooklyn Theatre Arts High School,7.7,16,6.2,7.1,4.0,6.2,7.2,81,0,.,9.4,0,0,55.2,0,53.3,6.3,39.0,37.2,11,4.0,50,9,68,8.3,5.9,0,0.57,1,.,7.7,0,0,0,7.6,.,.,83,0,77.4,9.8,7.8,50.0
I.S. 218 Salome Urena,8.0,71,6.0,7.2,4.0,6.5,7.9,530,1,1.1,8.2,1,2,51.7,0,54.5,7.2,35.4,29.8,60,22.0,60.9,65,286,8.4,6.4,2,0.39,5,0.6,7.8,1,0,4,7.7,1.2,0.7,523,3,76.7,9.4,8.2,48.1
Tito Puente Education Complex,6.3,13,4.6,6.1,4.4,5.9,6.0,408,0,0.2,7.3,0,0,27.6,0,12.1,3.8,6.2,19.1,5,8.0,34.8,6,262,6.5,5.5,3,0.21,4,-0.2,6.9,3,0,4,6.6,0.5,0.1,402,1,40.0,9.5,7.3,18.5
Bronx Dance Academy School,6.0,9,7.5,7.0,4.3,.,7.5,293,0,1.2,7.5,0,0,37.9,0,78.8,6.4,66.7,42.6,8,9.0,.,9,.,8.0,5.7,1,0.43,3,.,7.8,1,0,2,7.4,-0.2,.,289,1,70.0,10.0,8.3,40.7
P.S. 046 Edgar Allan Poe,7.9,349,7.6,7.3,4.0,.,7.7,1220,116,0.3,8.2,0,4,75.0,105,65.5,7.8,59.5,72.5,383,66.0,.,326,.,8.7,7.9,18,0.72,23,.,8.2,3,0,23,8.4,0.6,.,.,6,63.6,10.0,8.1,76.9
M.S. 203,7.4,35,6.6,6.8,3.9,5.2,7.2,430,0,0.8,7.5,0,2,65.5,0,42.4,5.5,47.9,63.8,34,16.0,52.2,21,206,7.5,6.8,0,0.36,4,0.8,7.6,1,0,2,7.1,0.1,0,417,3,63.3,9.4,7.7,63.0
P.S. 034 Franklin D. Roosevelt,7.0,53,5.7,6.9,4.4,5.9,6.3,420,15,-0.1,7.3,0,1,30.8,18,34.4,5.5,28.9,28.2,63,29.0,9.1,47,137,8.1,5.9,13,0.76,14,-0.2,7.5,2,0,10,8.0,0.5,-0.3,193,4,54.2,9.7,7.2,33.3
P.S. 114 Ryder Elementary,6.9,80,5.9,6.4,2.8,.,5.8,840,33,0.5,7.3,0,4,-3.1,40,24.1,5.0,19.0,-5.0,73,38.0,.,56,.,7.7,5.0,12,0.57,35,.,7.3,9,0,20,7.5,0.3,.,.,8,22.7,9.9,7.8,0.0
PS/MS  194,7.3,276,7.5,7.2,3.7,6.7,7.1,1264,98,0.9,7.9,0,6,69.2,90,68.7,6.7,68.9,66.7,310,65.0,68.2,256,430,8.1,6.9,29,0.71,30,0.8,7.7,8,0,39,8.0,0.5,0.5,446,4,66.7,9.8,8.0,66.7
Muscota,8.3,33,9.0,7.8,4.5,.,7.6,277,14,0.5,7.9,0,1,100.0,17,89.7,7.7,92.9,87.5,65,14.0,.,50,.,7.7,7.9,5,0.61,7,.,8.2,1,0,5,7.8,0.8,.,.,4,86.4,9.9,8.1,76.9
Park East High School,7.9,41,7.3,6.8,3.7,6.9,6.8,384,0,1.3,8.1,12,0,69.0,0,73.3,7.1,65.9,62.8,43,31.0,63.6,37,313,7.9,6.7,2,1.0,2,0,7.8,0,21,4,7.7,0.6,0.8,378,2,67.7,9.4,7.9,69.2
