program_code,bbl
00A333PR,4097600074.0
00A503PR,
00A672PR,
00A207PR,1017170011.0
00A374PR,1017870001.0
00A416PR,4101510007.0
00A625PR,
00A381PR,1020420035.0
00A326PR,2051350210.0
00A046PR,3031270001.0
00A453PR,4024450001.0
00A428PR,4000560006.0
00225PR,3018560001.0
00A214PR,1004170070.0
00A655PR,2023190100.0
00A550PR,
00A623PR,2027320012.0
00A447PR,2027630279.0
00A020PR,2040700166.0
00A253PR,3011770031.0
00A264PR,1008187501.0
00A246PR,2032570111.0
00A640PR,1008280009.0
00A657PR,2032110020.0
00A216PR,4098160049.0
00A349PR,1016160001.0
00A296PR,3086660652.0
