latitude,longitude,queens_condominium_property_est_gross_income,comparable_rental_2_full_market_value,comparable_rental_2_building_classification,queens_condominium_property_full_market_value,comparable_rental_1_dist_from_coop_in_miles,queens_condominium_property_gross_income_per_sqft,comparable_rental_2_gross_income_per_sqft,census_tract
40.742806,-73.884112,2357640,5670000.0,D6-ELEVATOR,8819997,3.3,18.0,22.2,481.0
40.734349,-73.865897,4080186,3950000.0,D1-ELEVATOR,12700000,1.3,13.5,14.13,683.0
40.744073,-73.894052,177548,444000.0,C7-WALK-UP,553001,0.35,14.0,14.23,265.0
,,970718,3670000.0,D1-ELEVATOR,3020013,0.25,14.0,16.26,
40.784767,-73.85684,633885,3540000.0,D1-ELEVATOR,2640005,2.15,21.0,17.58,929.0
40.665531,-73.855885,759800,2470000.0,C9-WALK-UP,2570000,0.85,14.5,14.34,6202.0
40.762372,-73.819332,1829232,7960000.0,D1-ELEVATOR,6839985,0.5,18.0,18.75,863.0
40.742814,-73.793441,702000,1170000.0,C9-WALK-UP,2370020,2.3,15.0,13.62,1417.0
40.709687,-73.819265,3288946,10800000.0,D3-ELEVATOR,12300000,0.2,16.75,17.31,22002.0
40.762573,-73.798033,1232500,4390000.0,D6-ELEVATOR,4170003,0.0,14.5,14.76,1175.0
40.750796,-73.861656,294000,1530000.0,D7-ELEVATOR,1280000,1.9,21.0,21.86,403.0
40.744133,-73.896823,273577,883000.0,C7-WALK-UP,1019998,1.6,17.5,21.76,263.0
40.7569,-73.830442,1373700,5070000.0,D7-ELEVATOR,5139997,0.7,19.0,20.78,849.0
40.765447,-73.827186,324896,5060000.0,D1-ELEVATOR,1209997,0.7,20.1,20.09,1161.0
40.751705,-73.938134,648450,2590000.0,D9-ELEVATOR,2689999,1.1,25.0,25.6,33.0
40.714545,-73.822668,285000,3730000.0,D1-ELEVATOR,963997,1.0,15.0,16.47,22001.0
40.726309,-73.859011,928536,2600000.0,D1-ELEVATOR,2890006,0.55,14.0,13.92,69701.0
40.751526,-73.88724,675697,2040000.0,D1-ELEVATOR,2099996,0.25,13.25,13.12,285.0
,,3233022,4870000.0,D1-ELEVATOR,13999989,1.05,26.0,25.4,
40.726381,-73.852275,417415,1860000.0,C1-WALK-UP,1410000,0.0,15.5,17.84,71305.0
40.705791,-73.831701,553231,3640000.0,D1-ELEVATOR,1720002,0.25,13.75,15.08,140.0
40.713909,-73.832351,796328,4700000.0,D1-ELEVATOR,2689997,0.2,15.5,17.43,76902.0
40.737611,-73.881916,607125,5470000.0,D6-ELEVATOR,2509998,1.7,25.0,25.2,479.0
40.754187,-73.82235,365344,5470000.0,D6-ELEVATOR,1510009,3.65,24.5,25.2,859.0
40.75207,-73.823867,3598247,13600000.0,D7-ELEVATOR,12200003,0.15,15.5,15.02,79701.0
