bk_all_case_count_7day_avg,bk_probable_case_count,mn_probable_case_count_7day_avg,mn_hospitalized_count,qn_probable_case_count,qn_case_count_7day_avg,bx_case_count,si_hospitalized_count,mn_case_count
1259,254,206,34,216,995,558,7,1094
652,134,85,28,158,556,352,9,443
993,188,127,14,193,771,502,9,803
536,134,79,9,110,315,214,13,329
451,68,79,14,63,245,112,5,476
101,2,2,6,1,104,60,1,58
242,49,37,9,62,149,100,5,117
929,183,107,25,198,653,350,13,319
378,80,62,5,75,195,100,5,243
1156,239,176,29,257,881,294,19,234
234,27,29,8,19,166,47,1,161
1452,66,14,255,51,1616,1452,68,671
1362,252,175,43,287,1024,868,22,569
1353,169,129,36,256,1143,206,27,163
503,105,67,14,125,407,271,6,390
1063,184,152,28,205,866,506,10,710
924,36,18,83,42,1045,552,29,187
238,48,30,7,59,147,132,5,118
371,87,60,2,66,187,140,6,230
813,129,92,12,154,558,164,14,127
874,106,123,12,141,703,161,8,368
1271,230,186,33,226,951,363,14,268
158,62,35,3,36,86,43,3,101
556,91,68,6,73,319,211,11,263
469,81,67,6,87,293,71,3,143
1605,260,190,38,243,1243,547,17,334
99,8,4,4,8,65,45,3,57
1652,344,173,63,373,1330,962,25,723
83,13,4,0,3,59,70,4,42
542,14,6,23,8,598,263,18,138
1015,182,130,25,151,741,231,12,196
1185,319,151,35,322,888,564,18,449
72,24,7,4,13,56,72,2,52
1111,236,145,40,292,871,634,17,551
1744,326,165,48,309,1431,932,32,663
1270,368,183,30,346,930,638,25,587
239,48,25,6,52,157,115,3,78
102,2,3,6,3,103,68,0,65
252,72,54,8,52,123,94,4,162
157,14,4,4,9,84,61,2,88
1255,303,152,69,260,954,1093,18,822
178,19,28,7,9,108,45,1,150
633,120,77,13,104,389,264,10,324
1364,165,171,41,152,1043,169,13,189
1756,336,168,60,327,1451,1045,33,697
599,48,76,16,49,364,104,6,98
642,135,85,20,179,539,308,9,371
70,0,0,36,0,74,86,7,176
198,4,1,13,1,168,158,2,77
277,8,1,14,2,230,264,4,153
1075,173,148,21,186,818,191,13,180
213,41,17,5,27,123,78,4,92
67,9,7,3,18,49,41,3,17
88,10,2,3,4,58,20,4,37
408,92,62,6,87,218,109,0,201
1214,234,157,33,227,920,371,14,245
552,88,80,13,144,457,115,8,182
1172,255,157,36,281,845,572,14,486
1217,264,147,32,227,857,376,12,248
79,27,9,3,16,56,15,1,20
1442,52,12,242,60,1590,1289,74,652
740,194,101,38,240,568,488,7,605
1096,220,166,34,198,843,361,19,381
422,71,78,6,54,226,119,0,549
56,17,9,1,6,43,30,4,36
534,122,75,15,152,440,287,5,427
323,73,36,10,32,130,82,1,121
185,2,1,9,2,162,30,0,25
668,120,109,9,90,412,201,6,906
1165,286,159,44,325,823,544,15,464
1091,125,163,16,127,890,161,10,441
519,120,59,9,111,246,158,3,221
1053,216,141,30,225,807,266,20,336
1222,277,158,28,248,844,329,6,252
6,0,0,12,0,7,8,5,24
93,2,4,2,5,87,71,2,70
1264,251,165,66,223,970,719,22,389
661,101,89,18,93,522,178,5,202
569,124,75,22,144,456,314,8,449
47,0,0,31,0,47,79,2,182
295,85,61,6,76,144,136,4,226
1,0,0,0,0,1,0,0,1
885,171,122,28,199,765,381,10,690
929,178,130,14,207,716,296,4,1195
1016,253,133,28,267,784,571,27,463
863,159,117,23,140,704,336,11,638
810,62,55,14,63,568,264,11,528
226,44,21,7,36,156,93,4,75
969,161,159,26,131,799,272,7,434
1195,308,184,33,381,885,566,16,471
90,8,11,5,11,65,25,1,16
1673,395,174,49,358,1336,1038,18,727
328,67,45,5,95,155,75,4,181
584,100,70,5,82,294,100,4,131
66,11,12,3,14,45,27,8,29
651,138,85,20,90,354,201,6,311
864,149,102,23,244,730,406,14,454
759,57,103,18,114,585,275,5,281
479,3,0,87,0,383,482,22,538
108,1,1,11,5,121,84,4,66
472,78,67,5,61,302,35,3,103
1110,200,136,32,215,828,405,19,331
1441,343,157,62,419,1264,1257,29,917
1627,263,186,49,275,1304,507,20,413
904,126,127,14,151,735,319,6,481
511,91,71,17,82,420,110,5,214
70,4,4,4,12,64,52,0,51
740,150,89,25,180,611,370,9,485
550,99,75,20,129,439,261,7,384
138,24,4,4,12,78,62,1,64
7890,352,650,111,352,5696,1420,22,1413
752,204,100,38,229,577,539,8,574
56,20,9,2,12,46,36,1,26
541,89,71,22,127,425,228,15,360
376,89,67,7,77,251,106,11,133
135,26,13,5,23,89,48,0,37
626,120,86,25,187,501,362,7,455
1036,189,139,24,204,854,509,13,784
98,4,2,5,7,107,81,0,55
854,115,125,18,145,691,335,6,519
956,209,151,26,194,655,345,15,728
612,13,8,43,10,678,557,13,285
1302,212,170,26,243,1079,609,13,762
96,18,11,4,13,68,22,0,23
101,3,3,8,3,98,70,0,82
10,0,0,19,0,12,19,2,62
607,152,83,19,98,354,286,4,371
90,5,3,1,11,62,40,1,35
674,166,85,25,176,543,418,5,422
1289,65,27,128,45,1505,763,44,252
1125,289,143,53,240,871,787,12,611
2787,639,379,56,514,1510,1329,16,4789
204,42,5,6,14,88,71,3,82
1402,34,10,217,38,1564,1240,83,573
902,1,1,185,8,939,730,43,530
564,16,6,33,12,628,450,13,240
153,10,5,3,6,79,32,1,46
143,34,12,4,35,92,57,1,51
1246,186,196,23,194,963,453,8,885
1352,59,27,131,61,1537,998,47,304
982,154,141,13,107,751,172,8,395
234,1,0,45,1,180,305,15,457
114,34,21,7,24,65,56,2,84
563,76,100,9,58,320,144,1,776
1028,176,147,24,232,801,327,9,961
79,4,4,4,3,74,73,1,54
202,5,1,11,1,172,164,3,74
59,17,11,5,21,44,29,3,45
1344,195,123,41,269,1124,664,20,396
1080,216,136,37,259,814,619,20,521
412,60,76,2,67,214,110,2,494
214,47,21,10,50,151,77,5,58
1319,242,174,37,256,1106,698,14,850
438,68,79,15,56,234,97,6,588
603,132,82,15,81,364,300,5,349
1044,201,131,40,255,894,644,14,726
615,93,80,21,124,515,263,10,353
320,88,64,6,64,158,126,5,200
301,4,3,7,5,262,56,5,50
1325,11,81,21,10,956,69,9,147
1254,253,151,35,235,1050,650,18,824
506,112,75,26,163,426,295,10,421
686,154,87,35,227,558,374,8,512
70,3,4,7,7,63,29,1,30
776,0,1,112,1,670,723,33,653
284,41,44,4,35,135,28,1,251
1099,233,144,21,225,866,445,13,454
659,116,71,13,134,430,226,10,142
242,35,5,9,16,113,65,3,95
346,51,36,7,31,142,37,4,68
1148,189,151,45,259,963,714,15,877
12560,1057,714,217,916,11422,4920,58,5085
1298,293,171,51,213,964,723,15,548
215,29,7,7,16,119,53,0,85
580,103,89,27,111,435,137,19,138
1272,149,208,18,161,995,287,14,576
545,94,66,10,52,312,138,7,158
1233,91,25,169,50,1369,693,58,393
217,26,5,6,10,96,49,1,69
1635,297,193,68,243,1259,732,16,529
1507,398,170,53,413,1295,1166,24,890
419,79,63,4,72,225,47,4,142
1368,275,137,48,322,1182,723,26,519
1608,235,186,47,224,1245,557,18,359
487,80,74,5,96,275,92,3,151
882,96,127,16,114,733,197,5,254
364,70,34,9,56,231,141,6,107
