address,city,primary_artist_first,artwork_type1,primary_artist_last,artwork_type2,primary_architect_middle
McGown's Pass,New York,,"Artillery, carronade, plaque",,Monument/Memorial,W.
160 West 100th Street,New York,Richard,Site-specific installation,Artschwager,Artwork,
Smith Street between Carroll and President Street,Brooklyn,Eugene,Stele,Morahan,Monument/Memorial,
Fort Washington Avenue and 183rd Street,New York,,"Tablet, natural boulder",,Marker,
columbia street and baltic street,Brooklyn,Nobuho,Installation,Nagasawa,Artwork,
Broadway between Murray Street and Warren Street,New York,Paul,Plaque,Cabaret,Monument/Memorial,
Battery Place and West Street,New York,Ettore,Statue,Ximenes,Monument/Memorial,
Edgecombe Avenue and West 162nd Street,New York,,Sundial,,Artwork,
85 St. Joseph's Avenue,Staten Island,Robert,Sculpture,Adzema,Artwork,
"Union Turnpike, 79th Avenue and 162nd Street",Fresh Meadows,,"Plaque, stele",,Monument/Memorial,
614 Broadway,Staten Island,Amanda,Mosaic,Jaffe,Artwork,
Hall of Astronauts,Corona,Donald,Sculpture,De Lue,Artwork,
851 Grand Concourse,Bronx,Charles,Frieze,Keck,Artwork,
Duane Street between Federal Plaza and Centre Street,New York,,Medallions,,Artwork,
East 17th Street and Nathan D. Perlman Place,New York,Ivan,Statue,Mestrovic,Monument/Memorial,Hird
Broadway and Beaver Street,New York,,Plaque,,Marker,
Grand Army Plaza between Eastern Parkway and Union Street,Brooklyn,Frederick,Relief,MacMonnies,Monument/Memorial,
Ave U between W 12th and 86th Street,Brooklyn,,Statue,,Monument/Memorial,
West 252nd Street and Independence Avenue,Bronx,,Plaque,,Marker,
Riverdale Avenue and 256th Street,Bronx,,"Plaque, natural boulder",,Monument/Memorial,
Seventh Avenue and 46th Street,New York,Georg,Statue,Lober,Monument/Memorial,Frederick
6th Avenue and West 41st Street,New York,,Fountain,,Monument/Memorial,Adams
East Fordham Road and Bronx Park Road,Bronx,Paul,Ornamental gates,Manship,Artwork/Memorial,A.
550 Myrtle Avenue,Brooklyn,Matthew,Installation,Geller,Artwork,
Montague and Court Street,Brooklyn,,Stele,,Monument/Memorial,
Fifth Avenue and 79th Street,New York,Paul,Statue,Manship,Artwork,
851 Grand Concourse,Bronx,George,Sculpture,Snowden,Artwork,
East Drive at East 74th Street,New York,Georg,Statue,Lober,Monument/Memorial,Frederick
Fifth Avenue and East 67th Street,New York,Frederick,Statue,Roth,Monument/Memorial,
Central Park Zoo,New York,J.,Bas-relief,Walter,Artwork,
173rd Street and Fulton Avenue,Bronx,Frederick,Bas-relief roundel,Roth,Artwork,
Emmons Avenue between East 21st Street and East 26th Street,Brooklyn,Scott,Installation,Burton,Artwork,J.
"Third Avenue, Morris Avenue, and 139th Street",Bronx,,Column,,Monument/Memorial,M.
Eastern Parkway and Washington Avenue,Brooklyn,Romeo,"Urn, pedestal",Frassanito,Monument/Memorial,
Ocean Avenue between Lincoln Road and Parkside Avenue,Brooklyn,Otto,Statue,Neals,Artwork,
Brooklyn Bridge Promenade,Brooklyn,,Plaque,,Monument/Memorial,
Broadway and Park Place,New York,,"Plaque, plinth",,Marker,
Broadway and 245th Street,Bronx,William,Statue,Noble,Monument/Memorial,E.
"West 122nd Street, St. Nicholas Avenue and Frederick Douglass Boulevard",New York,Alison,Sculpture,Saar,Monument/Memorial,
76th Street and Fifth Avenue,New York,José,Statue,de Creeft,Artwork,
Battery Place and State Street,New York,H.A.,Flagstaff base,Van den Eyden,Monument/Memorial,
"30th Avenue, between 29th and 30th Streets",Astoria,Spiro,Statue,Goggakis,Artwork,P.
155 Bay Street,Brooklyn,,Bas-relief,,Artwork,
Laurel Hill Terrace and McNally Plaza,New York,,"Plaque, stele",,Monument/Memorial,
Cadman Plaza West between Pierrepont and Montague Street,Brooklyn,Emma,"Statue, pedestal",Stebbins,Monument/Memorial,
164th Street and Metcalf Avenue,Flushing,Anthony,Incised boulder,Grande,Monument/Memorial,
Willowbrook Road and Wyona Avenue,Staten Island,,"Stele, plaque",,Marker,
173rd Street and Fulton Avenue,Bronx,Frederick,Bas-relief roundel,Roth,Artwork,
Catherine Street and Cherry Street,New York,Charles,Statue,Keck,Monument/Memorial,
Pearson Street and Wild Avenue,Staten Island,,Plaque,,Monument/Memorial,
6 Victory Boulevard_,Staten Island,,Plaque,,Monument/Memorial,
Metropolitan Avenue and Park Lane South,Richmond Hill,,Plaque,,Monument/Memorial,
Broadway and Beaver Street,New York,,Fountain,,Monument/Memorial,
200 Nevada Avenue,Staten Island,Bradford,Ornamental gates,Greene,Artwork/Memorial,Lloyd
9th Avenue and 27th Street,New York,,Gateposts,,Monument/Memorial,
Intersection of Washington Street and Prospect Street,Brooklyn,Linnaea,Light Installation,Tillett,Artwork,
1470 East New York Avenue,Brooklyn,Peter,Sculpture,Chinni,Artwork,
107-20 Northern Boulevard,Corona,Howard,Sculpture,McCalebb,Artwork,
91st Street and Riverside Drive,New York,Bob,"Sculpture, Fountain",Cassilly,Artwork,
1 Clarkson Street,New York,Keith,Mural,Haring,Artwork,
Long Meadow,Brooklyn,,"Plaque, natural boulder",,Monument/Memorial,
80th Road and Park Lane South,Richmond Hill,Natan,Sculpture,Rapoport,Artwork,
1st Avenue and East 47th Street,New York,Gustav,Sculpture,Kraitz,Monument/Memorial,
"Woodside Avenue, Roosevelt Avenue, 39th Road and 52nd Street",Woodside,Burt,Statue,Johnson,Monument/Memorial,
"Union Turnpike, 252nd Street, 80th Avenue",Jamaica,,Artillery,,Monument/Memorial,
"East 183rd St, Crescent Avenue, and Adams Place",Bronx,Attilio,"Bust, pedestal",Piccirilli,Monument/Memorial,
Forest Avenue and Goethals Road North,Staten Island,,Plaque,,Monument/Memorial,
Hylan Boulevard and Clove Road,Staten Island,,Plaque,,Monument/Memorial,
Central Park Zoo,New York,Frederick,Bas-relief,Roth,Artwork,
Rumsey Playground,New York,,Plaque,,Monument/Memorial,
1 Police Plaza Path,New York,Tony,Sculpture,Rosenthal,Artwork,
