longitude,comparable_rental_2_market_value_per_sqft,comparable_rental_2_neighborhood,comparable_rental_1_address,bronx_cooperatives_comparable_properties_year_built,comparable_rental_1_est_gross_income,bronx_cooperatives_comparable_properties_building_classification,latitude-bronx_cooperatives_comparable_properties_gross_income_per_sqft
-73.862761,35.0,RIVERDALE,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1541 WILLIAMSBRIDGE ROAD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1958,1153680,D4-ELEVATOR,40.901183-10.7
-73.917484,40.5,RIVERDALE,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2675 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1966,1016704,D4-ELEVATOR,40.87807-11.25
,,,"{'latitude': '40.83626325682', 'longitude': '-73.918019794455', 'human_address': '{""address"": ""114 168 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1927,462386,D4-ELEVATOR,nan-8.0
-73.899325,32.3,FIELDSTON,"{'latitude': '40.863590585737', 'longitude': '-73.907486698741', 'human_address': '{""address"": ""2400 WEBB AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1963,886375,D4-ELEVATOR,40.905659-11.75
-73.912724,35.6,HIGHBRIDGE/MORRIS HEIGHTS,"{'latitude': '40.836432884976', 'longitude': '-73.923296751765', 'human_address': '{""address"": ""1190 SHAKESPEARE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1927,775305,D4-ELEVATOR,40.848772-8.0
-73.912362,55.0,RIVERDALE,"{'latitude': '40.885270655874', 'longitude': '-73.907787840625', 'human_address': '{""address"": ""511 235 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1958,763082,D4-ELEVATOR,40.884511-12.0
-73.885237,38.2,BEDFORD PARK/NORWOOD,"{'latitude': '40.869508033605', 'longitude': '-73.883373826927', 'human_address': '{""address"": ""2970 MARION AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1938,371981,D4-ELEVATOR,40.866485-10.48
-73.912612,25.9,HIGHBRIDGE/MORRIS HEIGHTS,"{'latitude': '40.835399393333', 'longitude': '-73.924742269136', 'human_address': '{""address"": ""1130 ANDERSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1928,281294,D4-ELEVATOR,40.848937-6.9
,28.6,MOTT HAVEN/PORT MORRIS,"{'latitude': '40.809935998442', 'longitude': '-73.922829650997', 'human_address': '{""address"": ""386 139 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1931,136024,C6-WALK-UP,nan-12.0
-73.866635,,,"{'latitude': '40.85510987047', 'longitude': '-73.865776406203', 'human_address': '{""address"": ""2157 HOLLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1930,722189,D4-ELEVATOR,40.856002-9.78
-73.894137,34.5,EAST TREMONT,"{'latitude': '40.849583938922', 'longitude': '-73.890118994059', 'human_address': '{""address"": ""2119 HUGHES AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1925,239031,C6-WALK-UP,40.846803-10.0
