bronx_cooperatives_comparable_properties_boro_block_lot,bin,comparable_rental_1_gross_income_per_sqft,comparable_rental_2_est_gross_income,bronx_cooperatives_comparable_properties_total_units,bronx_cooperatives_comparable_properties_neighborhood,comparable_rental_1_building_classification
2-05738-0366,2083416.0,10.07,895893.0,60,RIVERDALE,D1-ELEVATOR
2-05723-0094,2083255.0,16.6,84900.0,34,RIVERDALE,C1-WALK-UP
2-05946-0052,2086250.0,11.5,1745168.0,106,RIVERDALE,D1-ELEVATOR
2-02461-0094,,11.73,525555.0,466,MELROSE/CONCOURSE,D3-ELEVATOR
2-02638-0001,2091950.0,10.65,425410.0,320,MORRISANIA/LONGWOOD,D1-ELEVATOR
2-05803-0985,2084226.0,12.21,615408.0,68,FIELDSTON,D7-ELEVATOR
2-04319-0010,2049404.0,9.78,,73,PELHAM PARKWAY SOUTH,D1-ELEVATOR
2-03252-0052,2095200.0,10.29,2648744.0,316,KINGSBRIDGE/JEROME PARK,D3-ELEVATOR
2-05771-0020,2083982.0,12.67,799150.0,73,RIVERDALE,D1-ELEVATOR
2-05788-0119,2084120.0,9.92,833879.0,49,RIVERDALE,D1-ELEVATOR
2-05836-3250,2084624.0,12.67,895893.0,68,FIELDSTON,D1-ELEVATOR
2-02534-0008,,19.11,800454.0,140,HIGHBRIDGE/MORRIS HEIGHTS,D6-ELEVATOR
2-03225-0022,2014919.0,11.1,722691.0,36,KINGSBRIDGE HTS/UNIV HTS,C1-WALK-UP
2-05856-0378,2091886.0,10.96,1155727.0,129,RIVERDALE,D1-ELEVATOR
2-04337-0018,,8.55,,68,BRONXDALE,D1-ELEVATOR
2-03149-0061,2013522.0,11.31,374054.0,36,FORDHAM,D1-ELEVATOR
2-05778-0879,2091875.0,9.62,1502438.0,105,KINGSBRIDGE/JEROME PARK,D1-ELEVATOR
2-03282-0007,2016467.0,11.03,651937.0,72,BEDFORD PARK/NORWOOD,D1-ELEVATOR
2-04247-0057,2047715.0,8.4,1216063.0,66,SCHUYLERVILLE/PELHAM BAY,D1-ELEVATOR
2-02746-0023,2006075.0,9.89,,20,MORRISANIA/LONGWOOD,C1-WALK-UP
2-05714-0164,2091858.0,10.56,1650531.0,225,KINGSBRIDGE/JEROME PARK,D3-ELEVATOR
2-04256-0008,2047875.0,8.68,421607.0,83,MORRIS PARK/VAN NEST,D1-ELEVATOR
2-05409-0041,2091334.0,8.65,1043164.0,130,COUNTRY CLUB,D1-ELEVATOR
2-03347-0043,2018362.0,8.17,342800.0,51,BEDFORD PARK/NORWOOD,C1-WALK-UP
2-03948-0047,2041246.0,8.4,265529.0,42,PARKCHESTER,D1-ELEVATOR
2-05919-0448,2091925.0,11.37,1155727.0,104,RIVERDALE,D1-ELEVATOR
2-02721-0043,2005746.0,10.47,217776.0,23,MORRISANIA/LONGWOOD,C1-WALK-UP
2-04670-0050,2093568.0,10.3,2726438.0,269,WILLIAMSBRIDGE,D1-ELEVATOR
2-05912-0091,2085823.0,11.5,1745168.0,133,RIVERDALE,D1-ELEVATOR
2-02608-0022,2113110.0,10.77,84703.0,25,MORRISANIA/LONGWOOD,C7-WALK-UP
2-05909-0031,2091892.0,15.51,8181864.0,58,RIVERDALE,D3-ELEVATOR
2-03209-0045,2014559.0,12.11,738500.0,42,KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR
2-05743-0002,2083466.0,11.79,,69,RIVERDALE,D1-ELEVATOR
2-03252-0209,,10.65,2602478.0,207,KINGSBRIDGE/JEROME PARK,D1-ELEVATOR
2-05764-0642,2083824.0,11.24,615408.0,57,KINGSBRIDGE/JEROME PARK,D1-ELEVATOR
2-02872-0001,2008645.0,9.06,265552.0,57,HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP
2-05725-0767,2083275.0,10.96,,66,RIVERDALE,D1-ELEVATOR
2-02462-0033,,7.61,782406.0,74,MELROSE/CONCOURSE,D1-ELEVATOR
2-02523-0150,2003424.0,6.61,205905.0,38,HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR
2-03106-0044,2012938.0,11.56,172732.0,24,EAST TREMONT,C7-WALK-UP
2-04325-0021,2049530.0,11.65,,121,PELHAM PARKWAY SOUTH,D1-ELEVATOR
2-02721-0042,2005745.0,9.76,145670.0,16,MORRISANIA/LONGWOOD,C1-WALK-UP
2-03281-0018,,10.28,639948.0,56,BEDFORD PARK/NORWOOD,D1-ELEVATOR
2-02473-0067,2000000.0,6.61,179111.0,83,MELROSE/CONCOURSE,D1-ELEVATOR
2-05758-0442,,8.35,1424321.0,72,KINGSBRIDGE/JEROME PARK,D3-ELEVATOR
2-05800-0001,2091883.0,11.37,1155727.0,120,RIVERDALE,D1-ELEVATOR
2-02684-0074,2005100.0,9.46,489483.0,21,MORRISANIA/LONGWOOD,C7-WALK-UP
2-03237-0067,2015134.0,13.97,878000.0,185,KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR
2-03284-0048,2016564.0,11.03,651937.0,67,BEDFORD PARK/NORWOOD,D1-ELEVATOR
2-03095-0001,,9.12,325974.0,35,EAST TREMONT,C1-WALK-UP
2-05797-0213,,8.01,635643.0,70,RIVERDALE,C1-WALK-UP
2-05747-0590,2083482.0,11.5,,52,RIVERDALE,D1-ELEVATOR
