source_relation,date_day,organization_id,organization_name,campaign_id,campaign_name,currency,campaign_status,start_at,end_at,taps,new_downloads,tap_new_downloads,redownloads,tap_redownloads,total_downloads,tap_total_downloads,conversions,tap_installs,impressions,spend
"",2022-11-02,3219110,Tip Tap Cat,973923057,Holiday Sale,USD,PAUSED,2025-10-30 00:00:00,2025-12-11 23:59:00,11,1,1,0,0,1,1,1,1,204,47.55
"",2022-09-09,3219111,Gaming Studio,973923063,Summer Special,USD,PAUSED,2025-11-19 00:00:00,2026-01-08 23:59:00,97,9,9,0,0,9,9,9,9,662,71.72
"",2023-01-06,3219111,Gaming Studio,973923064,New Feature,USD,ENABLED,2025-10-14 00:00:00,2025-11-19 23:59:00,10,6,6,0,0,6,6,6,6,123,17.03
"",2023-01-25,3219112,App Developer Pro,973923066,User Acquisition,USD,ENABLED,2025-11-07 00:00:00,2025-12-21 23:59:00,35,6,6,0,0,6,6,6,6,1287,99.55
"",2024-04-12,3219110,Tip Tap Cat,973923059,Spring Launch,USD,PAUSED,2025-10-02 00:00:00,2025-11-12 23:59:00,25,15,15,0,0,15,15,15,15,540,12.65
"",2023-02-10,3219110,Tip Tap Cat,973923058,Holiday Sale,USD,ENABLED,2025-10-20 00:00:00,2025-12-01 23:59:00,11,6,6,0,0,6,6,6,6,736,76.39
"",2024-12-03,3219111,Gaming Studio,973923064,New Feature,USD,ENABLED,2025-10-14 00:00:00,2025-11-19 23:59:00,155,70,70,0,0,70,70,70,70,1016,17.9
"",2024-08-13,3219110,Tip Tap Cat,973923058,Holiday Sale,USD,ENABLED,2025-10-20 00:00:00,2025-12-01 23:59:00,85,19,19,0,0,19,19,19,19,1346,79.95
"",2025-02-12,3219112,App Developer Pro,973923066,User Acquisition,USD,ENABLED,2025-11-07 00:00:00,2025-12-21 23:59:00,132,57,57,0,0,57,57,57,57,775,44.91
"",2022-05-16,3219112,App Developer Pro,973923065,Spring Launch,USD,PAUSED,2025-11-12 00:00:00,2025-12-19 23:59:00,48,13,13,0,0,13,13,13,13,254,98.28
"",2023-01-08,3219110,Tip Tap Cat,973923054,Tap Away,USD,PAUSED,2021-12-09 00:00:00,2022-01-31 23:59:00,162,11,11,0,0,11,11,11,11,888,43.51
"",2023-11-20,3219111,Gaming Studio,973923062,Holiday Sale,USD,ENABLED,2025-10-09 00:00:00,2025-12-06 23:59:00,129,45,45,0,0,45,45,45,45,1409,73.8
"",2024-11-30,3219111,Gaming Studio,973923063,Summer Special,USD,PAUSED,2025-11-19 00:00:00,2026-01-08 23:59:00,90,8,8,0,0,8,8,8,8,759,34.95
"",2025-01-05,3162550,Joseph Markiewicz,973923055,Summer Special,USD,PAUSED,2025-11-20 00:00:00,2026-01-15 23:59:00,56,12,12,0,0,12,12,12,12,780,73.21
"",2024-02-25,3162550,Joseph Markiewicz,973923056,Holiday Sale,USD,PAUSED,2025-10-17 00:00:00,2025-12-07 23:59:00,30,10,10,0,0,10,10,10,10,486,91.94
"",2022-01-09,3162550,Joseph Markiewicz,973923056,Holiday Sale,USD,PAUSED,2025-10-17 00:00:00,2025-12-07 23:59:00,55,11,11,0,0,11,11,11,11,1994,18.12
"",2023-05-15,3219110,Tip Tap Cat,973923058,Holiday Sale,USD,ENABLED,2025-10-20 00:00:00,2025-12-01 23:59:00,127,64,64,0,0,64,64,64,64,1728,92.88
"",2024-08-17,3219112,App Developer Pro,973923066,User Acquisition,USD,ENABLED,2025-11-07 00:00:00,2025-12-21 23:59:00,41,17,17,0,0,17,17,17,17,225,79.97
"",2025-02-22,3219110,Tip Tap Cat,973923059,Spring Launch,USD,PAUSED,2025-10-02 00:00:00,2025-11-12 23:59:00,37,12,12,0,0,12,12,12,12,852,5.9
