fullapplicationno,applicationdate,wheelbase,loadlength,trailermake,endstate,axle8weight,startcountyline,startzipcode,axle11space,endstreetaddress,issuedate,axle7weight,axle7space,startstate,descriptionofload,permitdateto
HAR-2023921-31753,2023-09-21T16:35:15.000Z,68.0,40.0,TRANSCRAFT,NY,14850.0,GEORGE WASHINGTON BRIDGE,11111,,47TH ST & MADISON AVE,2023-09-22T13:46:13.000Z,14850.0,4.06,NY,STEEL FRAME,2023-09-26T00:00:00.000Z
Cen1-202182-21917,2021-08-02T07:40:54.000Z,53.08,45.06,Forrest River,NY,,,11354,,1071 5th Av?e,2021-08-02T09:31:03.000Z,,,NY,3 room (3 actor changing rooms ) #2,2021-08-04T00:00:00.000Z
HAR-20221213-49423,2022-12-13T15:00:51.000Z,68.0,40.0,GREAT DANE,NY,19500.0,GEORGE WASHINGTON BRIDGE,11111,,47TH ST & MADISON AVE,2022-12-14T13:46:27.000Z,19500.0,4.06,NY,STEEL FRAME,2022-12-16T00:00:00.000Z
New-2022928-37920,2022-09-28T15:45:33.000Z,44.03,65.07,,NY,21358.0,,11111,,WEST ST & GREEN ST,2022-09-29T13:11:32.000Z,21369.0,8.0,NY,CD#5423 SELF PROPELLED TRUCK CRANE LIEBHERR LTM-1450 S/N: 13717577,2022-10-03T00:00:00.000Z
HAR-2023125-38524,2023-12-05T15:25:51.000Z,65.0,53.0,XLS,NY,,,11430,,,2023-12-06T09:32:07.000Z,,,NY,EMPTY TRAILER,2023-12-08T00:00:00.000Z
Jac-2022322-10187,2022-03-22T12:44:26.000Z,52.1,40.0,SERRO SCOTTY,NY,,,11205,,400 CHURCH ST.,2022-03-22T15:04:32.000Z,,,NY,FILM INDUSTRY CAST TRAILER 2 ROOM Stake Bed 10711 T2303,2022-03-24T00:00:00.000Z
Eli-2023228-9584,2023-02-28T18:03:23.000Z,64.1,53.0,UTILITY,NY,,I495/NASSAU LINE,20000,,,2023-03-01T10:41:00.000Z,,,NY,EMPTY TRAILER - 4298,2023-03-03T00:00:00.000Z
New-2023929-32438,2023-09-29T11:26:09.000Z,104.01,73.0,GOLDHOFFER,NY,13807.0,NJ @ GWB,11111,5.0,E64 ST & 2 AVE,2023-09-29T16:13:47.000Z,13807.0,5.0,NY,EMPTY GOLDHOFFER TRAILER,2023-10-01T00:00:00.000Z
Joh2-2021122-37528,2021-12-02T08:46:23.000Z,61.0,42.0,GREAT DANE,NY,,,11354,,18 HARRISON PL,2021-12-02T09:57:27.000Z,,,NY,HAIR/MAKE UP TRAILER,2021-12-04T00:00:00.000Z
JAM-20221129-46794,2022-11-29T10:50:30.000Z,58.06,58.0,MANA,NY,,,11217,,,2022-11-30T14:05:08.000Z,,,NY,EMPTY TRAILER,2022-12-01T00:00:00.000Z
Con3-20221020-41624,2022-10-20T14:16:08.000Z,53.06,50.0,GREAT DANE,NY,,,10475,,4330 BOSTON ROAD,2022-10-21T13:32:33.000Z,,,NY,UTILITY POLES,2022-10-25T00:00:00.000Z
Com2-2022419-14562,2022-04-19T13:06:12.000Z,53.0,45.0,RIVS,NY,,,11354,,19-06 Ditmars Blvd,2022-04-19T15:34:51.000Z,,,NY,3 Room Camper & Fueler,2022-04-21T00:00:00.000Z
NJ-202322-5409,2023-02-02T19:26:53.000Z,68.08,53.0,DORSEY,NY,,NASSAU COUNTY LINE @ I495,22222,,,2023-02-03T09:33:29.000Z,,,NY,EMPTY TRAILER DORSEY,2023-02-07T00:00:00.000Z
New-2022624-24595,2022-06-24T15:21:46.000Z,62.08,48.0,GREAT DANE,NY,,,11111,,,2022-06-27T09:56:52.000Z,,,NY,EMPTY,2022-06-29T00:00:00.000Z
New-2021812-23402,2021-08-12T14:30:26.000Z,71.06,34.0,ROGERS,NY,18333.0,NJ @ GOETHALS BRIDGE,11111,,426 HOYT ST,2021-08-16T13:52:40.000Z,18333.0,4.05,NY,EXCAVATOR MAKE: KOMATSU MODEL: PC490-10,2021-08-17T00:00:00.000Z
Wes-2023117-2241,2023-01-17T15:59:04.000Z,67.0,53.0,MANAC,NY,,WESTCHESTER LINE @ I-95,10407,,64 20th Street,2023-01-19T11:13:50.000Z,,,NY,"PRECAST CONCRETE WALL, Blakeslee, NA",2023-01-20T00:00:00.000Z
Pla-2022114-43986,2022-11-04T23:01:51.000Z,21.01,40.0,,NY,,,11372,,1480 Sheridan BLVD,2022-11-07T11:37:47.000Z,,,NY,Mobile Medical Center COVID 19 related,2022-11-09T00:00:00.000Z
HAR-2022510-17734,2022-05-10T08:06:33.000Z,70.02,55.0,FONTAINE,NY,,GEORGE WASHINGTON BRIDGE,11111,,47TH ST & MADISON AVE,2022-05-11T11:23:43.000Z,,,NY,STEEL FRAME,2022-05-13T00:00:00.000Z
THE1-2021106-30623,2021-10-06T13:40:25.000Z,62.03,53.0,MANAC,NY,,NASSAU LINE @ SR24/HEMPSTEAD AVE,11111,,,2021-10-07T11:57:10.000Z,,,NY,EMPTY TRAILER,2021-10-09T00:00:00.000Z
Edw-202278-26223,2022-07-08T16:16:54.000Z,47.08,44.0,Forrest River,NY,,,11354,,236 Greenpoint Avenue,2022-07-11T13:30:42.000Z,,,NY,Film Industry 3 Room Covid Camper,2022-07-15T00:00:00.000Z
SP-2022110-713,2022-01-10T13:05:05.000Z,56.11,53.0,GRT Dane,NY,,,11205,,4865 Arthur Kill Road,2022-01-10T13:48:51.000Z,,,NY,Film Production Honey Wagon Dressing Rooms and Bathroom Trailer,2022-01-12T00:00:00.000Z
HAR-2022929-38008,2022-09-29T08:38:26.000Z,68.0,40.0,HOBBS,NY,14850.0,GEORGE WASHINGTON BRIDGE,11111,,47TH ST & MADISON AVE,2022-09-30T13:54:24.000Z,14850.0,4.06,NY,STEEL FRAME,2022-10-04T00:00:00.000Z
Mut-2023428-18687,2023-04-28T15:01:31.000Z,63.07,53.0,Fontaine,NY,,,11111,,,2023-05-01T13:12:10.000Z,,,NY,Empty Trailer,2023-05-02T00:00:00.000Z
Ans-2022317-9438,2022-03-17T12:12:58.000Z,61.0,40.03,Great Dane,NY,,,11205,,11 W.121st St.,2022-03-23T11:58:38.000Z,,,NY,8 Station Hair / Make Up Trailer,2022-03-25T00:00:00.000Z
New-2022103-38706,2022-10-03T17:37:40.000Z,49.06,48.0,WILLIAMS SCOTSMAN,NY,,,11111,,,2022-10-04T11:23:14.000Z,,,NY,OFFICE TRAILER MAKE: WILLIAM SCOTSMAN MODEL: 2017 S/N:MDS-041636,2022-10-06T00:00:00.000Z
Blu-2023320-12589,2023-03-20T12:14:36.000Z,54.0,53.0,GREAT DANE,NY,,,11101,,"Manhattan Ave, btw Ash/Commercial St. & Box St.",2023-03-20T14:16:53.000Z,,,NY,FILM INDUSTRY - 2 BANG TRUCK FOR ACTORS & BACKGROUND,2023-03-22T00:00:00.000Z
THE1-2023427-18513,2023-04-27T16:13:58.000Z,72.02,48.0,DORSEY,NY,,WESTCHESTER @ I-87,11111,,980 E 149TH ST,2023-04-28T10:31:37.000Z,17667.0,4.08,NY,PRECASTE CONCRETE SECTION,2023-05-02T00:00:00.000Z
Amb-2021913-27230,2021-09-13T11:32:07.000Z,53.0,53.0,GRE,NY,,,11211,,155 Bay St,2021-09-15T10:04:11.000Z,,,NY,Film Production - Electric Trailer w/Fixed Genny,2021-09-17T00:00:00.000Z
NJ-2022127-48556,2022-12-07T18:55:03.000Z,67.02,19.02,DORSEY,NY,,NY NJ LINE @ I278 GOETHALS BRIDGE,11111,,55-90 48TH ST,2022-12-08T13:18:38.000Z,,,NY,PRECAST CONCRETE SLAB MAKE: PRECAST MODEL: CUSTOM,2022-12-12T00:00:00.000Z
209-2023124-3411,2023-01-24T13:23:31.000Z,58.0,53.0,GREAT DANE,NY,,,11354,,41 W 40TH STREET,2023-01-24T14:44:55.000Z,,,NY,NON-DIVISIBLE - CAMERA UNIT WITH GENERATOR,2023-01-27T00:00:00.000Z
HAR-2023315-12021,2023-03-15T14:33:39.000Z,74.1,48.0,HOLDEN,NY,6000.0,,10017,,,2023-03-16T09:52:43.000Z,6000.0,5.0,NY,EMPTY TRAILER,2023-03-18T00:00:00.000Z
NYC3-2021910-26960,2021-09-10T09:25:25.000Z,58.01,52.02,Eager Beaver,NY,,,11208,,699 Brush Ave,2021-09-17T13:48:55.000Z,,,NY,Empty Trailer,2021-09-18T00:00:00.000Z
HAR-202245-12283,2022-04-05T10:40:17.000Z,52.0,38.0,FREUHAUF,NY,,,10017,,,2022-04-07T14:10:39.000Z,,,NY,STEEL FRAME,2022-04-08T00:00:00.000Z
All1-2023424-17873,2023-04-24T16:48:25.000Z,59.11,48.0,Great Dane,NY,,GWB,7024,,Jacob Javits Center,2023-05-11T08:24:44.000Z,,,NY,TV Production- Equipment Truck,2023-05-14T00:00:00.000Z
Cus-2022321-10038,2022-03-21T18:27:03.000Z,47.04,28.06,CUSTOM,NY,,GOETHALS BRIDGE / I278,11111,,,2022-03-24T13:40:23.000Z,,,NY,BOAT / SEA WORTHY / 28 / 2010 / WVY28046F010,2022-03-25T00:00:00.000Z
HAR-2023314-11901,2023-03-14T18:26:02.000Z,69.02,60.0,FONTAINE,NY,,GOETHALS BRIDGE I278,10303,,559 PARK AVE,2023-03-15T11:12:58.000Z,,,NY,STEEL FRAME,2023-03-17T00:00:00.000Z
New-202254-17117,2022-05-04T19:52:55.000Z,59.0,53.0,TRAIN MOBILE,NY,,,11111,,,2022-05-05T13:22:05.000Z,,,NY,EMPTY,2022-05-09T00:00:00.000Z
Hig-2022531-20399,2022-05-31T09:40:08.000Z,34.05,58.0,,NY,,NYC/NASSAU @ HORACE HARDING,11111,,299 SOUTH STREET,2022-06-03T11:47:09.000Z,,,NY,CD4298 LIEHBERR LTM 1350 SP CRANE S/N 071281,2022-06-05T00:00:00.000Z
