permitid,fullapplicationno,axle10weight,axle11weight,permitservicecompany,axle8space,axle6space,axle2space,startstreetaddress,steeringweight,overalllength,axle3weight,axle4weight
634895,BAR-20231019-34309,,,BARKINGDOG ESCORTS AND PERMITS,,,21.06,,8000,75.0,7000.0,6500.0
596142,HAR-20221128-46587,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,,17.06,47TH ST & MADISON AVE,12000,73.0,5900.0,6200.0
552403,HAR-2022127-2848,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,4.06,4.06,15.06,,14000,78.0,19800.0,19800.0
578048,BAR-2022724-28493,,,BARKINGDOG ESCORTS AND PERMITS,,4.06,23.04,50-09 27TH ST,8000,79.0,14000.0,4000.0
564735,HAR-2022422-15180,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,4.06,15.06,47TH ST & MADISON AVE,14000,78.0,7200.0,7200.0
600081,New-20221222-50526,,,"New York Truck Escorts & Permits, Inc.",,4.06,15.0,511 7 AVE,12500,72.0,16900.0,16900.0
545492,Jac-20211117-36062,,,Ryan Cooke 817 DD,,,10.07,811 HUMBOLT ST,7654,73.0,10866.0,14266.0
609210,HAR-2023222-8624,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,4.06,15.06,47TH ST & MADISON AVE,14000,78.0,7200.0,7200.0
562887,Jac-2022411-13332,,,Ryan Cooke 817 DD,,,16.0,63 FLUSHING AVE,6689,73.0,8478.0,9477.0
619724,Hig-202353-19138,,,High Wide & Heavy Oversize Escorts LLC,,5.0,18.0,JFK @ 678,12000,79.0,5800.0,5800.0
543978,AND2-2021114-34548,,,ANDREW COLLINS TRANSPO 817,,,14.04,131 JEWEL ST,5000,72.0,13000.0,13000.0
619371,Hig-202351-18785,,,High Wide & Heavy Oversize Escorts LLC,5.0,5.0,12.1,24 OAK ST,11063,80.06,21000.0,21000.0
588290,Par-2022104-38735,,,Kimberly Bryce - Film,,,12.1,25 Washington Avenue,10000,63.03,11710.0,11710.0
536817,Pre-2021913-27387,,,Presto Permits,,,16.07,CONEY ISLAND YARD AT SHELL RD SOUTH OF AVE Z,10000,68.02,10000.0,10000.0
538867,Jac-2021928-29437,,,Ryan Cooke 817 DD,,,10.07,811 HUMBOLT,7525,68.0,12588.0,15000.0
583740,HAR-202291-34185,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,4.06,4.06,15.06,,14000,78.0,14850.0,14850.0
551177,New-2022118-1622,,,"New York Truck Escorts & Permits, Inc.",5.05,5.05,5.05,,15640,60.1,15420.0,16610.0
560056,Sta-2022323-10501,,,State Permits,,4.03,16.03,135 E HOUSTON ST,10000,75.0,3500.0,3500.0
627757,HAR-2023731-27171,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,,17.06,,12000,79.0,15625.0,15625.0
612479,Hig-2023314-11893,,,High Wide & Heavy Oversize Escorts LLC,,,13.0,,12000,68.0,5500.0,5500.0
578590,HAR-2022727-29035,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,4.06,4.06,15.06,,14000,78.0,19800.0,19800.0
611718,THE1-202339-11132,,,THE PERMIT COMPANY,,4.08,17.06,980 E 149TH ST,12000,79.11,9600.0,9600.0
636723,New-2023117-36137,,,"New York Truck Escorts & Permits, Inc.",,5.0,13.08,,13000,84.0,13200.0,13200.0
533570,Les-2021818-24140,,,"Lester R. Summers, Inc.",,5.0,14.0,41-01 19TH AVENUE,10000,75.0,4000.0,4000.0
628209,HAR-202384-27623,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,4.06,4.06,15.06,,14000,78.0,14850.0,14850.0
554446,Hig-2022211-4891,,,High Wide & Heavy Oversize Escorts LLC,,,13.0,,12000,78.0,5500.0,5500.0
552822,New-2022131-3267,,,"New York Truck Escorts & Permits, Inc.",,5.05,5.05,,26400,57.03,26400.0,26400.0
566183,New-202252-16628,,,"New York Truck Escorts & Permits, Inc.",,,18.0,87 RIVER ST,12000,75.0,13668.0,13667.0
584611,SP-202299-35056,,,Shieed P Jones 817 Films,,,13.0,10101 Foster Ave,12000,66.06,12000.0,12000.0
546139,Cas1-20211123-36709,,,Cason Tranport LLC,,5.0,18.02,Sheridan blvd @ Westchester ave,9400,72.0,4720.0,4720.0
588578,Eli-2022105-39023,,,"Elite Motor Carrier Escort, LLC.",,,18.0,,12840,74.11,20000.0,20000.0
637599,HAR-20231117-37013,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,,17.06,47TH & MADISON AVE,12000,79.0,15625.0,15625.0
553094,HAR-202221-3539,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,4.06,4.06,15.06,,14000,78.0,19800.0,19800.0
541318,HAR-20211018-31888,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,,17.06,48TH ST & MADISON AVE,12000,73.0,5900.0,6200.0
582936,Hig-2022826-33381,,,High Wide & Heavy Oversize Escorts LLC,,15.0,21.07,,12000,112.0,16965.0,16965.0
612040,New-2023313-11454,,,"New York Truck Escorts & Permits, Inc.",,,19.06,,12000,78.0,16750.0,16750.0
584304,JAM-202297-34749,,,JAMIE J HILL  DBA GATOR PERMITS,,,14.06,91 E 111TH ST,8000,77.0,10000.0,3000.0
546533,HAR-20211129-37103,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,,17.06,,12000,73.0,5900.0,6200.0
584647,Aar-202299-35092,,,Aaron Forste 817 DD,,,16.06,415 Kingsland Ave.,10000,68.02,7000.0,7000.0
626175,HAR-2023711-25589,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,4.06,15.06,47TH ST & MADISON AVE,14000,78.0,7200.0,7200.0
579030,HAR-2022729-29475,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,4.06,19.06,47TH ST & MADISON AVE,14000,78.0,7200.0,7200.0
556619,Wes-202231-7064,,,West Chester Permit LLc,,4.07,13.07,,12000,76.0,17600.0,17600.0
586991,HAR-2022926-37436,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,,17.06,,12000,79.0,15625.0,15625.0
568581,New-2022518-19026,,,"New York Truck Escorts & Permits, Inc.",,,8.08,1301 METROPOLITAN AVE,26400,51.02,26400.0,26400.0
529874,Mut-2021720-20444,,,Muthers Pilot Car Services,,5.05,5.05,424 5th Ave,26400,56.09,26400.0,26400.0
584268,Hig-202297-34713,6000.0,,High Wide & Heavy Oversize Escorts LLC,4.11,4.01,15.03,35-15 19TH AVE,10000,75.0,6000.0,6000.0
628306,NYC1-202387-27720,,,NYC Department of Small Business Services,,,25.0,120 Stuyvesant Place,10000,40.0,,
546056,Com-20211122-36626,,,"Comdata Network, Inc.",,,14.09,,12000,75.0,13500.0,13500.0
630529,NJ-2023831-29943,,,NJ Routing and Logistics,,4.05,16.08,,15000,73.1,14000.0,14000.0
628737,THE1-2023810-28151,,,THE PERMIT COMPANY,,4.08,17.06,,13000,79.11,17200.0,17200.0
601578,THE1-202319-992,,,THE PERMIT COMPANY,,4.08,17.06,980 E 149TH ST,12000,62.0,9600.0,9600.0
617924,HAR-2023420-17338,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,4.06,4.06,15.06,,14000,78.0,19800.0,19800.0
568796,Hig-2022519-19241,,,High Wide & Heavy Oversize Escorts LLC,,,13.0,,12000,78.0,5500.0,5500.0
615690,NYC1-202345-15104,,,NYC Department of Small Business Services,,,25.0,280 Wycoff Street,10000,40.0,,
610703,209-202333-10117,,,John McMorrow 817,,,14.0,26-01 ULMER STREET,12000,70.0,16000.0,16000.0
585095,NJ-2022913-35540,,,NJ Routing and Logistics,,4.05,14.03,,12000,72.04,18000.0,18000.0
535473,Hor1-202191-26043,,,Bridget Barnes,,,14.06,22 W 19TH STREET,6600,62.0,10000.0,10000.0
637361,New-20231115-36775,,,"New York Truck Escorts & Permits, Inc.",,4.02,19.06,,14000,75.0,19200.0,19200.0
543848,Mad-2021113-34418,,,Sean Kelly 817 DD,,,15.0,570 Kent Ave,10000,72.0,7000.0,7000.0
560904,THE1-2022329-11349,,,THE PERMIT COMPANY,,4.08,17.06,,13000,79.11,17200.0,17200.0
632635,HAR-2023926-32049,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,,17.06,,12000,79.0,15625.0,15625.0
530908,Wes-2021728-21478,,,West Chester Permit LLc,,,17.07,998 BRUSH AVE,12000,75.0,5000.0,5000.0
620584,Lea-2023511-19998,,,kevin  wood  817 film DD,,,9.09,2911 ARTHUR KILL RD,9140,75.0,10690.0,16240.0
638554,Joe1-20231130-37968,,,Joe Falletta - Film,,,17.0,570 KENT AVE,7000,71.08,4746.0,4746.0
562526,209-202248-12971,,,John McMorrow 817,,,14.0,70-60 83RD STREET,15000,60.0,16000.0,16000.0
542274,Wes-20211022-32844,,,West Chester Permit LLc,,,15.0,,9000,61.0,9000.0,9000.0
559673,HAR-2022322-10118,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,,17.06,,12000,79.0,15625.0,15625.0
563989,THE1-2022418-14434,,,THE PERMIT COMPANY,,,17.06,,13000,79.11,21500.0,21500.0
633005,HAR-2023929-32419,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,,17.06,47TH ST & MADISON AVE,12000,73.0,5900.0,6200.0
587570,SP-2022929-38015,,,Shieed P Jones 817 Films,,,10.1,10101 Foster Ave,12000,67.09,17500.0,10000.0
625344,HAR-2023630-24758,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,4.06,15.06,47TH ST & MADISON AVE,14000,78.0,7200.0,7200.0
614234,Hor1-2023327-13648,,,Bridget Barnes,,,14.06,211 MESEROLE,6600,62.0,10000.0,10000.0
578114,HAR-2022725-28559,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,,17.06,47TH ST & MADISON AVE,12000,73.0,5900.0,6200.0
607907,Hor1-2023214-7321,,,Bridget Barnes,,,19.06,211 MESEROLE,7750,60.0,19500.0,19500.0
640215,J.J-20231213-39629,,,"J.J. KELLER & ASSOCIATES, INC.",,4.01,17.06,JCT 147TH AVE & 228TH ST,14000,77.0,6000.0,6000.0
572274,Onl-2022614-22719,,,Marie Mascola   Film Production   DD,,,12.0,15 Washington Avenue,10000,65.0,12666.0,12666.0
554303,HAR-2022211-4748,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,4.06,15.06,47TH ST & MADISON AVE,14000,78.0,7200.0,7200.0
571008,CBS3-202266-21453,,,Thomas Gargiulo 817 DD,,,16.02,42-02 56th Rd,3100,60.0,7000.0,7000.0
