applicationdate,loadheight,endcity,axle9weight,overallwidth,traileryear
2023-09-21T16:35:15.000Z,10.0,MANHATTAN,,11.06,1990.0
2021-08-02T07:40:54.000Z,13.0,New York,,8.06,2019.0
2022-12-13T15:00:51.000Z,10.0,MANHATTAN,,13.08,1989.0
2022-09-28T15:45:33.000Z,12.08,BROOKLYN,,9.1,
2023-12-05T15:25:51.000Z,2.0,,,8.06,1999.0
2022-03-22T12:44:26.000Z,13.06,MANHATTAN,,8.06,1997.0
2023-02-28T18:03:23.000Z,5.0,,,8.06,2015.0
2023-09-29T11:26:09.000Z,3.0,MANHATTAN,13807.0,10.0,2013.0
2021-12-02T08:46:23.000Z,7.0,BROOKLYN,,8.06,2016.0
2022-11-29T10:50:30.000Z,1.06,,,8.06,2000.0
2022-10-20T14:16:08.000Z,1.06,Bronx,,8.0,1990.0
2022-04-19T13:06:12.000Z,13.06,Queens,,8.0,2018.0
2023-02-02T19:26:53.000Z,3.0,,,8.06,2020.0
2022-06-24T15:21:46.000Z,3.0,,,8.06,2006.0
2021-08-12T14:30:26.000Z,11.01,BROOKLYN,18333.0,12.0,2017.0
2023-01-17T15:59:04.000Z,13.0,BROOKLYN,,9.06,2015.0
2022-11-04T23:01:51.000Z,13.0,Bronx,,8.05,
2022-05-10T08:06:33.000Z,4.09,MANHATTAN,,11.02,1989.0
2021-10-06T13:40:25.000Z,3.0,,,8.06,2020.0
2022-07-08T16:16:54.000Z,12.06,Brooklyn,,8.06,2018.0
2022-01-10T13:05:05.000Z,8.0,Staten Island,,8.06,2004.0
2022-09-29T08:38:26.000Z,10.0,MANHATTAN,,11.06,1987.0
2023-04-28T15:01:31.000Z,2.0,,,8.06,2018.0
2022-03-17T12:12:58.000Z,13.06,New York,,8.0,2007.0
2022-10-03T17:37:40.000Z,13.06,,,10.0,2017.0
2023-03-20T12:14:36.000Z,13.06,Brooklyn,,8.07,1997.0
2023-04-27T16:13:58.000Z,8.0,THE BRONX,,9.11,2013.0
2021-09-13T11:32:07.000Z,13.06,Brooklyn,,8.0,2015.0
2022-12-07T18:55:03.000Z,10.06,MASPETH,,10.06,2022.0
2023-01-24T13:23:31.000Z,13.06,MANHATTAN,,8.06,1993.0
2023-03-15T14:33:39.000Z,4.0,,6000.0,8.06,2007.0
2021-09-10T09:25:25.000Z,2.01,Bronx,,8.06,2014.0
2022-04-05T10:40:17.000Z,4.06,,,12.02,1998.0
2023-04-24T16:48:25.000Z,13.04,New York,,8.05,2021.0
2022-03-21T18:27:03.000Z,10.0,,,10.07,1988.0
2023-03-14T18:26:02.000Z,6.0,BROOKLYN,,8.06,1995.0
2022-05-04T19:52:55.000Z,3.0,,,8.06,2003.0
2022-05-31T09:40:08.000Z,13.01,MANHATTAN,,9.1,
2023-05-17T16:35:24.000Z,13.01,MANHATTAN,,9.1,
2023-09-12T13:52:51.000Z,4.09,MANHATTAN,,11.02,2009.0
2022-03-18T16:19:24.000Z,3.0,,,8.06,2005.0
2021-07-19T22:33:24.000Z,5.0,,,8.06,2019.0
2021-09-27T10:53:18.000Z,13.06,brooklyn,,8.07,1997.0
2022-01-04T11:11:37.000Z,13.06,Queens,,8.07,2014.0
2023-04-06T15:21:32.000Z,2.0,,,8.06,2000.0
2023-04-06T17:11:02.000Z,1.0,,,8.06,2017.0
2022-10-11T15:59:11.000Z,13.06,,6444.0,12.07,2021.0
2023-04-28T17:35:32.000Z,10.05,,,9.08,2003.0
2021-11-15T13:23:03.000Z,5.0,,,8.06,2021.0
2023-11-16T14:35:49.000Z,4.02,,,11.1,1993.0
2021-07-22T11:05:15.000Z,10.0,,,13.0,2018.0
2022-06-09T09:34:35.000Z,13.0,Brooklyn,,8.05,
2021-08-23T15:48:10.000Z,13.06,,,12.0,2020.0
2023-02-16T11:17:37.000Z,10.01,Brooklyn,,8.02,
2023-02-09T12:47:00.000Z,8.0,THE BRONX,,11.11,2017.0
2022-04-27T14:38:27.000Z,10.0,MANHATTAN,,13.08,2004.0
2023-12-20T09:14:48.000Z,13.06,STATEN ISLAND,,8.06,2000.0
2023-03-15T14:39:47.000Z,2.0,,,8.06,1996.0
2022-09-12T15:41:13.000Z,4.0,BRONX,,8.06,1986.0
2022-03-25T12:43:25.000Z,5.05,MANHATTAN,,8.06,2001.0
2021-09-01T10:21:33.000Z,9.0,Queens,,8.0,2000.0
2023-03-30T11:41:58.000Z,3.0,QUEENS,,8.06,2019.0
2022-09-19T09:20:30.000Z,13.06,Bronx,,7.1,1997.0
2022-12-08T13:34:33.000Z,12.0,Staten Island,,8.03,2016.0
2023-05-19T14:31:29.000Z,10.02,Brooklyn,,14.0,2021.0
2022-07-13T08:13:01.000Z,4.02,MANHATTAN,,11.1,2006.0
2021-10-27T11:55:28.000Z,12.08,New York,,8.06,2000.0
2022-10-26T13:36:26.000Z,13.04,Brooklyn,,8.0,2014.0
2022-11-22T08:08:04.000Z,12.06,Brooklyn,,8.11,2018.0
2023-02-01T09:33:38.000Z,13.06,New York,,8.06,2022.0
2022-09-19T12:25:36.000Z,7.06,New York,,8.06,2017.0
2022-03-02T13:28:42.000Z,13.06,New York,,8.06,2012.0
2023-03-24T17:49:12.000Z,8.0,THE BRONX,,11.11,2014.0
2022-10-31T08:29:53.000Z,10.0,MANHATTAN,,11.06,1987.0
2021-07-29T15:43:08.000Z,8.0,Bronx,,8.0,1997.0
2022-05-18T10:35:44.000Z,13.0,NEW YORK,,8.06,2007.0
2022-08-31T16:48:17.000Z,2.0,,,8.06,2000.0
2023-03-13T12:08:26.000Z,13.06,MANHATTAN,,8.06,2017.0
2021-09-24T12:31:58.000Z,13.06,manhattan,,8.06,2012.0
2021-08-05T09:58:57.000Z,8.0,,,10.0,2007.0
2023-02-15T18:56:20.000Z,2.0,,,8.06,2017.0
2022-10-14T08:34:20.000Z,4.02,MANHATTAN,,11.1,1985.0
2022-06-01T13:47:29.000Z,13.06,New York,,8.06,2015.0
2022-08-11T23:13:51.000Z,13.0,Bronx,,8.05,
2022-04-21T14:06:51.000Z,2.0,,,8.06,2000.0
2023-06-01T13:28:02.000Z,4.02,MANHATTAN,,11.1,1986.0
2023-01-24T08:17:09.000Z,4.02,MANHATTAN,,11.1,2009.0
2023-02-01T17:03:08.000Z,13.06,NEW YORK,,8.06,2004.0
2022-06-23T09:31:55.000Z,13.06,Brooklyn,,8.06,2015.0
2022-03-25T08:00:47.000Z,13.06,,,8.1,2013.0
2023-02-09T12:52:14.000Z,2.0,,,8.06,2017.0
2022-05-17T11:47:03.000Z,13.06,MANHATTAN,,8.06,1996.0
2021-10-27T14:57:55.000Z,4.02,MANHATTAN,,11.02,1986.0
2021-10-28T11:24:02.000Z,13.06,New York,,8.06,2010.0
2022-12-05T08:11:24.000Z,13.06,New York,,8.07,2012.0
2023-11-09T15:58:11.000Z,4.02,,,11.1,1996.0
2022-07-29T08:37:29.000Z,9.0,New York City,,8.0,2003.0
2022-09-16T14:37:26.000Z,1.06,Bronx,,8.0,1990.0
2022-08-25T12:36:50.000Z,13.0,Brooklyn,,8.06,1996.0
2021-09-23T10:54:51.000Z,12.06,Brooklyn,,8.06,2014.0
2021-11-15T09:07:52.000Z,12.06,Brooklyn,,8.11,1995.0
2022-04-11T13:21:07.000Z,2.0,,,8.06,1982.0
2022-11-15T11:08:02.000Z,13.0,BROOKLYN,,9.06,2001.0
2022-09-30T20:15:46.000Z,10.0,NEW YORK,,8.06,2014.0
2022-06-15T18:40:46.000Z,5.1,BRONX,,8.06,1981.0
2024-01-04T16:21:53.000Z,2.0,,,8.06,1971.0
2021-07-30T08:13:20.000Z,8.0,Brooklyn NY,,8.06,2017.0
2021-12-29T10:28:44.000Z,11.0,Bklyn,14000.0,10.0,1987.0
2023-03-03T16:12:48.000Z,3.02,Queens,,8.06,2016.0
2022-10-25T08:47:57.000Z,13.06,Queens,,8.06,2020.0
2023-12-21T16:57:38.000Z,10.06,NEW YORK,,11.11,2020.0
2021-08-19T14:02:02.000Z,13.06,,,12.0,2020.0
2021-10-05T17:12:03.000Z,8.0,,,11.11,2020.0
2022-07-25T15:39:10.000Z,3.06,,,8.06,2014.0
2022-05-03T13:02:54.000Z,13.06,,,8.05,1995.0
2022-07-08T16:08:20.000Z,12.06,Brooklyn,,8.06,2018.0
2023-11-06T12:49:13.000Z,3.06,,,8.06,2019.0
2021-12-13T09:31:32.000Z,12.06,New York,,8.06,2017.0
2022-08-03T14:32:05.000Z,4.06,,,8.06,2015.0
2022-04-08T13:19:53.000Z,13.06,NEW YORK,,8.07,2012.0
2022-09-09T08:00:48.000Z,2.0,,,8.06,1987.0
2022-07-13T12:43:20.000Z,2.0,,,8.06,1975.0
2022-02-11T14:28:25.000Z,4.06,,,12.06,1998.0
2022-12-28T15:16:27.000Z,10.06,,,9.11,2021.0
2022-10-25T07:58:46.000Z,2.0,,,8.06,1989.0
2023-01-09T19:26:29.000Z,10.0,,,13.0,2023.0
2023-07-26T15:38:30.000Z,12.08,,,10.08,2022.0
2021-07-27T13:37:44.000Z,7.08,MANHATTAN,,19.06,2020.0
2022-10-21T17:51:35.000Z,8.0,MANHATTAN,,12.05,2008.0
2023-05-24T09:01:07.000Z,13.0,MANHATTAN,,8.06,2022.0
