fy_2015,fy_2003,fy_1982,fy_2009,fy_2004
"320,211,069","256,559,393","12,865,990","300,259,585","275,930,362"
- 0,"1,044,461",- 0,"46,776","671,120"
- 0,"131,594,000",- 0,"176,671,319","137,564,050"
"363,987,275","416,179,279","125,858,320","467,756,446","376,493,892"
- 0,- 0,- 0,- 0,- 0
- 0,"1,300,000",- 0,"1,800,000","1,300,000"
