fy_1987,fy_2012,fy_1999,fy_1992,fy_2011,source_of_categorical_aid,fy_1994,fy_1996,state_and_federal_categorical_aid,fy_1985
"16,822,949","420,757,669","212,115,678","71,600,764","304,614,871",Federal,"136,393,255","365,093,794",Health,"17,920,755"
"851,006","1,296,135","361,651","730,871","1,063,510",State,"589,659","510,750","Parks, Recreation and Cultural Activities","625,559"
"2,949,131","87,728,039","27,812,970","4,085,368","102,797,690",Federal,"6,415,361","18,160,100",Transportation Services,"2,579,441"
- 0,"178,589,740",- 0,- 0,"153,802,162",State,- 0,- 0,City University,- 0
- 0,"26,945,513",- 0,"681,121","7,833,274",Federal,"935,847","13,667",Environmental Protection,"53,402"
"230,763,445","411,744,101","282,528,968","216,707,009","461,414,132",Federal,"283,110,208","293,706,570",General Government,"362,506,516"
