fy_2001,fy_2000,fy_2010,fy_1993,fy_2019,fy_2018,fy_1991,fy_1989,fy_2008
"205,137,214","177,596,865","282,589,391","85,538,722",305850469,"348,441,063","71,669,158","31,550,613","288,418,715"
- 0,- 0,- 0,"9,713,926",0,- 0,"10,170,298","10,170,256",- 0
"(323,488)","861,915","1,074,999","691,991",988334,"795,307","7,069,519","9,640,192","1,723,677"
"1,226,506,277","1,127,538,831","2,911,468,057","867,300,618",1875662390,"1,785,724,815","667,212,311","512,205,808","1,738,835,038"
"118,096,658","144,318,944","154,442,624","102,525,689",205732309,"219,065,070","57,778,507","20,114,443","155,425,913"
- 0,- 0,- 0,- 0,0,- 0,- 0,- 0,- 0
"2,460,141,197","2,492,020,943","3,164,126,773","2,322,818,048",3619906143,"3,437,320,871","2,061,340,817","1,734,061,668","2,728,380,710"
