content_id,latitude,:@computed_region_yeji_bk3q,category_desc,:@computed_region_f5dn_yrer,event_time,is_priority,:@computed_region_sbqj_enih,region,locality
37212,,4.0,Helping Neighbors in Need,56.0,0,y,1.0,NY,"{'latitude': '40.71363051943297', 'longitude': '-74.00913138370635', 'human_address': '{""address"": ""5 Boroughs"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10007""}'}"
39716,,4.0,Helping Neighbors in Need,12.0,0,y,6.0,NY,"{'latitude': '40.75347794565972', 'longitude': '-73.99864692871675', 'human_address': '{""address"": ""450 33rd Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10001-2603""}'}"
52137,40.746817,4.0,Helping Neighbors in Need,11.0,0,,7.0,NY,"{'latitude': '40.74678037991758', 'longitude': '-73.99366420981637', 'human_address': '{""address"": ""305 Seventh Avenue"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10001""}'}"
40978,,4.0,Strengthening Communities,23.0,0,,11.0,NY,"{'latitude': '40.781770000585084', 'longitude': '-73.95062814906976', 'human_address': '{""address"": ""102 St & East Side Drive"", ""city"": ""NY"", ""state"": """", ""zip"": ""10128""}'}"
48850,,4.0,Health,11.0,0,,8.0,NY,"{'latitude': '40.74849052268911', 'longitude': '-73.99056629742063', 'human_address': '{""address"": ""132 31st Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10001""}'}"
39158,40.747993,3.0,Environment,65.0,0,y,73.0,NY,"{'latitude': '40.75163073936716', 'longitude': '-73.88361254528269', 'human_address': '{""address"": ""37 43 77th Street Jackson Heights"", ""city"": ""NY"", ""state"": """", ""zip"": ""11372""}'}"
40097,40.70438,4.0,Strengthening Communities,56.0,0,,1.0,NY,"{'latitude': '40.704414750033095', 'longitude': '-74.00648429733923', 'human_address': '{""address"": ""120 Wall Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10005""}'}"
39644,,4.0,Helping Neighbors in Need,11.0,0,,7.0,NY,"{'latitude': '40.73943216627024', 'longitude': '-73.98656260495757', 'human_address': '{""address"": ""105 22nd Street"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""10010""}'}"
37956,,4.0,Strengthening Communities,11.0,0,,7.0,NY,"{'latitude': '40.73943216627024', 'longitude': '-73.98656260495757', 'human_address': '{""address"": ""105 22nd Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10010""}'}"
3777900.00%,40.667112,2.0,Strengthening Communities,45.0,0,,47.0,NY,"{'latitude': '40.667188699215906', 'longitude': '-73.88520654134761', 'human_address': '{""address"": ""568 Jerome St"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11207""}'}"
