property_id,number_of_buildings,list_of_all_property_use,site_energy_use_kbtu,multifamily_housing_total,third_party_certification_2,temporary_values,hospital_general_medical_6,multifamily_housing_number_4,office_number_of_workers,convention_center_gross_floor,municipally_supplied_potable,percent_of_recs_retained,_2nd_largest_property_use_1,data_center_cooling_equipment,pre_school_daycare_gross,estimated_data_flag_district,estimated_data_flag_fuel_1,year_ending,annual_maximum_demand_mm,hospital_general_medical_4,medical_office_number_of_2,avoided_emissions_onsite_1,data_center_ups_output_meter,number_of_active_it_meters,multifamily_housing_total_1,multifamily_housing_number,multifamily_housing_government,natural_gas_use_kbtu,nyc_borough_block_and_lot,energy_star_certification,adult_education_gross_floor,municipally_supplied_potable_1,total_ghg_emissions_metric,weather_normalized_site_eui,museum_gross_floor_area_ft,property_gfa_self_reported,fuel_oil_5_6_use_kbtu,senior_living_community_gross,last_modified_date_property_1,multifamily_housing_percent_1,medical_office_percent_that,indirect_ghg_emissions_metric,property_gfa_calculated,retail_store_gross_floor,estimated_data_flag_fuel,other_gross_floor_area_ft,hospital_general_medical_7,energy_power_station_gross,_3rd_largest_property_use_1,enclosed_mall_gross_floor,hotel_gross_floor_area_ft,urgent_care_clinic_other,last_modified_date_non,supermarket_grocery_gross,site_eui_kbtu_ft,indoor_water_use_all_water,estimated_values_energy,multifamily_housing_number_6,year_built,parent_property_id,data_center_pdu_input_meter,hospital_general_medical_2,data_center_energy_estimates,last_modified_date_water,electricity_use_grid_purchase,number_of_active_energy_meters,primary_property_type_self,worship_facility_gross_floor,data_center_gross_floor_area,fuel_oil_2_use_kbtu,fuel_oil_4_use_kbtu,electricity_use_generated_2,bank_branch_gross_floor_area,k_12_school_gross_floor_area,municipally_supplied_potable_2,refrigerated_warehouse_gross,energy_star_score,data_center_it_energy,medical_office_number_of_1,leed_us_project_id,estimated_values_water,self_storage_facility_gross,borough,retail_store_number_of_open,wholesale_club_supercenter_1,office_percent_that_can_be,water_use_all_water_sources,barracks_gross_floor_area,submission_date,avoided_emissions_onsite,occupancy,source_energy_use_kbtu,last_modified_date_gas_meters
15569105,1,"Multifamily Housing, Retail Store",41985268.5,211,Not Available,No,Not Available,211,Not Available,Not Available,Not Available,Not Available,65438,Not Available,Not Available,Not Available,Not Available,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,0.34321,633,Not Available,29142448.3,1-01234-7503,Not Available,Not Available,6824.7,2633.6,Not Available,Not Available,680222,Not Available,Not Available,04/19/2021 03:53 PM EDT,100,Not Available,1085.7,680222.0,65438,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,61.7,6824.7,No,0,2010,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,03/01/2022 06:44 PM EST,12842820.2,15,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6824.7,Not Available,82,Not Available,Not Available,Not Available,No,Not Available,MANHATTAN,0,Not Available,Not Available,6824.7,Not Available,2022-09-22T00:00:00.000,Not Available,100,66559467.3,03/30/2022 10:20 AM EDT
6292401,1,Multifamily Housing,3830939.2,51,Not Available,No,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,1.18937,60,Not Available,2985000.1,4-09814-0001,Not Available,Not Available,2712.1,230.1,93.6,Not Available,42880,Not Available,Not Available,04/07/2022 03:09 PM EDT,100,Not Available,71.5,42880.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,89.3,2712.1,No,0,1924,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,03/14/2022 09:24 AM EDT,845939.1,9,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2712.1,Not Available,20,Not Available,Not Available,Not Available,No,Not Available,QUEENS,Not Available,Not Available,Not Available,2712.1,Not Available,2022-09-22T00:00:00.000,Not Available,95,5502879.5,07/27/2022 01:48 PM EDT
2694374,1,"Medical Office, Multifamily Housing",8002906.3,53,Not Available,No,Not Available,53,Not Available,Not Available,Not Available,Not Available,6195,Not Available,Not Available,Not Available,No,2021-12-31T00:00:00.000,Not Available,Not Available,13.63,0,Not Available,0,0.54544,114,No,6451561.5,1-01386-7501,Not Available,Not Available,3598.9,473.8,Not Available,Not Available,103364,Not Available,Not Available,08/05/2014 10:15 PM EDT,100,100,131.2,103364.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/02/2022 04:34 PM EDT,Not Available,77.4,3598.9,No,0,1928,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,03/01/2022 05:50 PM EST,1551344.8,9,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3598.9,Not Available,65,Not Available,0,Not Available,No,Not Available,MANHATTAN,Not Available,Not Available,Not Available,3598.9,Not Available,2022-09-22T00:00:00.000,Not Available,100,11117905.1,04/02/2022 04:33 PM EDT
3108513,1,Multifamily Housing,16282202.8,42,Not Available,No,Not Available,42,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,0.1871,172,No,12713998.9,1-01582-0023,Not Available,Not Available,4236.3,977,79,Not Available,224474,Not Available,Not Available,08/05/2014 10:15 PM EDT,100,Not Available,301.7,224474.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11/19/2018 02:35 PM EST,Not Available,72.5,4236.3,No,0,1927,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,03/01/2022 05:42 PM EST,3568203.9,8,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4236.3,Not Available,88,Not Available,Not Available,Not Available,No,Not Available,MANHATTAN,Not Available,Not Available,Not Available,4236.3,Not Available,2022-09-22T00:00:00.000,Not Available,100,23340669.8,03/21/2022 03:00 AM EDT
4945798,2,"Multifamily Housing, Retail Store",17284057.3,200,Not Available,No,Not Available,0,Not Available,Not Available,Not Available,Not Available,7600,Not Available,Not Available,Not Available,Not Available,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,0.96037,200,No,14062700.1,4-10535-0010,Not Available,Not Available,8836.3,1019.3,84.4,Not Available,215852,Not Available,Not Available,11/12/2019 11:24 AM EST,100,Not Available,272.3,215852.0,7600,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,80.1,8836.3,No,200,1953,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,03/01/2022 06:50 PM EST,3221357.2,3,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8836.3,Not Available,48,Not Available,Not Available,Not Available,No,Not Available,,0,Not Available,Not Available,8836.3,Not Available,2022-09-22T00:00:00.000,Not Available,100,23785635.4,07/27/2022 04:31 PM EDT
4952684,1,Multifamily Housing,8180681.9,110,Not Available,No,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,0.80257,110,No,6982799.9,4-03173-0070,Not Available,Not Available,3735,470.7,Not Available,Not Available,137060,Not Available,Not Available,04/27/2016 02:33 PM EDT,100,Not Available,89.6,137060.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,03/17/2022 01:23 PM EDT,Not Available,59.7,3735,No,110,1950,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,03/01/2022 06:14 PM EST,1059744,7,Multifamily Housing,Not Available,Not Available,138138,Not Available,Not Available,Not Available,Not Available,3735,Not Available,86,Not Available,Not Available,Not Available,No,Not Available,,Not Available,Not Available,Not Available,3735,Not Available,2022-09-22T00:00:00.000,Not Available,100,10438742.4,07/27/2022 04:31 PM EDT
2674032,1,Multifamily Housing,19736477.2,56,Not Available,No,Not Available,56,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,0.34924,171,No,14014407.6,1-01602-0069,Not Available,Not Available,3225.6,1196.5,132.5,Not Available,160350,Not Available,Not Available,01/18/2021 10:30 PM EST,100,Not Available,224.7,160350.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,03/29/2022 05:04 PM EDT,Not Available,123.1,3225.6,No,0,1924,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,03/01/2022 05:57 PM EST,2657752.1,11,Multifamily Housing,Not Available,Not Available,3064317.6,Not Available,Not Available,Not Available,Not Available,3225.6,Not Available,19,Not Available,Not Available,Not Available,No,Not Available,MANHATTAN,Not Available,Not Available,Not Available,3225.6,Not Available,2022-09-22T00:00:00.000,Not Available,100,25251794.4,05/23/2022 03:30 PM EDT
4047233,1,Multifamily Housing,1761539.5,28,Not Available,No,Not Available,28,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,0.24154,84,No,5328.3,1-00803-0007,Not Available,Not Available,615.9,148.8,14.8,Not Available,115925,Not Available,Not Available,08/05/2014 10:16 PM EDT,10,Not Available,148.5,115925.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12/12/2018 02:33 PM EST,Not Available,15.2,615.9,No,0,1912,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,03/01/2022 06:44 PM EST,1756211.2,4,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,615.9,Not Available,100,Not Available,Not Available,Not Available,No,Not Available,MANHATTAN,Not Available,Not Available,Not Available,615.9,Not Available,2022-09-22T00:00:00.000,Not Available,90,4922986,03/18/2022 11:03 AM EDT
6666494,1,Multifamily Housing,4197945.3,51,Not Available,No,Not Available,51,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,0.693,77,Not Available,49636.4,1-01363-0027,Not Available,Not Available,1721.3,319.3,61.5,Not Available,73593,Not Available,Not Available,04/12/2021 04:08 PM EDT,100,Not Available,71.8,73593.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,03/29/2022 10:07 AM EDT,Not Available,57,1721.3,No,0,1929,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,03/01/2022 06:09 PM EST,849419,6,Multifamily Housing,Not Available,Not Available,3298889.9,Not Available,Not Available,Not Available,Not Available,1721.3,Not Available,89,Not Available,Not Available,Not Available,No,Not Available,MANHATTAN,Not Available,Not Available,Not Available,1721.3,Not Available,2022-09-22T00:00:00.000,Not Available,100,5762370.3,05/22/2022 10:38 PM EDT
10894238,1,Multifamily Housing,11404935,149,Not Available,No,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2021-12-31T00:00:00.000,Not Available,Not Available,Not Available,0,Not Available,0,1.038,263,Not Available,8494272.9,4-15622-0100,Not Available,Not Available,20571.4,697.2,82.7,Not Available,143545,Not Available,Not Available,07/20/2020 11:26 PM EDT,100,Not Available,246.1,143545.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,79.5,20571.4,No,149,1974,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,03/01/2022 06:37 PM EST,2910662.1,3,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20571.4,Not Available,61,Not Available,Not Available,Not Available,No,Not Available,QUEENS,Not Available,Not Available,Not Available,20571.4,Not Available,2022-09-22T00:00:00.000,Not Available,100,17068840.4,07/03/2022 10:10 PM EDT
