source_relation,date_day,account_name,account_id,campaign_name,campaign_id,campaign_type,campaign_timezone,campaign_status,device_os,device_type,network,currency_code,clicks,impressions,spend,conversions,conversions_value,all_conversions,all_conversions_value
"",2019-04-09,Fivetran,150175881,PafijluKrvfPOb+f94eCDw==,359751135,Search,PacificTimeUSCanadaTijuana,Paused,Windows,Computer,Bing and Yahoo! search,USD,0,21,0.0,0,0,0,0
"",2019-04-01,Fivetran,150175881,3YxZ84+R8loZwfyM+dgb8A==,349886458,Search,PacificTimeUSCanadaTijuana,Paused,iOS,Smartphone,Bing and Yahoo! search,USD,0,0,0.0,0,0,0,0
"",2019-05-04,Fivetran,150175881,3YxZ84+R8loZwfyM+dgb8A==,349886458,Search,PacificTimeUSCanadaTijuana,Paused,Unknown,Computer,Bing and Yahoo! search,USD,0,1,0.0,0,0,0,0
"",2019-03-02,Fivetran,150175881,3YxZ84+R8loZwfyM+dgb8A==,349886458,Search,PacificTimeUSCanadaTijuana,Paused,iOS,Smartphone,Syndicated search partners,USD,0,1,0.0,0,0,0,0
"",2019-03-29,Fivetran,150175881,3YxZ84+R8loZwfyM+dgb8A==,349886458,Search,PacificTimeUSCanadaTijuana,Paused,Windows,Computer,Bing and Yahoo! search,USD,5,9,6.08,0,0,0,0
"",2019-04-24,Fivetran,150175881,PafijluKrvfPOb+f94eCDw==,359751135,Search,PacificTimeUSCanadaTijuana,Paused,Windows,Computer,Bing and Yahoo! search,USD,0,42,0.0,0,0,0,0
"",2019-04-22,Fivetran,150175881,3YxZ84+R8loZwfyM+dgb8A==,349886458,Search,PacificTimeUSCanadaTijuana,Paused,Unknown,Computer,Bing and Yahoo! search,USD,0,0,0.0,0,0,0,0
"",2019-04-19,Fivetran,150175881,PafijluKrvfPOb+f94eCDw==,359751135,Search,PacificTimeUSCanadaTijuana,Paused,Unknown,Computer,Bing and Yahoo! search,USD,0,0,0.0,0,0,0,0
"",2018-10-25,Fivetran,150175881,3YxZ84+R8loZwfyM+dgb8A==,349886458,Search,PacificTimeUSCanadaTijuana,Paused,iOS,Smartphone,Syndicated search partners,USD,0,1,0.0,0,0,0,0
"",2019-04-15,Fivetran,150175881,PafijluKrvfPOb+f94eCDw==,359751135,Search,PacificTimeUSCanadaTijuana,Paused,Unknown,Computer,Syndicated search partners,USD,0,5,0.0,0,0,0,0
"",2019-03-06,Fivetran,150175881,3YxZ84+R8loZwfyM+dgb8A==,349886458,Search,PacificTimeUSCanadaTijuana,Paused,Windows,Computer,Bing and Yahoo! search,USD,2,5,1.33,0,0,0,0
"",2019-03-24,Fivetran,150175881,3YxZ84+R8loZwfyM+dgb8A==,349886458,Search,PacificTimeUSCanadaTijuana,Paused,Unknown,Computer,Syndicated search partners,USD,0,3,0.0,0,0,0,0
"",2019-05-09,Fivetran,150175881,PafijluKrvfPOb+f94eCDw==,359751135,Search,PacificTimeUSCanadaTijuana,Paused,Unknown,Computer,Syndicated search partners,USD,0,2,0.0,0,0,0,0
"",2019-04-28,Fivetran,150175881,3YxZ84+R8loZwfyM+dgb8A==,349886458,Search,PacificTimeUSCanadaTijuana,Paused,Windows,Computer,Syndicated search partners,USD,0,2,0.0,0,0,0,0
"",2018-12-08,Fivetran,150175881,bqIyTiSK0gUxfHUgrqLFOA==,349886462,Search,PacificTimeUSCanadaTijuana,Paused,Unknown,Computer,Bing and Yahoo! search,USD,0,0,0.0,0,0,0,0
"",2018-10-11,Fivetran,150175881,3YxZ84+R8loZwfyM+dgb8A==,349886458,Search,PacificTimeUSCanadaTijuana,Paused,Unknown,Computer,Bing and Yahoo! search,USD,1,2,0.85,0,0,0,0
"",2018-12-22,Fivetran,150175881,3YxZ84+R8loZwfyM+dgb8A==,349886458,Search,PacificTimeUSCanadaTijuana,Paused,Unknown,Computer,Bing and Yahoo! search,USD,0,0,0.0,0,0,0,0
"",2019-04-23,Fivetran,150175881,3YxZ84+R8loZwfyM+dgb8A==,349886458,Search,PacificTimeUSCanadaTijuana,Paused,Unknown,Computer,Bing and Yahoo! search,USD,0,0,0.0,0,0,0,0
"",2019-05-05,Fivetran,150175881,3YxZ84+R8loZwfyM+dgb8A==,349886458,Search,PacificTimeUSCanadaTijuana,Paused,iOS,Smartphone,Syndicated search partners,USD,0,1,0.0,0,0,0,0
"",2019-04-22,Fivetran,150175881,PafijluKrvfPOb+f94eCDw==,359751135,Search,PacificTimeUSCanadaTijuana,Paused,Android,Smartphone,Syndicated search partners,USD,1,54,1.5,0,0,0,0
"",2019-03-19,Fivetran,150175881,bqIyTiSK0gUxfHUgrqLFOA==,349886462,Search,PacificTimeUSCanadaTijuana,Paused,Windows,Computer,Bing and Yahoo! search,USD,1,3,0.41,0,0,0,0
"",2019-02-18,Fivetran,150175881,3YxZ84+R8loZwfyM+dgb8A==,349886458,Search,PacificTimeUSCanadaTijuana,Paused,Windows,Computer,Bing and Yahoo! search,USD,0,0,0.0,0,0,0,0
