dbn,phone_number,requirement_2_3,offer_rate4_4,specialized,grade9geapplicants1,grade9gefilledflag2,requirement_2_5,admissionspriority36,seats104,eligibility8,interest10,seats9ge3,grade9geapplicantsperseat1,offer_rate1_2,method7,city,grade9gefilledflag9,grade9swdapplicants3,requirement_2_8,seats5specialized,offer_rate1_1,grade9swdapplicantsperseat3,grade9geapplicantsperseat12,seats102,grade9geapplicantsperseat3,borocode,seats9swd9,program3,seats9swd10,offer_rate1_6,program2,grade9swdapplicants11,requirement_1_1,seats9ge12,requirement_2_4,prgdesc6,admissionspriority38,method8,shared_space,language_classes,interest9,grade9geapplicants11,offer_rate2_5,admissionspriority33,seats3specialized,requirement_1_9,grade9swdfilledflag7,code11,applicants5specialized,applicants4specialized,seats9ge7,bin,seats1012,seats1011,building_code,program9,offer_rate2_8,admissionspriority28,admissionspriority25,admissionspriority21,offer_rate2_3,grade9geapplicantsperseat6,method10,admissionspriority37,graduation_rate,seats103,grade9swdapplicants6,appperseat1specialized,website,grade9swdapplicantsperseat9,diversity_in_admissions,academicopportunities3,nta,applicants3specialized,admissionspriority34,requirement_1_6,program6,neighborhood,program12
21K559,718-333-7750,,,,245,,,,,,,,4,,,Brooklyn,,,,,,,,,,K,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,3186454,,,K400,,,,,,,,,,0.91000003,,,,LIFEACADEMYHSNYC.ORG,,,National Honor Society,Gravesend,,,,,Gravesend,
02M551,212-458-0800,,,,679,,,,,,,,6,,,New York,,,,,,,,,,M,,,,,,,,,,,,,,"French, Spanish",,,,,,,,,,,,1086340,,,M877,,,,,,,,,,0.83999997,,,,www.newyorkharborschool.org,,1.0,Each program of study concludes with a senior internship at a relevant maritime or marine-related business in the New York City area.,park-cemetery-etc-Manhattan,,,,,Governors Island,
03M860,212-865-9260,,,,347,,,,,,,,5,,,Manhattan,,,,,17% of offers went to this group,,,,,M,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,1055204,,,M088,,,,,Then to Districts 3 and 5 students or residents,,,,,0.77999997,,,,fda2.net,,,Humanities Courses integrate the arts & research. We offer six AP classes.,Central Harlem South,,,,,Central Harlem South,
28Q687,718-657-3181,,,1.0,,,,,,,,,,,,Jamaica,,,,,,,,,,Q,,,,,,,,,,,,,,"Mandarin, Spanish",,,,,,,,,,,,4215611,,,Q774,,,,,,,,,,1.0,,,145.0,qhss.org,,,"CUNY College Now in Biology, Sociology, Health Services, Nutrition and Health, Pre-Calculus, and Psychology.  Course offerings vary from year to year.",Jamaica,,,,,Jamaica,
21K728,718-946-6812,,,,11,,,,,,,,1,,,Brooklyn,,,,,,,,,,K,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,3329331,,,K728,,,,,,,,,,,,,,www.liberationhs.org,,,Liberation Diploma Plus uses multiple resources and employers to enhance our Learn to Work Program.,Seagate-Coney Island,,,,,Seagate-Coney Island,
02M303,212-757-2680,,,,320,,,,,,,,4,,,Manhattan,,,,,11% of offers went to this group,,,,,M,,,,,Facing History School D75 Inclusion Program,,,,,,,,Yes,Spanish,,,,,,,,,,,,1083802,,,M535,,,,,Then to Manhattan students or residents,,,,,0.82999998,,,,www.facinghistoryschool.org,,,Students are members of a 4 year advisory program. The class supports students emotionally and academically while at FHS.,Clinton,,,,,Clinton,
17K745,718-221-1097,,,,933,,,,,,,,8,,,Brooklyn,,,,,98% of offers went to this group,,,,,K,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,3107227,,,K470,,,,,Then to New York City residents,,,,,0.92000002,,,,http://www.bilanyc.net,,,"iLearnNYC: Computer/Online Programs for expanded online coursework and self-paced learning in Reading, Math, Technology and Foreign Language",Prospect Lefferts Gardens-Wingate,,,,,Prospect Lefferts Gardens,
23K493,718-922-1145,,,,578,,,,,,,,9,,,Brooklyn,,,,,97% of offers went to this group,,,,,K,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,3038939,,,K055,,,,,Then to New York City residents,,,,,0.76999998,,,,WWW.BROOKLYNCOLLEGIATE.NET,,,Reading and writing across the curriculum; Interdisciplinary curriculum with English and Social Studies,Ocean Hill,,,,,Ocean Hill,
25Q670,718-969-5510,,,,361,,,,,,,,3,,,Fresh Meadows,,,,,,,,,,Q,,,,,,,,,,,,,,"Mandarin, Spanish",,,,,,,,,,,,4147452,,,Q707,,,,,,,,,,0.92000002,,,,rfkchs.com,,,"CUNY College Now at RFK Campus-Queensborough Community College, Adv. Art, Digital Photography, Computer Apps, Web Design, Criminal Justice, Robotics",Kew Gardens Hills,,,,,Kew Gardens Hills,
31R028,718-727-6201,,,,70,,,,,,,,1,,,Staten Island,,,,,81% of offers went to this group,,,,,R,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,5014184,,,R049,,,,,Then to Staten Island students or residents,,,,,,,,,https://eaglestatenisland.org/,,,Eagle Excel tutoring opportunities,Stapleton-Rosebank,,,,,Stapleton-Rosebank,
13K674,718-875-1473,,,,1234,,,,,,,,14,,,Brooklyn,,,,,,,,,,K,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,3348041,,,K580,,,,,,,,,,0.86000001,,,,www.citypolyhs.org,,,Fuel Education: Program for expanded online coursework and self-paced learning,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,,,,DUMBO-Downtown Brooklyn,
10X284,718-561-0113,,,,533,,,,,,,,6,,,Bronx,,,,,99% of offers went to this group,,,,,X,,,,,,,,,,,,,Yes,"Latin, Spanish",,,,,,,,,,,,1064532,,,X475,,,,,Then to New York City residents,,,,,0.79000002,,,,https://www.schools.nyc.gov/schools/X284,,,"Academy of Finance, Law Academy, CUNY College Now",Marble Hill-Inwood,,,,,Spuyten Duyvil-Kingsbridge,
31R080,718-815-0186,,,,496,,,,,,,,5,,,Staten Island,,,,,27% of offers went to this group,,,,,R,,,,,The Michael J. Petrides School D75 Inclusion Program,,,,,,,,Yes,"Italian, Spanish",,,,,,,,,,,,5113169,,,R880,,,,,Then to Staten Island students or residents,,,,,0.94999999,,,,Petridesschool.com,,,"Special Arts program with courses in instrumental, orchestral and vocal music and Fine Arts courses in sculpture, graphic arts and fashion design",Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,,,,,Todt Hill-Heartland Village,
02M543,212-475-4148,,,,1214,,,,,,,,12,,,Manhattan,,,,,,,,,,M,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,1005283,,,M445,,,,,,,,,,0.76999998,,,,www.newdesignhigh.com,,,Design for Life Program includes college and career preparatory classes in grades 9-12 in addition to social and emotional learning curriculum.,Chinatown,,,,,Chinatown,
29Q492,718-978-1837,,,,344,,,,,,,,3,,,Cambria Heights,,,,,,,,,,Q,,,,,,,,,,,,,Yes,"French, Spanish",,,,,,,,,,,,4238003,,,Q490,,,,,,,,,,0.73000002,,,,www.masths.org,,,"Computer Science Programs: Amazon's Future Engineer Program, CS for ALL & Code.org partner with MAST to offer the equivalent of a college-level course in Computers Science. Course covers topics such as the internet, programming and global impacts of technology. Students enhance their problem-solving skills to persevere through programming and build their own apps at the end of the course.",Cambria Heights,,,,,Cambria Heights,
12X248,718-991-4634,,,,195,,,,,,,,2,,,Bronx,,,,,30% of offers went to this group,,,,,X,,,,,Metropolitan High School D75 Inclusion Program,,,,,,,,,Spanish,,,,,,,,,,,,2005276,,,X099,,,,,Then to New York City residents,,,,,0.58999997,,,,https://www.schools.nyc.gov/schools/X248,,,Critical Analysis of Literature,Longwood,,,,,Longwood,
10X440,718-543-1000,2018-19 Final Grades - 30%,,,325,N,,,1.0,,,95,6,100% of offers went to this group,Ed. Opt.,Bronx,,42,,,98% of offers went to this group,2,,1.0,4,X,,Macy Honors Early College Program,,,Newcomers' Global Community,,,,,"This program offers a 4 yr sequence in the techniques of Hip Hop/Urban Dance Styles, Jazz, and Contemporary. Alongside technique,students learn to perform, choreograph, improvise, and authentic industry skills. Portfolio elements include: school performances, guest artist repertory, choreography/improvisation, oral presentations, and stage production experiences. Students are exposed to careers including professional dancer, educator, teaching artist, choreographer, dance administrator, physical therapy.",,D75 Special Education Inclusive Services,Yes,"French, Spanish",,,9% of offers went to this group,,,,,,,,N/A - new program,2095215,,,X440,,,,Then to New York City residents,Then to New York City residents,0% of offers went to this group,N/A - new program,,,0.77999997,1.0,N/A - new program,,DeWittClintonHS.com,,,"Clinton Health Professions & Clinton Engineering offers 4 year course sequence Project Lead the Way (PLTW) Biomedical Sciences, Engineering, and Computer Science",Van Cortlandt Village,,,,Clinton School of Dance,Van Cortlandt Village,
