q0_dbn,q17_c15_r2,q40_r1_c2_5,q16_c10_r2,q40_r1_c3_4,q16_c15_r4,q17_c15_r1,q28_4,q16_c1_r4,q16_c2_r2,q25_r1_c5,q16_c14_r2,q17_c8_r4,q25_r2_c1,q17_c1_r3,q26_2,q25_r1_c1,q16_c19_r4,q16_c14_r4,q25_r2_c5,q17_c10_r2,q17_c7_r3,q16_c15_r1,q41_7,q17_c11_r1,q17_c13_r3,q23_r7_c1,q17_c3_r4,q17_c12_r3,q16_c16_r4,q40_r1_c4_1,q17_c14_r3,q40_r1_c1_4,q16_c13_r2,q16_c9_r2,q16_c21_r4,q17_c10_r1,q40_r1_c6_4,q17_c15_r4,q25_r5_c3,q40_r1_c7_3,q27_5,q16_c17_r4,q40_r1_c7_1,q25_r5_c1,q40_r1_c3_2,q16_c22_r2,q16_c21_r3,q40_r1_c1_3,q17_c11_r3,q42_1_rev,q40_r1_c4_3,q40_r1_c10_4,q40_r1_c4_5,q16_c5_r3,q41_3,q16_c14_r3,q40_r1_c2_3,q40_r1_c6_2,q27_3,q16_c6_r1,q16_c8_r2,q17_c2_r2,q17_c4_r1,q23_r7_c2,q16_c5_r2,q16_c19_r3,q16_c3_r4,q17_c6_r4,q17_c5_r1,q16_c8_r4,q16_c16_r2,q23_r7_c4,q17_c2_r1,q40_r1_c5_3,q17_c6_r2
26Q018,,,,,,,0,0.0,0.0,0,,,0,0.0,0.0,0,,,0,,0.0,,0,,,0,0.0,,,Residency (direct instruction to students),,,,,,,,,0,,,,20.0,0,Dance,,,,,"At P.S. 18, the programs in the arts are dedicated to fostering creativity, cultural awareness and individuality in every student. Our goal is to provide opportunities to participate such as student-of-the- month performances, our annual musical, concerts, art family night, various assemblies, ballroom dancing, ballet and cultural celebrations. At P.S. 18, students benefit from ever-evolving, sequential and robust arts programs that use backwards planning and inquiry-based lessons, which adhere to the New York City Department of Education's Blueprints for the Arts curriculum, Common Core standards and Danielson framework.",,,,0.0,1,,,12.0,1-6 hrs,,,0.0,20.0,0,0.0,,0.0,0.0,20.0,,,0,20.0,,0.0
09X199,,,0.0,,0.0,,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,0.0,0,10.0,0.0,0.0,1,0.0,,0,0.0,0.0,,In-school Student Workshops,,,0.0,0.0,,0.0,,,0,,13-18 hrs,,10.0,0,,,,,0.0,"We have continued our plan to expand arts education in the Shakespeare School. To realize the plans' goals, each teacher incorporates the arts into their day-to-day curriculum. Equitable arts opportunities for students take place daily as the culture of the Shakespeare School continues to be strengthened and supported schoolwide. In order to support this vision, we have identified and developed an art studio, a classroom solely purposed with being the space to provide visual arts instruction from our licensed visual arts teacher. In addition to the day-to-day incorporation of the arts, we also have two Project Arts afterschool programs. One is theater based and the other is visual arts based. We have provided our students with field trips to explore NYC arts. We have included an art gallery exhibit that displays student artwork throughout the school. A classroom teacher is providing a voluntary afterschool program for drumming. We have begun a partnership with Renaissance Youth to provide our fifth grade students with music instruction. Our efforts toward a stronger arts education here at Public School 199 is with the hope to spark policy, future action plans and budget recommendations for implementing a sequential and standards-based curriculum in the arts outlined at EVERY grade level. This process has fostered further community awareness and hopes to provide the structure and catalyst for sustainable relationships between the Shakespeare School and key arts stakeholders.",,,,0.0,1,0.0,,,,0.0,0.0,10.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,,0,0.0,,10.0
15K516,,,,,,,1,0.0,0.0,0,,0.0,0,0.0,0.0,0,,,0,,0.0,,1,,,0,0.0,,,Arts Related Field Trips,,,,0.0,,,,,0,,1-6 hrs,,1.0,0,Visual Arts,,,,,"The arts are vehicles for expression of ideas that serve to enhance educational, academic, and social experiences of children at the school. The arts develop intelligence, competencies, and skills that have a direct link to academic performance and social emotional health. Our goal is to allow students to experience a rich and diverse arts program. Currently, we have a full-time visual arts teacher and a full-time dance teacher providing lessons across all grades. Pre-pandemic, we developed a partnership with Creative Music Programs to ensure our students received music instruction. We hope to continue this partnership next school year. For three years, we have partnered with New Victory Theater, and our students have gone on several field trips and received in school theater workshops. This year students had access to New Victory's virtual curriculum. During this blended school year, we wanted to offer an equitable arts experience for both remote and in-person students. Our STEAM and visual arts programs collaborated to celebrate Lunar New Year. In person students engineered a robotic dragon, and remote students designed its head. Students also designed and printed ""dragon dancers"" on a 3D printer. Dance and art creations were shared virtually throughout the year making connections to technology and exploring video and sound editing for dance. Two of our core values at PS516 include creativity and resilience. The arts have and will continue to foster these in our students!",,,,0.0,1,,,78.0,,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,,0,0.0,,0.0
18K135,,,,,,,0,0.0,0.0,0,,0.0,0,0.0,0.0,0,,,0,0.0,0.0,,0,0.0,,0,0.0,,,,,,,,,0.0,,,0,,,,,0,,,,,0.0,"Teaching and exposing our students to various arts disciplines at P.S. 135 Sheldon A. Brookner continues to be a strong focus. Providing opportunities for the students to participate in performing arts allows the students to hone their skills. In our dance studio, students learn how to move safely and work collaboratively on dance tasks together. All of our students have an opportunity to showcase their talents through our Holiday and Black History Month assembly programs, monthly performances, talent shows, and multicultural performances for their peers and family members during the school year. Also, the performances provide our entire population with the opportunity to enjoy music, dance, and art. Our dance teacher collaborates with other teachers on their theatrical presentations. We are truly proud of our students.",,,,0.0,1,,,,,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,,0,0.0,,0.0
03M243,,,,,,,0,,,0,,0.0,0,0.0,2.0,0,,,0,,0.0,,1,,,0,0.0,,,,,,,,,,,,0,,1-6 hrs,,,0,,,,,,"Students in our visual arts course explore a variety of media, learn new techniques and hone their skills through drawing, printmaking, and collage. Ongoing trips to museums enrich and deepen their study of artists and their process. After the switch to remote learning,  this yearour students worked from home on visual arts projects and created a performing arts production showcasing their talents from their homes that was broadcasted to the entire school community.",,,,,1,,,,0 hrs,,,0.0,0.0,0,,,,0.0,0.0,,,0,0.0,,0.0
10X396,,,,,,,1,0.0,0.0,0,,,1,0.0,0.0,1,,,0,,,,1,,,0,0.0,,,,,,,,,,,,1,,7-12 hrs,,,1,,,,,,"At PS 396 the arts program is an integral part of our educational vision. Our goal is to provide an equitable and inspirational arts education for all students that celebrates diversity, teaches tolerance, and prepares students for life in the real world. Conceptual, critical and creative thinking, social skills and cultural awareness are all aspects of performance, music and art-making that are nurtured and encouraged at PS 396. We are a resilient community, and although the global pandemic interrupted our arts residencies, afterschool enrichment programs, and cultural partnerships, we return with an indomitable commitment to engage with students in cultural production that helps them process real world events and their emotional experiences through art making in a place where they feel safe. To this end, the music, visual arts, and theater teachers, along with resident artists and the community, return to their collaboration with classroom teachers to support our inter-disciplinary curriculum and celebrate school events and community success.",,,,,1,,,,7-12 hrs,,,0.0,,0,,,0.0,,,,,0,0.0,,
02M432,,,,,,,1,,,0,,,0,,1.0,0,,,0,,,,1,,,0,,,,Residency (direct instruction to students),,,,,,,,,0,,13-18 hrs,,12.0,0,Visual Arts,,,,,"Murray Hill Academy has a robust arts program that specializes in both art history and studio art. Our studio art teacher works with students on a variety of highly engaging projects using different art materials such as clay, watercolors, wood, acrylic paint, paper mache, magazines, color pencils and printmaking materials. To supplement our studio arts program, we have been working with Learning through an Expanded Arts Program (LeAp) to bring a professional artist into our school two days a week. We also partner with CITYarts to provide a teaching artist that creates large-scale murals with students in our afterschool art club.   We also work closely with NYC Piano Academy to host an afterschool piano club that culminates in an end-of-year recital at the Liederkranz Foundation. We continue to partner with Hook Arts Media to hire a dance instructor to teach hip hop dance classes and poetry.  We also have an Introduction to Music class that is very popular and a powerful theater class that students really enjoy. We also offer a yoga and meditation class that helps students find balance and peace during their busy day. Additionally, our content teachers are committed to exposing students to the arts and bring our students to many plays, movies, and museums throughout the year, taking advantage of our location in midtown Manhattan. Many of our students take more than the minimum two credits of art. Our goal is continuous exposure to art as a vital part of a well-rounded education.",,,,,1,,,240.0,1-6 hrs,,,,,0,,,,,,,,0,,,
13K256,,,,,,,0,20.0,0.0,0,,,0,0.0,0.0,0,,,0,,,,1,,,0,20.0,,,Residency (direct instruction to students),,,,,,,,,0,,,,20.0,0,,,,,,"Due the pandemic the students art experience was very different  this school year.  However, the students still produced some magnificent pieces of art in some of the genres of visual arts. They did not create as much as they normally do.  The ability to just create and design art pieces was like therapy for the students. Giving them time to relax and think about many things and focus on the task at hand.  It was a different art experience for the students. However, overall it was great therapy, social connection with their classmates, and emotional release of anxieties. Hopefully, this will be the year we will be able to expand the arts in our building.",,,,,1,,,,,,,0.0,2.0,0,,,20.0,,,,,0,2.0,,
10X086,20.0,,0.0,Visual Arts,0.0,0.0,0,0.0,10.0,0,10.0,0.0,0,0.0,0.0,0,0.0,0.0,0,20.0,0.0,12.0,1,0.0,0.0,0,0.0,0.0,0.0,Residency (direct instruction to students),0.0,Guggenheim Museum,0.0,10.0,0.0,12.0,270.0,0.0,0,2.0,,0.0,6.0,0,Dance,10.0,0.0,Lehman College Art Gallery,0.0,"The goal of the P.S. 86 arts program (PreK-6) is based on a commitment to provide our students with the elements of art  allowing them to ""live the arts"" through an arts-integrated curriculum. The arts are basic to the needs of mankind, aesthetically and socially; however, the uniqueness of the 2020-2021 school year continued to create a ""new normal"" placing contemporary technology in the forefront of educational objectives. By combining The RULER Approach with a Growth Mindset curriculum and an emphasis on the social emotional substructure needed to balance the technology of distance learning, our arts teachers and classroom teachers recognize and instill the tenets of STEM in correlation with arts and the humanities. P.S. 86 continues to collaborate with New York City's cultural institutions. Our school has worked with The Guggenheim's ""Learning Through Art"" program since 1997. The students' artwork has been exhibited in the Museum regularly for over 20 years. This year, their artwork will again become part of a virtual exhibition. ""Dancing Classrooms"". Two 4th grades will complete ten sessions with instructors teaching swing, tango and rhumba online. Our professional music instructors accelerated student work in composition with choral classes singing their own music and poetic lyrics for parents and the P.S.86 community.",Residency (direct instruction to students),,In-school Student Workshops,0.0,1,0.0,,180.0,,12.0,10.0,20.0,0.0,0,10.0,0.0,24.0,0.0,12.0,24.0,10.0,0,0.0,5.0,20.0
13K287,,,,,,,0,0.0,0.0,0,,,0,11.0,0.0,0,,,0,,,,0,,,0,0.0,,,Teacher Professional Development,,,,,,,,,0,,,,22.0,0,,,,,,The 13K287 arts program is a innovative hybrid opportunity for our students to explore their artistic talents both in-person and remotely. This year we are providing arts education opportunities as follows: received an EASE grant to work with Urban Arts to provide theater arts instruction; afterschool programming in digital music and math; and the P.S. 287 Art Club.,,,,,1,,,,,,,0.0,,0,,,0.0,,,,,0,0.0,,
