tru,section,bin,air_monitor_name,status_description,contractor_name,acm_amount,cross_street_between,premise_no,acm_unit,abatement_type
TRU0303MN22,"Apt. E, BR 2, Riser 21",1050520.0,Lawrence Env LLC,Closed,"New York Insulation, Inc.",6,,400,Linear Feet,Removal
TRU1352BX23,Tank Room,2093361.0,Genesis Environmental Consultants Inc.,Closed,"New York Environmental Systems, Inc.",300,,860,Square Feet,Removal
TRU2688MN25,South Elevation Exterior Facade - Decorative Panels,1024877.0,Accredited Environmental Safety Corp.,Submitted,"New York Insulation, Inc.",28,,1740,Square Feet,Removal
TRU1279MN19,"Room L, L2, L3 & M",1037546.0,"Consulting And Testing Services, Inc.",Closed,"Shannon Abatement, Inc.",180,,220,Linear Feet,Removal
TRU1104BK23,APT. #1A - Interior Windows,3327889.0,Airtek Environmental Corp.,Closed,T L D Services Inc,5,,185,Square Feet,Removal
TRU2347MN24,P E Elev,1086339.0,"Langan Engineering, Environmental, Surveying, Land",Closed,"ETS Contracting, Inc.",7,,555,Square Feet,Removal
TRU0309BX23,Corridor by room 101,2041247.0,Athenica Environmental Services Inc.,Closed,"ETS Contracting, Inc.",25,,1560,Linear Feet,Removal
TRU2679MN25,West Wall AC shaft,1035473.0,"Gallagher Bassett Services, Inc.",Submitted,"Nova Development Group, Inc.",40,,350,Linear Feet,Removal
TRU0937MN25,Walls Behind the Elevator,1000863.0,"Facility Solutions Plus, Inc.",Submitted,JCR Management Specialist LLC,155,,77,Square Feet,Removal
TRU7074BK18,Paint Storage,3332264.0,Enviro-Pro Unltd Corp.,Closed,Lakewood Group Corp.,112,,245,Square Feet,Removal
TRU0139QN23,Bulkhead Roof,4430995.0,Airtek Environmental Corp.,Closed,P.A.L. Environmental Safety Corp. dba PAL Environm,31,,31-46,Square Feet,Removal
TRU0180MN19,,1036530.0,Genesis Environmental Consultants Inc.,Closed,Abatek Corp.,1750,,120,Square Feet,Removal
TRU0250MN23,14E,1079202.0,"LiRo Engineers, Inc.",Closed,"New York Environmental Systems, Inc.",600,,219,Square Feet,Removal
TRU1209QN19,Closet area,4001105.0,Airtek Environmental Corp.,Closed,Interboro Property Management Corp.,90,,39-16,Square Feet,Removal
TRU5617MN18,Guestroom #1107,1041797.0,"H.A. Bader Consultants, Inc.",Submitted,Pal Environmental Safety Corp.,5,,35,Square Feet,Removal
TRU1950MN24,east elevation,1021925.0,"Environmental Planning & Management, Inc.",Postponed,"ETS Contracting, Inc.",46,,333,Square Feet,Removal
TRU2469BK24,Auditorium Blower Room,3071024.0,"Core Environmental Consultants, Inc.",Submitted,GPA Environmental Group Inc,59,,207,Linear Feet,Removal
TRU1621MN21,Apt 10A- 10H Kitchen Area,1077518.0,Airtek Environmental Corp.,Closed,"Alpha Environmental Services, Inc",8,,240,Square Feet,Removal
TRU0133SI25,Pipe Relocation - A1 - Kitchen/Dining Area,5095820.0,"Airtek Environmental, LLC",Submitted,"New York Insulation, Inc.",31,,1075,Linear Feet,Removal
TRU7127MN18,Apt 6E Bedroom,1080441.0,Eru-Ken Consulting LLC,Closed,Brooks Remediation Corporation,10,,24,Square Feet,Removal
TRU0984BX23,,2100960.0,Genesis Environmental Consultants Inc.,Closed,"Abatement Unlimited, Inc.",660,,19A-26B,Square Feet,Repair
TRU1276QN24,South Facade,4436783.0,Advanced Environmental Corp.,Postponed,Incinia Contracting Inc,1,,39-27,Square Feet,Removal
TRU0336MN20,P3 - Apt 19C - Bedroom - Riser #5,1050768.0,"GCI Environmental Advisory, Inc.",Submitted,New York Insulation Inc.,12,,10,Linear Feet,Removal
TRU0368BK22,Apt. #1B,3327882.0,Airtek Environmental Corp.,Closed,"Belgrave Enterprises, Limited Liability Company",1,,113,Square Feet,Removal
TRU2441BK24,Unit A - Kitchen,3095889.0,Environmental Code Consultants Inc.,Postponed,"ESG, Inc.",10,,675,Linear Feet,Removal
TRU1281BK24,Exterior Throughout,3196224.0,"LiRo Engineers, Inc.",Closed,Vestar Inc.,17,,2609,Square Feet,Removal
TRU2679MN25,Shaft By Telephone Closet,1035473.0,"Gallagher Bassett Services, Inc.",Submitted,"Nova Development Group, Inc.",12,,350,Linear Feet,Removal
TRU1506BK22,Stair Hall #56 151 Ten Eyck Walk APT. #3B Exterior Windows,3327884.0,Airtek Environmental Corp.,Closed,T L D Services Inc,4,,229,Square Feet,Removal
TRU0698BK24,Tank Room,3.3217700E+6,"The Saban Engineering Group, Inc.",Closed,"Atco Contracting Group, Inc.",681,,2960,Square Feet,Removal
TRU0770MN19,,1012568.0,Alamo Environmental Consulting Inc.,Closed,"ESG, Inc.",940,,146-150,Square Feet,Removal
TRU1611BK23,APT. #4A Pipe Chase at Bathroom/Kitchen Wall,3327888.0,Airtek Environmental Corp.,Closed,T L D Services Inc,9,,188,Linear Feet,Removal
TRU1252BK25,Unit L - Bedroom,3343253.0,Environmental Code Consultants Inc.,Postponed,"ESG, Inc.",23,,790,Square Feet,Removal
TRU6805MN18,East Elevation,1082352.0,"Clean Air Testing Labs, Inc.",Closed,JME Environmental Corp.,35,,137,Square Feet,Removal
TRU1260BK20,16D,3326543.0,Genesis Environmental Consultants Inc.,Closed,"AMC United, Inc.",627,,330,Square Feet,Removal
TRU2010BK25,Apt. 7D - Bathroom 1 - Pipe Chase,3323302.0,"Airtek Environmental, LLC",Postponed,GNP Environmental Inc.,1,,415,Square Feet,Removal
TRU1229QN19,Steam Pipe,4072465.0,Global Green1 Environmental LLC,Closed,T L D Services Inc,40,,63-86,Linear Feet,Removal
TRU2139BK22,12J,3324253.0,Genesis Environmental Consultants Inc.,Closed,"New York Environmental Systems, Inc.",1,,760,Square Feet,Removal
TRU0975BK25,Unit B - Bathroom,3343250.0,Environmental Code Consultants Inc.,Postponed,"ESG, Inc.",100,,760,Square Feet,Removal
TRU0379QN22,Foyer,4050460.0,"TRC Engineers, Inc.",Closed,"ETS Contracting, Inc.",140,,97-41,Square Feet,Removal
TRU0641MN21,Bulkhead,1045877.0,Kenneth Friedman dba KF ACM Services,Closed,"ESG, Inc.",180,,490,Square Feet,Removal
TRU1997BK23,Apartment F,3326542.0,Genesis Environmental Consultants Inc.,Submitted,"Empire Control Abatement, Inc.",1,,300,Square Feet,Removal
TRU5787BX18,Girl's Gymnasium,2094706.0,"Precision Environmental, Inc.",Closed,U.S. Environmental Abatement Corp.,12,,75,Square Feet,Removal
TRU5649BK18,Bulkhead Roof,3331087.0,Genesis Environmental Consultants Inc.,Closed,Maven Construction Corp.,150,,3194,Square Feet,Removal
TRU0102SI20,South,5081943.0,Livingspring Environmental Services Inc.,Closed,"The Asbestos Contractor, Inc.",200,,105,Square Feet,Removal
TRU2010BK25,Apt. 11E - Bathroom 1 - Pipe Chase,3323302.0,"Airtek Environmental, LLC",Postponed,GNP Environmental Inc.,1,,415,Square Feet,Removal
TRU1503BK20,,3206029.0,"Standard Environmental Services, inc.",Closed,GTM Contracting Inc. dba Hi-Tech Environmental & R,2924,,977,Square Feet,Removal
TRU2268MN20,Room 1020,1.0342060E+6,3E Environmental Inc.,Closed,JME Environmental Corp.,1500,,28,Square Feet,Removal
TRU1263MN23,Room 500FL,1082159.0,Empire Environmental Ltd. dba Empire,Closed,"ACA Environmental Services, Inc.",2,,1140,Square Feet,Removal
TRU5451MN18,CORRIDOR 510 C,1073030.0,Advanced Environmental Corp,Closed,PAR Environmental Corporation,100,,16,Linear Feet,Removal
TRU2188BK25,Room 219,3.0810320E+6,"Core Environmental Consultants, Inc.",Submitted,A.S.A.R. International Corporation,24,,111,Square Feet,Removal
TRU0037BK25,Apt. 1B,3321414.0,"LiRo Engineers, Inc.",Closed,"Abatement Unlimited, Inc.",633,,671,Square Feet,Removal
TRU0823BX25,Apt 6F,2092649.0,Athenica Environmental Services Inc.,Closed,"Abatement Unlimited, Inc.",640,,1704,Square Feet,Removal
TRU1823MN23,5 Windows (West Wing),1065025.0,"Standard Environmental Services, Inc.",Closed,GTM Contracting Inc. dba Hi-Tech Environmental & R,10,,98,Square Feet,Removal
