source_relation,marketplace_id,asin,item_name,display_name,product_name,brand,color,size,style,package_quantity,manufacturer,contributors,product_type,condition,release_date,item_classification,classification_id,classification_sales_rank_link,classification_sales_rank,website_display_group,website_display_group_name,website_display_group_sales_rank_link,website_display_group_sales_rank,is_memorabilia,is_adult_product,is_autographed,is_trade_in_eligible,model_number,part_number,parent_variation_asin,parent_package_container_asin,sku,fn_sku,ean,gtin,isbn,jan,minsan,upc,count_images,count_swatch_images,item_height_unit,item_height_value,item_length_unit,item_length_value,item_weight_unit,item_weight_value,item_width_unit,item_width_value,package_height_unit,package_height_value,package_length_unit,package_length_value,package_weight_unit,package_weight_value,package_width_unit,package_width_value,inventory_summary_id,inventory_last_updated_at,total_quantity,total_researching_quantity,total_reserved_quantity,fullfillable_quantity,total_unfulfillable_quantity,pending_customer_order_quantity,pending_transshipment_quantity,fc_processing_quantity,inblound_shipped_quantity,inbound_receiving_quantity,inbound_working_quantity,warehouse_damaged_quantity,carrier_damaged_quantity,customer_damaged_quantity,defective_quantity,distributor_damaged_quantity,expired_quantity,short_term_research_quantity,mid_term_research_quantity,long_term_research_quantity
amazon_selling_partner.public,MPIDRANDOM,B0E7STG6605,flatscreen TV,product_1,Laptop Stand,Waystar Royco,Gold,Gifting Sizing Kit,Brutalist,1,waystar royco,,FOOD,Used - Good,2024-07-11,BASE_PRODUCT,100534784,,,amazon.com/GHP-BGGF-100534784,Stuff,,,f,t,f,f,GHP-BGGF-100534784,GHP-BGGF-100534784,B095PARENT,,SKU-1728,FNSKU-77560,,,,,,,1,0,inches,0,inches,0,pounds,0,inches,0,inches,4,inches,4,pounds,0,inches,4,FIVETRAN-00000,2025-01-17 19:36:52,321,17,77,211,16,6,3,4,5,15,2,9,5,1,10,4,5,36,0,0
amazon_selling_partner.public,MPIDRANDOM,B0E7STG6684,massage chair,product_1,Bluetooth Speaker,Waystar Royco,Tan,Sizing Kit,Minimalist,1,waystar royco,,CAMPING,Refurbished,2024-07-11,OTHER,100534785,,,amazon.com/GHP-BGGF-100534785,Stuff,,,f,t,f,f,GHP-BGGF-100534785,GHP-BGGF-100534785,B095PARENT,,SKU-7882,FNSKU-83532,5947986,,,,,,1,0,inches,1,inches,1,pounds,0,inches,1,inches,5,inches,5,pounds,0,inches,5,FIVETRAN-00001,2025-01-02 19:36:52,60,0,9,41,10,9,4,5,5,20,17,3,2,4,3,7,4,0,46,0
amazon_selling_partner.public,MPIDRANDOM,B0E7STG4721,jacket,product_1,Wireless Mouse,Waystar Royco,Charteuse,1,Maximilist,1,waystar royco,,PET_SUPPLIES,Used - Acceptable,2024-07-11,PRODUCT_BUNDLE,100534786,,,amazon.com/GHP-BGGF-100534786,Stuff,,,f,t,f,f,GHP-BGGF-100534786,GHP-BGGF-100534786,B095PARENT,,SKU-5712,FNSKU-94063,,5947987,,,,,1,0,inches,0,inches,0,pounds,0,inches,0,inches,6,inches,6,pounds,0,inches,6,FIVETRAN-00002,2025-01-04 19:36:52,123,1,18,87,17,10,3,3,19,17,0,1,1,3,0,7,2,6,0,0
amazon_selling_partner.public,MPIDRANDOM,B0E7STG7286,cable subscription,product_1,USB Cable,Waystar Royco,ginger,2,Postmodern,1,waystar royco,,PET_SUPPLIES,Used - Like New,2024-07-11,VARIATION_PARENT,100534787,,,amazon.com/GHP-BGGF-100534787,Stuff,,,f,t,f,f,GHP-BGGF-100534787,GHP-BGGF-100534787,B095PARENT,,SKU-3563,FNSKU-47858,,,5947988,,,,1,0,inches,1,inches,1,pounds,0,inches,1,inches,4,inches,4,pounds,0,inches,4,FIVETRAN-00003,2025-01-16 19:36:52,175,4,5,157,9,4,0,7,2,12,0,0,5,8,3,1,3,0,0,29
amazon_selling_partner.public,MPIDRANDOM,B0E7STG6845,laptop,product_1,Wireless Mouse,Waystar Royco,cerulean,3,Elegant,1,waystar royco,,CAMPING,Used - Acceptable,2024-07-11,BASE_PRODUCT,100534788,,,amazon.com/GHP-BGGF-100534788,Stuff,,,f,t,f,f,GHP-BGGF-100534788,GHP-BGGF-100534788,B095PARENT,,SKU-9209,FNSKU-61023,,,,5947989,,,1,0,inches,,,,,,,,inches,5,inches,5,pounds,0,inches,5,FIVETRAN-00004,2025-01-25 19:36:52,340,5,55,277,3,8,5,15,19,17,12,0,8,5,0,9,4,0,0,32
amazon_selling_partner.public,MPIDRANDOM,B0E7STG9922,banker's lamp,product_1,Phone Case,Waystar Royco,oxblood,4,Modern,1,waystar royco,,CAMPING,Refurbished,2024-07-11,OTHER,100534789,,,amazon.com/GHP-BGGF-100534789,Stuff,,,f,t,f,f,GHP-BGGF-100534789,GHP-BGGF-100534789,B095PARENT,,SKU-2963,FNSKU-23744,,,,,5947990,,1,0,inches,1,inches,1,pounds,0,inches,1,inches,6,inches,6,pounds,0,inches,6,FIVETRAN-00005,2025-01-19 19:36:52,476,4,28,411,33,10,3,14,7,11,14,4,4,5,9,2,4,30,0,0
amazon_selling_partner.public,MPIDRANDOM,B0E7STG1865,standing desk,product_1,USB Cable,Waystar Royco,banana,5,"Modern, Elegant",1,waystar royco,,CLOTHING,Used - Good,2024-07-11,PRODUCT_BUNDLE,100534790,,,amazon.com/GHP-BGGF-100534790,Stuff,,,f,t,f,f,GHP-BGGF-100534790,GHP-BGGF-100534790,B095PARENT,,5947991,FNSKU-79678,,,,,,,1,0,inches,0,inches,0,pounds,0,inches,0,inches,4,inches,4,pounds,0,inches,4,FIVETRAN-00006,2025-01-07 19:36:52,138,2,6,125,5,4,1,8,16,17,17,5,2,6,8,6,0,0,15,0
amazon_selling_partner.public,MPIDRANDOM,B0E7STG4397,water bottle,product_1,USB Cable,Waystar Royco,salmon,6,Heritage,1,waystar royco,,CAMPING,Refurbished,2024-07-11,VARIATION_PARENT,100534791,,,amazon.com/GHP-BGGF-100534791,Stuff,,,f,t,f,f,GHP-BGGF-100534791,GHP-BGGF-100534791,B095PARENT,,SKU-5560,FNSKU-50615,,,,,,5947992,1,0,inches,1,inches,1,pounds,0,inches,1,inches,5,inches,5,pounds,0,inches,5,FIVETRAN-00007,2025-01-18 19:36:52,286,6,66,189,25,1,3,0,2,0,9,8,9,1,10,4,2,0,15,0
amazon_selling_partner.public,MPIDRANDOM,B0E7STG6340,iphone 16s,product_1,Phone Case,Waystar Royco,olive,7,Traditional,1,waystar royco,,CAMPING,Used - Like New,2024-07-11,BASE_PRODUCT,100534792,,,amazon.com/GHP-BGGF-100534792,Stuff,,,f,t,f,f,GHP-BGGF-100534792,GHP-BGGF-100534792,B095PARENT,,SKU-2372,FNSKU-93544,,,,,,,1,0,inches,0,inches,0,pounds,0,inches,0,inches,6,inches,6,pounds,0,inches,6,FIVETRAN-00008,2025-01-28 19:36:52,136,5,21,91,19,0,5,12,19,0,12,2,9,8,6,8,5,38,0,0
amazon_selling_partner.public,MPIDRANDOM,B0E7STG1461,golden doodle puppy,product_1,Wireless Mouse,Waystar Royco,merlot,8,Horizon,1,waystar royco,,FOOD,Used - Like New,2024-07-11,OTHER,100534793,,,amazon.com/GHP-BGGF-100534793,Stuff,,,f,t,f,f,GHP-BGGF-100534793,GHP-BGGF-100534793,B095PARENT,,SKU-3196,FNSKU-57798,5947994,,,,,,1,0,inches,1,inches,1,pounds,0,inches,1,inches,4,inches,4,pounds,0,inches,4,FIVETRAN-00009,2025-01-12 19:36:52,342,30,24,237,51,7,5,4,8,9,5,7,3,0,4,1,2,0,0,40
