project_name,applicant_type,mih_deepaffordability,eas_eis,approval_date,mih_option1
ARTHUR'COURT,Private,,,,
712 Fifth Avenue,Private,False,,,False
280 Bergen Street Rezoning,Private,False,EAS,2022-12-07T00:00:00.000,True
SD 29 & 31 Everton Avenue,Private,False,,,False
SD SS 350 Edgegrove Avenue,Private,False,,2022-05-11T00:00:00.000,False
Downtown Flushing BID Expansion,Other Public Agency,False,,,False
"330 WOODROW RD,IBSEN AVE",Private,,,,
ATLANTIC AVE TUNNEL,Private,,,,
600 Metropolitan Avenue,Private,False,,,False
870 - 888 Atlantic Avenue Rezoning,Private,True,EAS,2022-04-28T00:00:00.000,True
721-729 E53RD ST,Other Public Agency,,,,
3 East 89th Street,Private,False,EAS,2022-06-02T00:00:00.000,False
Rikers Island Public Place Mapping,Other Public Agency,False,,,False
Staten Island Academy,Private,False,,,False
"SCHLEY AVE,EASTCHESTER BAY",Private,,,,
"POILLON AVE,HYLAN BLVD#",Private,,,,
,Other Public Agency,,,,
Marconi Street Widening,Private,False,,,False
33 Thomas Street,Private,False,EAS,,False
FARMERS MARKET JAMAICA,Other Public Agency,,,,
1455 Coney Island Avenue Rezoning,Private,False,EAS,,True
2080 McDonald Avenue,Private,False,EAS,2022-10-13T00:00:00.000,False
SFWD: Waterfront Cert Site 1,Private,False,,,False
#Innovation QNS Rezoning and LSGD,Private,False,EIS,2022-11-22T00:00:00.000,True
,Other Public Agency,,,,
,DCP,,,,
Stax NYC,Private,False,,,False
BROOKHAVEN AVE,Private,,,,
Christopher Court,Private,False,EAS,2023-05-03T00:00:00.000,False
TONY DABBAH RES,,,,,
826 Broadway Building (now The Strand Building),Other Public Agency,False,,,False
"E146TH ST,WILLIS AVE,E147TH ST & ST ANN'S AVE",Other Public Agency,,,,
Melrose Parkside Historic District,Other Public Agency,False,,2023-03-02T00:00:00.000,False
133-137 BUFFALO AVE,Other Public Agency,,,,
LOWER EAST SIDE INFILL HO,Other Public Agency,,,,
86 Fleet Place - ZR,Private,False,EAS,,False
UDAAP,Other Public Agency,,,,
764 Sheldon Avenue,Private,False,,,False
HONEYWELL FARM S,Other Public Agency,,,,
12 Franklin Street Special Permit Renewal,Private,False,,2023-06-12T00:00:00.000,False
,,,,,
71 Harborview Place,Private,False,,,False
"Double Dip, LLC",Private,False,,,False
GORHAM MANUFACTURING CO BLDG,Other Public Agency,,,,
SS 436 Sinclair Avenue,Private,False,,2022-06-21T00:00:00.000,False
