job_filing_number,floor_id,floor_kva,sign_text,floor_hpkw,sign_va_per_transformer,item_cost
M00066228-I1-EL,0,0,,0,0.0,75.0
Q00018983-I1-EL,EF815653-4010-E811-8117-005056B627E4,0,,0,0.0,0.25
Q00062773-I1-EL,0,0,,0,0.0,15.0
X00146530-I1-EL,7496EA9B-DC4F-E911-8120-005056B627E4,0,,1,0.0,0.25
S00037803-I1-EL,0,0,,0,0.0,8.0
S00031653-I1-EL,0,0,,0,0.0,30.0
B00032206-I1-EL,0,0,,0,0.0,75.0
Q00020489-P1,0,0,,0,0.0,8.0
M00134987-I1-EL,02D85795-3C39-E911-811F-005056B627E6,0,,0,0.0,0.25
Q00063225-I1-EL,0,0,,0,0.0,15.0
M00111818-I1-EL,0,0,,0,0.0,8.0
Q00011454-I1-EL,0,0,,0,0.0,15.0
X00038684-I1-EL,0,0,,0,0.0,8.0
B00161212-I1-EL,FF04192A-946B-E911-8120-005056B627E6,0,,0,0.0,0.25
Q00070061-I1-EL,0,0,,0,0.0,15.0
M00059373-I1-EL,0036730E-1E81-E811-811A-005056B627E4,0,,0,0.0,0.25
B00145755-I1-EL,0,0,,0,0.0,30.0
M00047197-I1-EL,0,0,,0,0.0,15.0
Q00122168-P1,0,0,OLD NAVY,0,60.0,90.0
Q00109092-I1-EL,60B6AB3C-8EFD-E811-811B-005056B627E4,0,,0,0.0,0.25
S00074115-I1-EL,0,0,,0,0.0,8.0
M00049832-I1-EL,167AE69E-0568-E811-8119-005056B627E6,0,,2,0.0,0.25
B00108451-I1-EL,0,0,,0,0.0,45.0
X00036485-P1,D0B4A652-4C0F-E911-811C-005056B627E4,0,,0,0.0,0.25
Q00047255-I1-EL,0,0,,0,0.0,37.5
Q00041594-S1-EL,0,0,,0,0.0,37.5
M00030707-S1-EL,0,0,,0,0.0,50.0
B00021428-I1-EL,43D3A35A-3F17-E811-8117-005056B627E4,0,,1,0.0,0.25
Q00080379-I1-EL,0,0,,0,0.0,15.0
S00030450-I1-EL,0,0,,0,0.0,15.0
Q00156864-I1-EL,FF40C077-4362-E911-8120-005056B627E6,0,,0,0.0,0.25
M00018166-I1-EL,0,0,,0,0.0,15.0
B00106524-I1-EL,0024EA7E-21F8-E811-811B-005056B627E4,0,,0,0.0,0.25
M00151878-I1-EL,F78C27F6-0B5A-E911-8120-005056B627E6,0,,0,0.0,0.25
X00158972-I1-EL,0,0,,0,0.0,75.0
M00028246-I1-EL,0,0,,0,0.0,75.0
M00090835-I1-EL,0,0,,0,0.0,50.0
Q00094137-I1-EL,0,0,,0,0.0,15.0
Q00139707-I1-EL,0,0,,0,0.0,30.0
Q00059010-I1-EL,0,0,,0,0.0,15.0
Q00023122-S1-EL,690C9775-5721-E811-8117-005056B627E4,0,,0,0.0,0.25
M00035881-I1-EL,54E80A10-4842-E811-8117-005056B627E4,0,,0,0.0,0.25
B00036112-I1-EL,25FD005D-8742-E811-8117-005056B627E4,0,,0,0.0,0.25
