unique_id,work_id,floor_ac_receptacles,sign_total_aw_guage,from_floor,floor_detail,floor_transformers,item,sign_id,sign_lamp_wattage
00B19FB8-2294-E811-8119-005056B627E6.0.0,00B19FB8-2294-E811-8119-005056B627E6,0,,,,0,3Ø over 225 amps,0,0
00512138-AAE6-E811-811A-005056B627E6.6DF22132-AAE6-E811-811A-005056B627E6.0,00512138-AAE6-E811-811A-005056B627E6,0,,1.0,,0,Floor Descriptions - Total Units,0,0
00C09DF4-D2F7-E811-811B-005056B627E4.0.0,00C09DF4-D2F7-E811-811B-005056B627E4,0,,,,0,1Ø over 20-1 or 10-2 pole breakers,0,0
010742B3-0410-E811-8117-005056B627E4.F70642B3-0410-E811-8117-005056B627E4.0,010742B3-0410-E811-8117-005056B627E4,0,,6.0,,0,Floor Descriptions - Total Units,0,0
013,0133656B-F488-E811-811A-005056B627E4,0,,,Common Area Corridor,0,Floor Descriptions - Total Units,0,0
0095562C-3BC7-E811-811B-005056B627E4.D77CDDDF-3AC7-E811-811B-005056B627E4.0,0095562C-3BC7-E811-811B-005056B627E4,2,,1.0,,0,Floor Descriptions - Total Units,0,0
002D886F-DCC8-E811-811A-005056B627E6.0.0,002D886F-DCC8-E811-811A-005056B627E6,0,,,,0,Up to 100 amps,0,0
0008CAAB-0EFD-E711-8116-005056B627E6.FF07CAAB-0EFD-E711-8116-005056B627E6.0,0008CAAB-0EFD-E711-8116-005056B627E6,0,,9.0,Duplex 9/10A,0,Floor Descriptions - Total Units,0,0
00CD7A64-4181-E811-811A-005056B627E 4.0.0,00CD7A64-4181-E811-811A-005056B627E4,0,,,,0,1Ø over 20-1 or 10-2 pole breakers,0,0
007945E0-6285-E811-811A-005056B627E4.0.0,007945E0-6285-E811-811A-005056B627E4,0,,,,0,"Total no.of Elevators, etc",0,0
0064AD01-0440-E911-811F-005056B627E6.0.0,0064AD01-0440-E911-811F-005056B627E6,0,,,,0,201 to 600 amps,0,0
