grade_4,asian_1,math_test_takers,ell_korean_1,ela_level_4,ela_level_4_1,ela_l3_l4_1,math_level_3,ell_korean,grade_5,ell_haitian_creole,district,hispanic_1,ela_level_2,ell_french_1,ell_arabic_1
63,44.7%,237,s,s,s,s,44,s,44,s,1,0.447,74,s,0.016
3790,19.1%,19544,,3153,15.3%,42.8%,4444,,3789,,24,0.695,6285,,
411,5.2%,1869,s,s,s,s,148,s,346,s,12,0.864,446,2.1%,0.034
308,1.1%,1434,,45,3.0%,13.8%,161,,318,,14,0.648,426,,
1815,3.1%,9524,,647,6.7%,26.2%,1491,,1763,,12,0.7,3131,,
152,2.1%,663,,60,9.0%,30.6%,111,,141,,14,0.677,216,,
1931,21.2%,9844,,1566,16.0%,44.5%,2260,,1955,,22,0.188,3048,,
1209,3.1%,6693,,953,13.9%,40.7%,1432,,1178,,17,0.193,2150,,
2452,1.1%,13341,,1069,8.0%,30.2%,2452,,2464,,9,0.697,4498,,
92,1.2%,392,,30,7.4%,27.3%,69,,93,,16,0.218,136,,
522,9.0%,2727,,101,3.6%,16.5%,321,,508,,30,0.658,920,,
1022,4.1%,4981,s,16,0.3%,5.5%,369,s,927,s,10,0.89,1241,0.8%,0.027
200,66.5%,819,1.8%,18,2.5%,18.1%,214,34,133,s,2,0.158,271,1.5%,0.037
2591,9.2%,13667,,1475,10.7%,34.8%,2512,,2513,,11,0.432,4513,,
250,1.0%,1182,,32,2.6%,12.8%,81,,250,,5,0.421,370,,
667,1.3%,3639,,274,7.2%,26.0%,579,,609,,23,0.242,1249,,
424,25.4%,1905,s,24,1.3%,10.2%,246,s,333,15,27,0.664,542,s,0.084
171,1.1%,688,,68,9.6%,36.0%,136,,165,,16,0.168,219,,
207,1.0%,1036,,80,7.8%,30.8%,178,,197,,7,0.736,333,,
483,15.9%,2678,,133,4.9%,19.2%,375,,459,,21,0.408,877,,
868,2.8%,4410,,496,10.6%,35.4%,876,,858,,14,0.674,1510,,
415,31.2%,2239,,114,4.9%,21.3%,439,,447,,25,0.407,795,,
389,10.0%,1942,,610,27.8%,58.6%,451,,493,,15,0.323,529,,
4167,47.4%,23238,,6460,27.8%,59.0%,5488,,3979,,20,0.25,5564,,
598,9.3%,2309,,191,7.8%,26.4%,351,,575,,15,0.488,716,,
108,0.7%,579,,49,8.0%,29.5%,94,,104,,3,0.481,198,,
417,9.1%,2036,,30,1.4%,11.2%,152,,454,,29,0.205,681,,
140,38.6%,1190,,358,27.6%,59.7%,331,,180,,25,0.262,321,,
1485,8.3%,8467,,728,8.7%,31.0%,1389,,1542,,19,0.483,2722,,
1141,1.8%,6088,,788,12.8%,40.0%,1271,,1102,,18,0.071,2005,,
2710,28.0%,14155,,6306,41.8%,75.3%,3452,,2698,,2,0.161,2513,,
86,9.0%,373,s,s,s,s,39,s,60,252,18,0.17,85,2.2%,0.313
282,1.2%,1649,,102,6.1%,26.0%,240,,274,,12,0.697,520,,
99,4.8%,441,s,s,s,s,42,s,83,s,5,0.693,110,3.8%,0.138
245,0.4%,1424,,138,9.6%,35.6%,330,,231,,6,0.911,451,,
174,21.5%,1184,,347,24.0%,50.4%,266,,215,,28,0.248,397,,
3184,50.2%,18277,,4376,24.0%,54.5%,4323,,3050,,20,0.273,4727,,
263,0.8%,1260,,72,5.9%,25.8%,206,,227,,7,0.712,408,,
102,11.1%,517,,42,8.0%,32.2%,101,,129,,1,0.647,189,,
