ell_other,grade_7,ell_urdu,ell_chinese_1,math_l3_l4,other_1,white,ell_bengali_1,male,ela_test_takers,ela_level_3
29,33,s,40.9%,75,s,39,1.6%,243,219,s
,3412,,,8340,0.8%,2872,,16449,20554,5634
115,316,11,0.2%,168,0.6%,58,3.3%,1670,1760,s
,294,,,223,1.1%,292,,1566,1513,164
,1566,,,2253,1.6%,231,,7687,9622,1873
,99,,,183,1.5%,72,,609,664,143
,1561,,,4321,2.1%,3875,,7998,9804,2794
,1197,,,2442,2.3%,304,,5234,6861,1840
,2440,,,3778,0.8%,294,,11167,13406,2978
,104,,,100,1.8%,s,,685,679,70
,284,,,654,4.1%,276,,1382,1744,525
,130,,,397,1.0%,58,,653,770,212
,351,,,299,0.8%,113,,2132,1975,210
,597,,,392,1.2%,203,,3024,3104,296
,67,,,101,3.5%,27,,410,476,103
,1591,,,3960,5.7%,1928,,8057,9685,2718
,3162,,,9543,2.3%,4529,,13837,17817,5334
,465,,,669,0.8%,81,,2590,2879,523
,812,,,1485,1.7%,272,,3703,4708,1216
,2047,,,6886,4.0%,8341,,12214,12798,4114
,522,,,1083,4.7%,1694,,2984,2786,775
,2103,,,4419,1.5%,1116,,9551,12065,2981
,1075,,,1821,1.1%,168,,5461,6675,1580
137,188,27,32.4%,409,0.7%,308,3.7%,2158,1745,183
,2278,,,4214,5.0%,384,,10491,12880,3619
,697,,,1893,4.7%,1660,,4342,4739,1393
,270,,,83,2.0%,27,,1174,1144,62
,2076,,,6938,2.4%,6953,,11438,13845,4258
,249,,,676,2.1%,529,,999,1401,422
,644,,,1502,2.5%,428,,1538,2544,732
,716,,,1149,3.0%,531,,2826,3710,924
,511,,,826,2.6%,248,,2519,3117,763
103,67,s,3.7%,90,0.8%,120,s,423,377,39
,866,,,1433,0.6%,139,,3502,4667,1034
,172,,,315,3.8%,59,,909,1067,220
,414,,,251,1.6%,43,,2195,2227,197
,129,,,135,1.9%,21,,640,698,101
381,591,s,0.1%,395,0.3%,76,1.0%,3164,3036,212
39,103,s,1.9%,73,1.0%,29,1.7%,544,544,s
,111,,,191,1.6%,17,,653,763,158
