ell_bengali,ell_russian_1,female_1,white_1,math_l3_l4_1,grade_k,year,math_level_1_1,math_level_3_1,male_1,category,ell_chinese,grade_2
7,4.2%,0.46,8.7%,31.6%,62,2018-19,0.473,18.6%,0.54,English Language Learners,184,55
,,0.487,9.0%,42.7%,3412,2018-19,0.295,22.7%,0.513,Receive free or reduced price lunch,,3669
100,s,0.452,1.9%,9.0%,337,2018-19,0.703,7.9%,0.548,English Language Learners,7,394
,,0.368,11.8%,15.6%,164,2018-19,0.628,11.2%,0.632,Students with Disabilities,,277
,,0.49,1.5%,23.7%,1566,2018-19,0.495,15.7%,0.51,All Students,,1695
,,0.505,5.8%,27.6%,140,2018-19,0.433,16.7%,0.495,Students in temporary housing,,169
,,0.49,24.7%,43.9%,1694,2018-19,0.288,23.0%,0.51,Receive free or reduced price lunch,,1858
,,0.494,2.9%,36.5%,944,2018-19,0.378,21.4%,0.506,Receive free or reduced price lunch,,1067
,,0.489,1.3%,28.3%,2237,2018-19,0.429,18.4%,0.511,Receive free or reduced price lunch,,2474
360,s,0.432,4.8%,11.7%,261,2018-19,0.646,8.0%,0.568,English Language Learners,s,288
58,0.5%,0.439,2.9%,43.6%,1086,2018-19,0.305,26.7%,0.561,English Language Learners,3336,831
,,0.428,22.6%,22.9%,30,2018-19,0.457,10.0%,0.572,Attend school outside district of residence,,17
,,0.5,12.6%,40.6%,251,2018-19,0.329,23.1%,0.5,Attend school outside district of residence,,286
,,0.482,1.7%,25.5%,160,2018-19,0.469,14.8%,0.518,Students in temporary housing,,223
,,0.488,5.2%,22.7%,317,2018-19,0.504,15.4%,0.512,Students in temporary housing,,369
,,0.364,10.8%,16.0%,144,2018-19,0.622,10.4%,0.636,Students with Disabilities,,224
s,s,0.464,2.2%,12.7%,415,2018-19,0.606,10.2%,0.536,English Language Learners,11,499
,,0.479,11.1%,42.6%,125,2018-19,0.312,21.3%,0.521,Students in temporary housing,,218
,,0.492,1.6%,19.7%,287,2018-19,0.538,14.6%,0.508,Students in temporary housing,,322
,,0.492,1.5%,23.2%,1442,2018-19,0.502,15.5%,0.508,Receive free or reduced price lunch,,1583
,,0.493,21.3%,58.7%,218,2018-19,0.205,20.8%,0.507,Attend school outside district of residence,,219
,,0.481,9.7%,33.0%,2848,2018-19,0.39,19.7%,0.519,All Students,,2944
,,0.488,2.0%,32.4%,1544,2018-19,0.389,19.4%,0.512,Receive free or reduced price lunch,,1640
,,0.493,10.0%,43.1%,1413,2018-19,0.305,21.7%,0.507,Receive free or reduced price lunch,,1543
,,0.48,10.5%,67.9%,133,2018-19,0.127,24.3%,0.52,Attend school outside district of residence,,141
,,0.351,27.0%,24.6%,570,2018-19,0.488,15.9%,0.649,Students with Disabilities,,665
,,0.498,2.4%,31.3%,647,2018-19,0.401,18.9%,0.502,Receive free or reduced price lunch,,693
s,s,0.432,2.3%,14.1%,225,2018-19,0.611,11.3%,0.568,English Language Learners,s,255
,,0.486,10.5%,44.4%,3223,2018-19,0.286,23.9%,0.514,All Students,,3299
,,0.482,17.7%,75.3%,1812,2018-19,0.089,24.7%,0.518,All Students,,1784
,,0.493,2.8%,24.7%,277,2018-19,0.476,14.8%,0.507,Students in temporary housing,,315
7,s,0.518,8.0%,s,35,2018-19,0.619,s,0.482,English Language Learners,s,45
,,0.342,15.9%,18.1%,345,2018-19,0.566,12.0%,0.658,Students with Disabilities,,460
,,0.497,1.3%,29.5%,159,2018-19,0.437,18.7%,0.503,Attend school outside district of residence,,195
,,0.493,2.7%,34.8%,1177,2018-19,0.364,21.6%,0.507,Receive free or reduced price lunch,,1353
,,0.478,11.2%,70.9%,789,2018-19,0.112,25.3%,0.522,Receive free or reduced price lunch,,845
,,0.344,2.0%,12.1%,127,2018-19,0.657,9.4%,0.656,Students with Disabilities,,218
,,0.465,8.2%,39.3%,96,2018-19,0.344,18.6%,0.535,Attend school outside district of residence,,113
,,0.466,1.6%,21.9%,145,2018-19,0.473,15.7%,0.534,Students in temporary housing,,153
,,0.332,10.0%,17.6%,160,2018-19,0.575,10.7%,0.668,Students with Disabilities,,198
