evt_code,evt_sqlidentity,evt_reopened,evt_warranty,evt_udfchkbox03,evt_udfchar16,evt_reported,evt_printed,evt_udfchkbox01,evt_udfchkbox02,evt_due,evt_duration,evt_safety,evt_standwork,evt_date
2288776,2176296,-,-,+,,Mar  3 2022  2:17PM,-,-,-,,1,-,,Mar  3 2022  2:17PM
2542253,2418991,-,-,-,,May 14 2024 11:15AM,-,+,-,,1,-,,20240514
2056526,1991137,-,-,+,,Jul 29 2020  1:05PM,-,-,-,,1,-,,Jul 29 2020  1:05PM
12566,2567,-,-,-,,Apr 23 2009  2:31PM,-,-,-,,1,-,,20090423
1919697,1864314,-,-,+,,Jun 12 2019  9:16AM,-,-,-,,1,-,,Jun 12 2019  9:16AM
2059957,1994551,-,-,+,,Aug 10 2020  8:53AM,-,-,-,,1,-,,Aug 10 2020  8:53AM
2181870,2088185,-,-,+,,Jun 28 2021 12:25PM,-,-,-,,1,-,,Jun 28 2021 12:25PM
1013177,998778,-,-,-,,,-,-,-,,1,-,,20141217
2014051,1948970,-,-,-,,Mar  6 2020 12:57PM,-,-,-,,1,-,,Mar  6 2020 12:57PM
1030465,1016066,-,-,-,,,-,-,-,,1,-,,20150123
121607,111604,-,-,-,,May 30 2010  3:07PM,-,-,-,,1,-,,20100530
2227210,2133060,-,-,+,,Oct 28 2021  5:29PM,-,-,-,,1,-,,Oct 28 2021  5:29PM
1698914,1671806,-,-,+,,May 19 2018 12:29PM,-,+,-,,26,-,,May 19 2018 12:29PM
2310471,2197832,-,-,+,,May 10 2022  2:13PM,-,-,-,,1,-,,May 10 2022  2:13PM
2137939,2062466,-,-,+,,Apr  6 2021  4:20PM,-,-,-,,1,-,,Apr  6 2021  4:20PM
2177941,2084337,-,-,+,,Jun 17 2021  1:03PM,-,-,-,,1,-,,Jun 17 2021  1:03PM
1271651,1256442,-,-,-,,,-,-,-,,1,-,,20160301
2205171,2111308,-,-,+,,Aug 26 2021 12:29PM,-,-,-,,1,-,,Aug 26 2021 12:29PM
1763869,1727434,-,-,+,,Sep  5 2018  4:48PM,-,-,-,,1,-,,Sep  5 2018  4:48PM
1134481,1120082,-,-,-,,,-,-,-,,1,-,,20150608
1023473,1009074,-,-,-,,,-,-,-,,1,-,,20150109
2092315,2026491,-,-,+,,Nov 27 2020  4:12PM,-,-,-,,1,-,,Nov 27 2020  4:12PM
1018062,1003663,-,-,-,,,-,-,-,,1,-,,20141228
1698873,1671765,-,-,-,,May 19 2018 11:55AM,-,+,-,,26,-,,May 19 2018 11:55AM
1253157,1238067,-,-,-,,,-,-,-,,1,-,,20160113
2212890,2118932,-,-,-,,Sep 21 2021  2:39PM,-,-,-,,1,-,,Sep 21 2021  2:39PM
1928576,1873074,-,-,+,,Jul  3 2019  5:34PM,-,-,-,,1,-,,Jul  3 2019  5:34PM
1927066,1871568,-,-,+,,Jul  1 2019  9:44AM,-,-,-,,1,-,,Jul  1 2019  9:44AM
2224694,2130587,-,-,+,311-08103662,Oct 22 2021 11:36AM,-,-,-,,1,-,,Oct 22 2021 11:36AM
2056653,1991264,-,-,+,,Jul 29 2020  3:40PM,-,-,-,,1,-,Inspections / Assessment (for BFD),Jul 29 2020  3:40PM
2124599,2049497,-,-,+,,Feb 24 2021  9:11AM,-,-,-,,1,-,,Feb 24 2021  9:11AM
2127183,2051919,-,-,+,,Mar  4 2021  3:13PM,-,-,-,,1,-,,Mar  4 2021  3:13PM
