tree_id,boro_ct,borocode,brch_shoe,sidewalk,health,trunk_wire,nta_name,spc_common,cb_num,brch_other,brch_light
210541,3057100,3,No,Damage,Good,No,Greenpoint,American linden,301,No,No
201655,3005100,3,No,NoDamage,Good,No,Carroll Gardens-Columbia Street-Red Hook,American linden,306,No,No
185163,4095400,4,No,NoDamage,Fair,No,Hammels-Arverne-Edgemere,sweetgum,414,No,No
201933,4093800,4,No,Damage,Good,No,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,honeylocust,414,No,No
183489,4059500,4,No,Damage,Good,No,Ridgewood,Sophora,405,No,Yes
178515,4000400,4,No,Damage,Poor,No,Woodhaven,Norway maple,409,No,No
178185,3015700,3,No,NoDamage,Good,No,Park Slope-Gowanus,Norway maple,306,No,No
204417,3030400,3,No,Damage,Good,No,Bensonhurst East,Callery pear,311,No,No
179759,3077000,3,No,Damage,Good,No,Flatbush,northern red oak,314,No,No
196015,1013000,1,No,NoDamage,Fair,No,Upper East Side-Carnegie Hill,Callery pear,108,Yes,No
187448,4044302,4,No,Damage,Good,No,Corona,Norway maple,404,No,No
189469,3019100,3,No,NoDamage,Good,No,Clinton Hill,honeylocust,302,No,No
161339,3051200,3,No,Damage,Good,No,Flatbush,honeylocust,314,No,No
178506,1004000,1,No,NoDamage,Good,No,East Village,Norway maple,103,No,No
189903,3015900,3,No,Damage,Good,No,Park Slope-Gowanus,ginkgo,306,No,No
173727,1007700,1,No,Damage,Good,No,West Village,Ohio buckeye,102,No,No
201811,4093800,4,No,NoDamage,Fair,No,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,honeylocust,414,No,No
164685,2037504,2,No,NoDamage,Fair,No,East Tremont,Norway maple,206,Yes,No
196089,4014000,4,No,Damage,Good,No,Kew Gardens,London planetree,409,No,No
179259,4071900,4,No,NoDamage,Poor,No,Forest Hills,Norway maple,406,No,No
186060,2038302,2,No,Damage,Good,No,Fordham South,honeylocust,206,No,No
171066,3079400,3,No,NoDamage,Good,No,Erasmus,white oak,314,No,No
203769,4010500,4,No,NoDamage,Good,No,Steinway,London planetree,401,No,No
200371,1009600,1,No,NoDamage,Good,No,Midtown-Midtown South,pin oak,105,No,No
178265,3013300,3,No,NoDamage,Good,No,Park Slope-Gowanus,Norway maple,306,No,No
151575,4069702,4,No,NoDamage,Good,No,Rego Park,silver maple,406,No,No
199777,3063600,3,No,NoDamage,Fair,No,Georgetown-Marine Park-Bergen Beach-Mill Basin,Norway maple,318,No,No
184031,2023502,2,No,NoDamage,Good,No,Mount Hope,red maple,205,No,No
200604,4084900,4,No,Damage,Good,No,Flushing,honeylocust,407,No,Yes
181988,3076200,3,No,Damage,Fair,No,Midwood,scarlet oak,314,No,No
197862,1008000,1,No,Damage,Good,No,Murray Hill-Kips Bay,Sophora,106,No,No
162756,2018900,2,No,NoDamage,Good,No,Highbridge,Norway maple,204,No,Yes
189417,3013900,3,No,NoDamage,Good,No,Park Slope-Gowanus,Japanese zelkova,306,No,No
203326,4028500,4,No,NoDamage,Good,No,Jackson Heights,honeylocust,403,No,No
189465,3019100,3,No,NoDamage,Good,No,Clinton Hill,London planetree,302,No,No
166852,4129102,4,No,NoDamage,Poor,No,Oakland Gardens,Norway maple,411,No,No
195995,1007400,1,No,NoDamage,Fair,No,Midtown-Midtown South,honeylocust,105,Yes,No
203386,4072900,4,No,Damage,Good,No,Forest Hills,London planetree,406,No,Yes
178575,1008000,1,No,NoDamage,Good,No,Murray Hill-Kips Bay,ginkgo,106,No,No
190395,1012600,1,No,NoDamage,Good,No,Lenox Hill-Roosevelt Island,honeylocust,108,Yes,No
173517,1007300,1,No,,,No,West Village,,102,No,No
145912,4032700,4,No,NoDamage,Good,No,Jackson Heights,Norway maple,403,No,No
196496,3066600,3,No,NoDamage,Good,No,Madison,scarlet oak,318,No,No
161141,1007700,1,No,NoDamage,Fair,No,West Village,Sophora,102,No,No
176839,1006600,1,No,Damage,Good,No,Murray Hill-Kips Bay,American linden,106,No,No
193583,4013700,4,No,NoDamage,Good,No,Steinway,Norway maple,401,No,Yes
204118,5013800,5,No,NoDamage,Good,No,Oakwood-Oakwood Beach,London planetree,503,No,No
180286,4019900,4,No,NoDamage,Good,No,Hunters Point-Sunnyside-West Maspeth,Sophora,402,No,No
161140,1007700,1,No,Damage,Fair,No,West Village,Sophora,102,No,No
185678,2023900,2,No,NoDamage,Good,No,Fordham South,American elm,205,No,No
209919,1020500,1,No,NoDamage,Good,No,Morningside Heights,London planetree,109,No,No
172663,4101001,4,No,NoDamage,Fair,No,Far Rockaway-Bayswater,Sophora,414,No,No
178599,5015602,5,No,Damage,Good,No,Annadale-Huguenot-Prince's Bay-Eltingville,pin oak,503,No,Yes
