property_id,office_weekly_operating_hours,multifamily_housing_number_5,net_emissions_metric_tons,retail_store_cash_register,food_service_gross_floor,address_2,primary_property_type_epa,non_refrigerated_warehouse,data_center_pdu_input_meter,municipally_supplied_potable_1,supermarket_grocery_gross,property_floor_area_building,weather_normalized_site,retail_store_gross_floor,national_median_source_eui,electricity_use_generated_1,national_median_energy_star,fast_food_restaurant_gross,pre_school_daycare_gross,data_center_national_median,multifamily_housing_percent_1,fuel_oil_1_use_kbtu,hospital_general_medical_1,kerosene_use_kbtu,bar_nightclub_gross_floor,vocational_school_gross_floor,nyc_borough_block_and_lot,data_center_it_site_energy,senior_care_community_gross,data_center_it_source_energy,occupancy,hospital_general_medical_4,multifamily_housing_number_3,census_tract,medical_office_gross_floor,total_ghg_emissions_metric,energy_power_station_gross,avoided_emissions_onsite,hospital_general_medical,manufacturing_industrial,municipally_supplied_potable_3,longitude,percent_of_electricity_that,water_wastewater_investment,retail_store_computer_density,weather_normalized_site_eui,personal_services_health,indoor_water_use_all_water,hospital_general_medical_3,courthouse_gross_floor_area,hospital_general_medical_6,social_meeting_hall_gross,hospital_general_medical_9,borough,outpatient_rehabilitation,year_built,data_center_it_energy,restaurant_weekly_operating,fuel_oil_2_use_kbtu,estimated_data_flag_fuel,worship_facility_gross_floor,mailing_center_post_office,hospital_general_medical_12,estimated_data_flag_fuel_2,fuel_oil_no_2_cost
2562923,Not Available,0,593.9,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,61554,5.6,Not Available,181.2,Not Available,50,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available,Not Available,Not Available,2-03210-0080,Not Available,Not Available,Not Available,100,Not Available,3.54161,250.0,Not Available,593.9,Not Available,Not Available,Not Available,Not Available,3.55,-73.853325,0,Not Available,Not Available,119.8,Not Available,218.2,Not Available,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,1920,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2388616,Not Available,1.15482,434.6,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,83130,5.3,Not Available,129.1,Not Available,50,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,1008910077,Not Available,Not Available,Not Available,100,Not Available,1.0225,80.0,Not Available,434.6,Not Available,Not Available,Not Available,Not Available,Not Available,-73.979457,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1957,Not Available,Not Available,4068916.1,No,Not Available,Not Available,Not Available,No,89923.42
2546474,Not Available,Not Available,454.8,Not Available,Not Available,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,85000,Not Available,Not Available,150,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1015030059,Not Available,Not Available,Not Available,100,Not Available,Not Available,16001.0,Not Available,454.8,Not Available,Not Available,Not Available,Not Available,Not Available,-73.956837,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1990,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2433308,44.16,Not Available,1394.7,0,Not Available,Not Available,Office,Not Available,Not Available,Not Available,Not Available,699577,5.4,3873,148.1,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1009930022,Not Available,Not Available,Not Available,100,Not Available,Not Available,113.0,Not Available,1394.7,Not Available,Not Available,Not Available,Not Available,Not Available,-73.986028,0,Not Available,0,24.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1915,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1407339,61.69,Not Available,4622.3,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,Not Available,769421,16,Not Available,268.1,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1-01297-0033,Not Available,Not Available,Not Available,100,Not Available,Not Available,92.0,Not Available,4622.3,Not Available,Not Available,Not Available,Not Available,Not Available,-73.974252,0,Not Available,Not Available,76.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1951,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2290301,79.83,Not Available,17227.7,0.27086,Not Available,,Office,Not Available,Not Available,Not Available,Not Available,1750740,18.5,184594,294.2,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1013087501,Not Available,Not Available,Not Available,100,Not Available,Not Available,100.0,Not Available,17227.7,Not Available,Not Available,Not Available,Not Available,19.09,-73.970914,0,Not Available,0.35212,132.8,Not Available,33417,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1976,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1846654,60,Not Available,1661.7,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,Not Available,263067,Not Available,Not Available,286.6,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1012870052,Not Available,Not Available,Not Available,100,Not Available,Not Available,102.0,Not Available,1661.7,Not Available,Not Available,Not Available,Not Available,Not Available,-73.974877,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2630976,Not Available,0,36.5,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,39667,3.2,Not Available,110.3,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5005930590,Not Available,Not Available,Not Available,100,Not Available,1.26049,39.0,Not Available,36.5,Not Available,Not Available,Not Available,Not Available,Not Available,-74.091487,0,Not Available,Not Available,11.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,STATEN IS,Not Available,1951,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2640560,Not Available,0,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,12150,Not Available,Not Available,127.9,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4076580002,Not Available,Not Available,Not Available,100,Not Available,2.13992,1377.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.753823,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,1949,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2425340,Not Available,Not Available,0,Not Available,Not Available,Not Available,Residence Hall/Dormitory,Not Available,Not Available,Not Available,Not Available,104570,12.4,Not Available,114.9,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1004107501,Not Available,Not Available,Not Available,100,Not Available,Not Available,18.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.988864,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,2008,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
