address_1,senior_care_community_number_1,residence_hall_dormitory,state_province,worship_facility_gross_floor,supermarket_grocery_gross,census_tract,senior_care_community_number_2,energy_alerts,data_center_pdu_input_site,hotel_amount_of_laundry,estimated_data_flag_other,estimated_data_flag_natural,hospital_general_medical_5,senior_care_community_number_3,national_median_site_eui,refrigerated_warehouse_gross,site_energy_use_kbtu,weather_normalized_source,multifamily_housing_number_3,multifamily_housing_gross,supermarket_grocery_worker,supermarket_grocery_number_1,residence_hall_dormitory_4,hospital_general_medical,electricity_sourced_from,estimated_data_flag_diesel,bank_branch_worker_density,retail_store_gross_floor,multifamily_housing_maximum,k_12_school_cooking_facilities,multifamily_housing_number_4,medical_office_number_of,supermarket_grocery_percent,outdoor_water_use_all_water,hotel_gym_fitness_center,hotel_full_service_spa_floor,medical_office_percent_that,retail_store_number_of_walk,estimated_data_flag_fuel_1,supermarket_grocery_walk,supermarket_grocery_weekly,source_energy_use_kbtu,multifamily_housing_primary,bank_branch_weekly_operating,retail_store_exterior_entrance,data_center_national_median,k_12_school_refrigeration,percent_better_than_national,bank_branch_number_of_workers
419 Park Ave South,Not Available,Not Available,New York,Not Available,10100,72.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,137.8,Not Available,16919693.2,210.4,Not Available,Not Available,1.49,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.3,168,37858152.6,Not Available,Not Available,Not Available,Not Available,Not Available,-30,Not Available
30 Vesey Street,Not Available,Not Available,New York,Not Available,Not Available,21.0,Not Available,Less than 1 year of data<br>Data > 120 days old<br>,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,68,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,Not Available,Not Available,Not Available,Not Available
1919 Williamsbridge Road,Not Available,Not Available,New York,Not Available,Not Available,250.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,8172472,180.9,74,60480,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,231,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,11115633.9,Fuel Oil (No. 4),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
150 Brielle Avenue,Not Available,Not Available,New York,Not Available,Not Available,181.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,3948370.4,103.8,80,61320,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4,Not Available,81,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5963623.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1801 Dorchester Road,Not Available,Not Available,New York,Not Available,Not Available,514.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,8518605.4,120.1,Not Available,119106,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13260245.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
9701 Ave D,Not Available,Not Available,New York,Not Available,Not Available,1098.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,57.2,Not Available,39242806.6,560.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,73706763.9,Not Available,Not Available,Not Available,Not Available,Not Available,427.4,Not Available
120 Fifth Avenue,Not Available,Not Available,New York,Not Available,Not Available,54.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,84.3,Not Available,5292680,222.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13961,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,15528921.5,Not Available,Not Available,1,Not Available,Not Available,-8.7,Not Available
9605 QUEENS BLVD,Not Available,Not Available,New York,Not Available,Not Available,71701.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,61.9,Not Available,10239941.8,164.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,197645,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,32840968.8,Not Available,Not Available,1,Not Available,Not Available,-16.3,Not Available
2900 VETERANS RD W,Not Available,Not Available,New York,Not Available,Not Available,226.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,113.1,Not Available,11623038.3,226.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,143876,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7,Not Available,Not Available,Not Available,32764204.1,Not Available,Not Available,1,Not Available,Not Available,-28.6,Not Available
650 Brush Ave,Not Available,Not Available,New York,Not Available,Not Available,90.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,54.3,Not Available,18757267.7,189.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,42269245.6,Not Available,Not Available,Not Available,Not Available,Not Available,50.3,Not Available
