property_name,city,swimming_pool_location_of,retail_store_number_of_open,retail_store_worker_density,senior_care_community_gross,target_site_eui_kbtu_ft,hotel_number_of_rooms,k_12_school_weekend_operation,hospital_general_medical_3,energy_star_certification_4,electricity_use_grid_purchase_1,swimming_pool_months_in_use,multifamily_housing_number_1,energy_current_date,natural_gas_use_kbtu,supermarket_grocery_cooking,data_center_it_site_energy,fuel_oil_4_use_kbtu,district_hot_water_use_kbtu,space_alerts,office_gross_floor_area_ft,avoided_emissions_offsite,estimated_data_flag_district_2,refrigerated_warehouse_weekly,swimming_pool_approximate,energy_star_certification_2,fuel_oil_2_use_kbtu,custom_property_id_1_id,multifamily_housing_percent,hospital_general_medical_4,bank_branch_percent_that,office_computer_density_number,hotel_room_density_number,hotel_worker_density_number,office_percent_that_can_be,longitude,multifamily_housing_number_2,property_floor_area_buildings,county,year_built,natural_gas_use_therms,senior_care_community_maximum,data_center_gross_floor_area,non_refrigerated_warehouse,district_steam_use_kbtu,supermarket_grocery_number,nta,estimated_data_flag,worship_facility_computer,residence_hall_dormitory_3,multifamily_housing_number,release_date,multifamily_housing_government,worship_facility_cooking,bbl,borough,energy_star_certification,non_refrigerated_warehouse_5,non_refrigerated_warehouse_4,total_ghg_emissions_mtco2e
"1820 Harrison Realty, L.L.C.",Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,395332,Not Available,9,31-DEC-12,984064.52,Not Available,Not Available,6292459.57,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2008585,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.853325,22,69179,BRONX,1950,9840.6,Not Available,Not Available,Not Available,Not Available,Not Available,Pelham Parkway,No,Not Available,Not Available,0,2013-06-17T07:12:30.000,0,Not Available,2042730029.0,BRONX,Not Available,Not Available,Not Available,641.91
200,Manhattan,Not Available,2,2.03,Not Available,108.9,Not Available,Not Available,Not Available,14-JAN-11,4761252.5,Not Available,Not Available,31-DEC-12,Not Available,Not Available,0,Not Available,Not Available,Not Available,361245,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (25-JAN-11),Not Available,1037545,Not Available,Not Available,Not Available,4.29,Not Available,Not Available,100,-73.974306,Not Available,384432,NEW YORK,1956,Not Available,Not Available,3434,Not Available,15443987.89,Not Available,Turtle Bay-East Midtown,No,Not Available,Not Available,Not Available,2013-05-29T12:04:20.000,Not Available,Not Available,1013150001.0,MANHATTAN,Not Available,Not Available,Not Available,2744.54
The London,New York,Not Available,Not Available,Not Available,Not Available,0,563,Not Available,Not Available,Not Available,8729284.8,Not Available,Not Available,31-DEC-12,4776978.98,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1069590,Not Available,Not Available,Not Available,Not Available,0.98,0.51,Not Available,-73.980355,Not Available,574241,NEW YORK,1990,47769.8,Not Available,Not Available,Not Available,28691024.4,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-05-21T09:29:16.000,Not Available,Not Available,1010070005.0,MANHATTAN,Not Available,Not Available,Not Available,5315.67
Chrysler Building,New York,Not Available,18,2.63,Not Available,0,Not Available,Not Available,Not Available,10-APR-12,17199321,Not Available,Not Available,28-FEB-13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1189232,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (12-APR-12),Not Available,1036156,Not Available,Not Available,100,3.95,Not Available,Not Available,100,-73.97576,Not Available,1283579,NEW YORK,1929,Not Available,Not Available,Not Available,Not Available,30494760,Not Available,Turtle Bay-East Midtown,No,Not Available,Not Available,Not Available,2013-05-20T10:08:53.000,Not Available,Not Available,1012970023.0,MANHATTAN,Not Available,Not Available,Not Available,7917.26
0514 Hyde Park,Hyde Park,Not Available,Not Available,Not Available,Not Available,212.9,Not Available,Not Available,Not Available,Not Available,2585623.2,Not Available,Not Available,31-DEC-12,4573424.24,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,52500,DUTCHESS,Not Available,45734.2,Not Available,Not Available,Not Available,Not Available,10,,No,Not Available,Not Available,Not Available,2013-05-15T06:33:10.000,Not Available,Not Available,,,Not Available,Not Available,Not Available,1048.6
"Noonan Towers Co., LLC",Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,687457.8,Not Available,8,31-DEC-12,475435.29,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2098788,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.92925,0,196432,BRONX,1928,4754.4,Not Available,Not Available,Not Available,Not Available,Not Available,Highbridge,No,Not Available,Not Available,0,2013-05-30T05:49:08.000,0,Not Available,2025110022.0,BRONX,Not Available,Not Available,Not Available,1033.54
7777,New York,Not Available,20,0.39,Not Available,107.2,Not Available,Not Available,Not Available,Not Available,2673451,Not Available,Not Available,28-FEB-13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,No Status Available,Not Available,1008952,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.991402,Not Available,154099,NEW YORK,1996,Not Available,Not Available,Not Available,Not Available,83578913.46,Not Available,West Village,No,Not Available,Not Available,Not Available,2013-04-29T06:52:17.000,Not Available,Not Available,1005540001.0,MANHATTAN,Not Available,Not Available,Not Available,7457.73
Pratt Studios,Brooklyn,Not Available,Not Available,Not Available,Not Available,0,Not Available,1,Not Available,Not Available,558880,Not Available,Not Available,31-DEC-12,6572000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,3055114,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.963162,Not Available,72000,KINGS,1920,65720,Not Available,Not Available,Not Available,Not Available,Not Available,Clinton Hill,No,Not Available,Not Available,Not Available,2013-05-13T06:28:15.000,Not Available,Not Available,3019210001.0,BROOKLYN,Not Available,Not Available,Not Available,528.66
"2527 Valentine Realty, L.L.C.",Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,255828,Not Available,0,31-DEC-12,149400,Not Available,Not Available,4890365.72,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2013613,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.853325,30,51285,BRONX,1925,1494,Not Available,Not Available,Not Available,Not Available,Not Available,Pelham Parkway,No,Not Available,Not Available,0,2013-06-17T07:12:30.000,0,Not Available,2042730029.0,BRONX,Not Available,Not Available,Not Available,449.67
RH - Antenucci Pavilion,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,2355871,Not Available,Not Available,31-JAN-13,0,Not Available,Not Available,Not Available,Not Available,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1026893,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.986299,Not Available,104820,NEW YORK,1972,Not Available,Not Available,Not Available,Not Available,25046455.19,Not Available,Clinton,No,Not Available,Not Available,Not Available,2013-04-23T12:35:02.000,Not Available,Not Available,1010670044.0,MANHATTAN,Not Available,Not Available,Not Available,2732.11
