property_name,city,swimming_pool_location_of,retail_store_number_of_open,retail_store_worker_density,senior_care_community_gross,target_site_eui_kbtu_ft,hotel_number_of_rooms,k_12_school_weekend_operation,hospital_general_medical_3,energy_star_certification_4,electricity_use_grid_purchase_1,swimming_pool_months_in_use,multifamily_housing_number_1,energy_current_date,natural_gas_use_kbtu,supermarket_grocery_cooking,data_center_it_site_energy,fuel_oil_4_use_kbtu,district_hot_water_use_kbtu,space_alerts,office_gross_floor_area_ft,avoided_emissions_offsite,estimated_data_flag_district_2,refrigerated_warehouse_weekly,swimming_pool_approximate,energy_star_certification_2,fuel_oil_2_use_kbtu,custom_property_id_1_id,multifamily_housing_percent,hospital_general_medical_4,bank_branch_percent_that,office_computer_density_number,hotel_room_density_number,hotel_worker_density_number,office_percent_that_can_be,longitude,multifamily_housing_number_2,property_floor_area_buildings,county,year_built,natural_gas_use_therms,senior_care_community_maximum,data_center_gross_floor_area,non_refrigerated_warehouse,district_steam_use_kbtu,supermarket_grocery_number,nta,estimated_data_flag,worship_facility_computer,residence_hall_dormitory_3,multifamily_housing_number,release_date,multifamily_housing_government,worship_facility_cooking,bbl,borough,energy_star_certification,non_refrigerated_warehouse_5,non_refrigerated_warehouse_4,total_ghg_emissions_mtco2e
Walter & Samuels 419 Park Ave South,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,23-JAN-12,2594244.4,Not Available,Not Available,31-DEC-12,3922245.16,1,Not Available,Not Available,Not Available,Weekly operating hours is much lower than normal for vacant.<br>,165207,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (26-JAN-12),Not Available,1018236,Not Available,Not Available,Not Available,3.83,Not Available,Not Available,100,-73.983721,Not Available,175307,NEW YORK,1927,39222.5,Not Available,Not Available,Not Available,Not Available,10,Murray Hill-Kips Bay,No,Not Available,Not Available,Not Available,2013-06-06T14:24:46.000,Not Available,Not Available,1008840084.0,MANHATTAN,Reviewed and Approved,Not Available,Not Available,1368.13
30 Vesey Street,New York,Not Available,0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,30-NOV-11,Not Available,Not Available,Not Available,Not Available,Not Available,Using default values for Space Use attributes.<br>,72000,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.2,Not Available,Not Available,100,-74.009865,Not Available,77000,NEW YORK,1911,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,SoHo-TriBeCa-Civic Center-Little Italy,Not Available,Not Available,Not Available,Not Available,2013-05-07T12:15:57.000,Not Available,Not Available,1000880010.0,MANHATTAN,Not Available,Not Available,Not Available,Not Available
"1480 Popham Realty, L.L.C.",Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,359380,Not Available,0,31-DEC-12,118400,Not Available,Not Available,6827867.53,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2008874,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.853325,48,60480,BRONX,1940,1184,Not Available,Not Available,Not Available,Not Available,Not Available,Pelham Parkway,No,Not Available,Not Available,0,2013-06-17T07:12:30.000,0,Not Available,2042730029.0,BRONX,Not Available,Not Available,Not Available,623.73
Sisters of Charity (SEM),Staten Island,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,233863.2,Not Available,3,31-JAN-13,3150429.03,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,5-00955-0025,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-74.128234,0,61320,RICHMOND,1999,31504.3,Not Available,Not Available,Not Available,Not Available,Not Available,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,No,Not Available,Not Available,0,2013-04-04T13:18:43.000,0,Not Available,5009550025.0,STATEN IS,Not Available,Not Available,Not Available,242.52
Hampton House Company LP,Brooklyn,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,554885.4,Not Available,Not Available,31-DEC-12,6625336.55,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.961258,Not Available,119106,KINGS,1954,66253.4,Not Available,Not Available,Not Available,Not Available,Not Available,Flatbush,No,Not Available,Not Available,Not Available,2013-04-23T07:00:03.000,0,Not Available,3051610033.0,BROOKLYN,Not Available,Not Available,Not Available,530.22
Pepsi Cola Avenue D,Brooklyn,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,4169316.1,Not Available,Not Available,31-JAN-13,25017100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,3844209,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.907488,Not Available,130000,KINGS,1968,250171,Not Available,Not Available,130000,Not Available,Not Available,East New York,No,Not Available,Not Available,Not Available,2013-03-19T10:17:34.000,Not Available,Not Available,3081230022.0,BROOKLYN,Not Available,0,128,2666.53
120 Fifth,New York,Not Available,0,0.72,Not Available,0,Not Available,Not Available,Not Available,Not Available,1276565.5,Not Available,Not Available,31-DEC-12,937038.71,Not Available,Not Available,Not Available,Not Available,Not Available,54820,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1015419,Not Available,Not Available,Not Available,5.49,Not Available,Not Available,100,-73.992123,Not Available,68781,NEW YORK,1906,9370.4,Not Available,Not Available,Not Available,Not Available,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,No,Not Available,Not Available,Not Available,2013-04-29T09:48:47.000,Not Available,Not Available,1008190037.0,MANHATTAN,Not Available,Not Available,Not Available,458.79
1544,REGO PARK,Not Available,0,0.27,Not Available,43.5,Not Available,Not Available,Not Available,Not Available,2827269,Not Available,Not Available,28-FEB-13,593300,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,4050415,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.862416,Not Available,197645,QUEENS,1996,5933,Not Available,Not Available,Not Available,Not Available,Not Available,Rego Park,No,Not Available,Not Available,Not Available,2013-04-29T06:43:48.000,Not Available,Not Available,4020840101.0,QUEENS,Not Available,Not Available,Not Available,937.26
STATEN ISLAND (2006),STATEN ISLAND,Not Available,45,0.64,Not Available,0,Not Available,Not Available,Not Available,Not Available,2632365.9,Not Available,Not Available,31-MAR-13,2641406,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,5149742,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-74.230733,Not Available,143876,RICHMOND,2006,26414.1,Not Available,Not Available,Not Available,Not Available,Not Available,Charleston-Richmond Valley-Tottenville,No,Not Available,Not Available,Not Available,2013-05-29T04:49:33.000,Not Available,Not Available,5074810001.0,STATEN IS,Not Available,Not Available,Not Available,983.79
Brush Ave,Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,2892536.8,Not Available,Not Available,31-JAN-13,8887932.26,Not Available,Not Available,Not Available,Not Available,Not Available,23000,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2831413,Not Available,Not Available,Not Available,1.09,Not Available,Not Available,100,-73.837902,Not Available,230000,BRONX,2009,88879.3,Not Available,Not Available,207000,Not Available,Not Available,Soundview-Castle Hill-Clason Point-Harding Park,No,Not Available,Not Available,Not Available,2013-03-19T10:17:34.000,Not Available,Not Available,2056100025.0,BRONX,Not Available,0,128,1399.45
201 West 72nd Street - The Alexandria House Condominium,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,2295638.7,Not Available,44,31-JAN-13,16108716,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1077846,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.982412,200,246461,NEW YORK,1938,161087.2,Not Available,Not Available,Not Available,Not Available,Not Available,Lincoln Square,No,Not Available,Not Available,220,2013-05-31T12:02:12.000,0,Not Available,1011647501.0,MANHATTAN,Not Available,Not Available,Not Available,1592.38
300 Madison Avenue,New York,Not Available,0,1.14,Not Available,0,Not Available,Not Available,Not Available,10-APR-13,29585420.6,Not Available,Not Available,28-FEB-13,880763.64,Not Available,0,Not Available,Not Available,Not Available,1004012,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (19-APR-13),Not Available,1085972,Not Available,Not Available,Not Available,6.92,Not Available,Not Available,100,-73.979712,Not Available,1071012,NEW YORK,2003,8807.6,Not Available,60000,Not Available,25222059.42,Not Available,Murray Hill-Kips Bay,No,Not Available,Not Available,Not Available,2013-05-29T10:50:50.000,Not Available,Not Available,1012760058.0,MANHATTAN,Not Available,Not Available,Not Available,11515.65
1177 Avenue of the Americas,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,21037460,Not Available,Not Available,31-DEC-12,Not Available,Not Available,0,Not Available,Not Available,Not Available,976512,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1076173,Not Available,Not Available,Not Available,2.23,Not Available,Not Available,100,-73.982364,Not Available,981408,NEW YORK,1992,Not Available,Not Available,4896,Not Available,16545258,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-05-31T06:02:19.000,Not Available,Not Available,1009980029.0,MANHATTAN,Not Available,Not Available,Not Available,8070.98
641 Lexington Avenue,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,6506571.7,Not Available,Not Available,28-FEB-13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,420888,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1036482,Not Available,Not Available,Not Available,2.42,Not Available,Not Available,100,-73.970321,Not Available,429866,NEW YORK,1964,Not Available,Not Available,Not Available,Not Available,34579411.93,Not Available,Turtle Bay-East Midtown,No,Not Available,Not Available,Not Available,2013-05-30T09:10:55.000,Not Available,Not Available,1013090023.0,MANHATTAN,Not Available,Not Available,Not Available,4814.39
Trinity- 137 Varick,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,999437.4,Not Available,Not Available,31-JAN-13,Not Available,Not Available,Not Available,Not Available,Not Available,Weekly operating hours is much lower than normal for Vacant.<br>,79281,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1009745,Not Available,Not Available,Not Available,4.41,Not Available,Not Available,100,-74.005773,Not Available,85674,NEW YORK,1898,Not Available,Not Available,Not Available,Not Available,951405.39,Not Available,SoHo-TriBeCa-Civic Center-Little Italy,No,Not Available,Not Available,Not Available,2013-05-28T04:46:56.000,Not Available,Not Available,1005790070.0,MANHATTAN,Not Available,Not Available,Not Available,395.28
"1522 University Realty, L.L.C.",Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,276072,Not Available,0,31-DEC-12,4303800,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,0,2008784,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.853325,33,55000,BRONX,1920,43038,Not Available,Not Available,Not Available,Not Available,Not Available,Pelham Parkway,No,Not Available,Not Available,0,2013-04-17T08:09:14.000,0,Not Available,2042730029.0,BRONX,Not Available,Not Available,Not Available,317.4
891 Park Avenue Corp,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,159040.4,Not Available,4,31-DEC-12,12655.88,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,1302264.17,1043231,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.960754,16,27040,NEW YORK,1931,126.6,Not Available,Not Available,Not Available,Not Available,Not Available,Upper East Side-Carnegie Hill,No,Not Available,Not Available,15,2013-05-31T12:02:12.000,0,Not Available,1014130004.0,MANHATTAN,Not Available,Not Available,Not Available,147.43
"Atria 2000 Associates, LLC",Flushing,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,2434272,Not Available,16,31-DEC-12,8517500,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,4467448,30,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.809384,0,209525,QUEENS,2002,85175,Not Available,Not Available,Not Available,Not Available,Not Available,Pomonok-Flushing Heights-Hillcrest,No,Not Available,Not Available,137,2013-05-31T11:08:30.000,0,Not Available,4067970054.0,QUEENS,Not Available,Not Available,Not Available,1232.94
1647-55 Macombs,Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,371063,Not Available,14,31-DEC-12,3487235.48,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",1974,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2008858,0,Not Available,Not Available,4.56,Not Available,Not Available,100,-73.916242,0,66604,BRONX,1925,34872.4,Not Available,Not Available,Not Available,Not Available,Not Available,University Heights-Morris Heights,Yes,Not Available,Not Available,0,2013-05-14T05:12:07.000,0,Not Available,2028760194.0,BRONX,Not Available,Not Available,Not Available,304.39
Court Square Place,Long Island City,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,21-JUN-12,5271859.8,Not Available,Not Available,31-JAN-13,5582561.09,Not Available,0,Not Available,Not Available,Not Available,270457,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (28-JUN-12),Not Available,Not Available,Not Available,Not Available,Not Available,3.78,Not Available,Not Available,100,-73.943731,Not Available,275252,QUEENS,2005,55825.6,Not Available,4795,Not Available,Not Available,Not Available,Hunters Point-Sunnyside-West Maspeth,No,Not Available,Not Available,Not Available,2013-05-31T10:34:46.000,Not Available,Not Available,4004350001.0,QUEENS,Not Available,Not Available,Not Available,1985.8
Walter & Samuels - 18 E 41st,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,1320560,Not Available,Not Available,31-DEC-12,626900,Not Available,Not Available,Not Available,Not Available,Weekly operating hours is much lower than normal for Vacant.<br>,107236,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1035324,Not Available,Not Available,Not Available,3.09,Not Available,Not Available,100,,Not Available,111236,NEW YORK,1910,6269,Not Available,Not Available,Not Available,Not Available,Not Available,,No,Not Available,Not Available,Not Available,2013-06-06T14:24:46.000,Not Available,Not Available,,,Not Available,Not Available,Not Available,730.49
560 Lexington Avenue,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,5547529.7,Not Available,Not Available,31-JAN-13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,324040,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1036451,Not Available,Not Available,Not Available,3.15,Not Available,Not Available,100,-73.972264,Not Available,328910,NEW YORK,1980,Not Available,Not Available,Not Available,Not Available,2843904.32,Not Available,Turtle Bay-East Midtown,No,Not Available,Not Available,Not Available,2013-05-30T09:10:55.000,Not Available,Not Available,1013050013.0,MANHATTAN,Not Available,Not Available,Not Available,2001.64
1600 Sedgwick Riverview,Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,2388567.7,Not Available,27,31-DEC-12,2071089.05,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2092067,60,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.924288,0,348363,BRONX,1972,20710.9,Not Available,Not Available,Not Available,Not Available,Not Available,University Heights-Morris Heights,No,Not Available,Not Available,0,2013-05-29T04:02:38.000,1,Not Available,2028800029.0,BRONX,Not Available,Not Available,Not Available,3443.74
25 East 83rd Street,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,837599.4,Not Available,7,31-JAN-13,84342.23,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1046802,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.960751,12,93252,NEW YORK,1938,843.4,Not Available,Not Available,Not Available,Not Available,Not Available,Upper East Side-Carnegie Hill,No,Not Available,Not Available,54,2013-05-31T12:02:12.000,0,Not Available,1014957501.0,MANHATTAN,Not Available,Not Available,Not Available,423.66
Poly Prep Science Center,Brooklyn,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,31-MAY-11,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-74.023732,Not Available,13150,KINGS,1999,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Dyker Heights,No,Not Available,Not Available,Not Available,2013-05-24T18:58:07.000,Not Available,Not Available,3061430001.0,BROOKLYN,Not Available,Not Available,Not Available,Not Available
900 Third Ave,New York,Not Available,0,1.21,Not Available,59.5,Not Available,Not Available,Not Available,31-JUL-12,8620673.9,Not Available,Not Available,31-MAR-13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,578677,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (26-AUG-12),Not Available,1-01309-0032,Not Available,Not Available,Not Available,2.64,Not Available,Not Available,100,-73.968759,Not Available,592677,NEW YORK,1983,Not Available,Not Available,Not Available,Not Available,5415427.44,Not Available,Turtle Bay-East Midtown,No,Not Available,Not Available,Not Available,2013-05-13T08:18:12.000,Not Available,Not Available,1013090032.0,MANHATTAN,Not Available,Not Available,Not Available,3189.13
FASHION ASSOCIATES,NEW YORK,Not Available,0,1.61,Not Available,0,Not Available,Not Available,Not Available,Not Available,786201,Not Available,Not Available,31-DEC-12,4271.77,Not Available,Not Available,Not Available,Not Available,Not Available,96346,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,BIN# 1015249,Not Available,Not Available,Not Available,1.35,Not Available,Not Available,100,-73.988237,Not Available,102562,NEW YORK,1924,42.7,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-04-24T09:22:07.000,Not Available,Not Available,1008120069.0,MANHATTAN,Not Available,Not Available,Not Available,568.58
Main Hospital,Flushing,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,10,Not Available,20960354.7,Not Available,Not Available,31-JAN-13,105644065.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,1565538.36,4439898,Not Available,3550,Not Available,Not Available,Not Available,Not Available,Not Available,-73.826155,Not Available,590371,QUEENS,1978,1056440.7,Not Available,Not Available,Not Available,Not Available,Not Available,Queensboro Hill,No,Not Available,Not Available,Not Available,2013-05-07T13:29:21.000,Not Available,Not Available,4051650001.0,QUEENS,Not Available,Not Available,Not Available,12449.97
8635 21 AVE PLPM,Brooklyn,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,484459.4,Not Available,Not Available,31-DEC-12,5963122,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,3166996,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.996827,Not Available,109630,KINGS,1962,59631.2,Not Available,Not Available,Not Available,Not Available,Not Available,Bensonhurst West,No,Not Available,Not Available,Not Available,2013-05-29T08:05:34.000,0,Not Available,3063780019.0,BROOKLYN,Not Available,Not Available,Not Available,472.43
"Fifth Avenue Dev. Co., LLC",New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,674789.1,Not Available,6,31-DEC-12,242587.98,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",8383,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1051459,90,Not Available,Not Available,3.58,Not Available,Not Available,100,-73.955246,10,99232,NEW YORK,1925,2425.9,Not Available,Not Available,Not Available,Not Available,Not Available,East Harlem South,No,Not Available,Not Available,65,2013-05-30T05:49:08.000,0,Not Available,1016030001.0,MANHATTAN,Not Available,Not Available,Not Available,640.62
Eger Harbor House,Staten Island,Not Available,Not Available,Not Available,53856,0,Not Available,Not Available,Not Available,Not Available,528560,Not Available,Not Available,31-DEC-12,2621480.4,Not Available,Not Available,Not Available,Not Available,Using default values for Space Use attributes.<br>,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,5-02250-0250,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-74.131359,Not Available,53856,RICHMOND,2005,26214.8,126,Not Available,Not Available,Not Available,Not Available,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,No,Not Available,Not Available,Not Available,2013-02-08T04:38:58.000,Not Available,Not Available,5022500250.0,STATEN IS,Not Available,Not Available,Not Available,308.78
One Wall,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19-APR-12,Not Available,Not Available,Not Available,30-NOV-12,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (24-APR-12),Not Available,BIN# 1000815,Not Available,Not Available,99.79,Not Available,Not Available,Not Available,Not Available,,Not Available,1112533,NEW YORK,1931,Not Available,Not Available,17030,Not Available,Not Available,Not Available,,No,Not Available,Not Available,Not Available,2013-03-27T06:38:45.000,Not Available,Not Available,1000237501.0,MANHATTAN,Not Available,Not Available,Not Available,Not Available
UNICEF HOUSE,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,31-MAR-12,Not Available,Not Available,0,Not Available,Not Available,Using temporary values for Space Use attributes.<br>,200547,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1038670,Not Available,Not Available,Not Available,6.48,Not Available,Not Available,100,-73.970116,Not Available,208203,NEW YORK,1987,Not Available,Not Available,4368,Not Available,Not Available,Not Available,Turtle Bay-East Midtown,No,Not Available,Not Available,Not Available,2013-04-19T10:49:52.000,Not Available,Not Available,1013360031.0,MANHATTAN,Not Available,Not Available,Not Available,Not Available
Grand Slam Corp,Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,397373,Not Available,0,31-DEC-12,553300,Not Available,Not Available,5060261.58,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2010622,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.885315,0,76268,BRONX,1910,5533,Not Available,Not Available,Not Available,Not Available,Not Available,East Tremont,No,Not Available,Not Available,0,2013-05-31T16:08:44.000,0,Not Available,2029850038.0,BRONX,Not Available,Not Available,Not Available,529
599 Lexington,New York,Not Available,28,3.28,Not Available,0,Not Available,Not Available,Not Available,Not Available,23542556.1,Not Available,Not Available,28-FEB-13,Not Available,Not Available,0,Not Available,Not Available,Not Available,1022947,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1036467,Not Available,Not Available,100,2.51,Not Available,Not Available,100,,Not Available,1042298,NEW YORK,1986,Not Available,Not Available,5350,Not Available,10103.84,Not Available,,No,Not Available,Not Available,Not Available,2013-04-29T04:43:40.000,Not Available,Not Available,,,Not Available,Not Available,Not Available,7542.52
Conde Nast Building,Manhattan,Not Available,5,1.59,Not Available,119.6,Not Available,Not Available,Not Available,22-MAR-11,31176240.3,Not Available,Not Available,31-DEC-12,69101749.39,Not Available,0,Not Available,Not Available,Not Available,1511251,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (25-MAR-11),Not Available,1085682,Not Available,Not Available,Not Available,4.23,Not Available,Not Available,100,-73.986244,Not Available,1601977,NEW YORK,1999,691017.5,Not Available,27862,Not Available,19713293.68,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-05-29T12:04:20.000,Not Available,Not Available,1009950005.0,MANHATTAN,Not Available,Not Available,Not Available,15219.71
930 St. Nicholas Owners Corp.,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,230521.2,Not Available,6,31-DEC-12,273204.55,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,3773137.32,1062488,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.940993,0,52550,NEW YORK,1910,2732,Not Available,Not Available,Not Available,Not Available,Not Available,Washington Heights South,No,Not Available,Not Available,0,2013-05-30T05:49:08.000,0,Not Available,1021070014.0,MANHATTAN,Not Available,Not Available,Not Available,365.96
399 Park Avenue,New York,Not Available,3,1.18,Not Available,0,Not Available,Not Available,Not Available,Not Available,36144841.2,Not Available,Not Available,31-MAR-13,1527624.52,Not Available,4000024,Not Available,Not Available,Not Available,1650191,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1071457,Not Available,Not Available,100,3.97,Not Available,Not Available,100,-73.972245,Not Available,1711084,NEW YORK,1961,15276.2,Not Available,7842,Not Available,34980454.25,Not Available,Turtle Bay-East Midtown,No,Not Available,Not Available,Not Available,2013-04-29T04:43:40.000,Not Available,Not Available,1013087502.0,MANHATTAN,Not Available,Not Available,Not Available,14421.77
