comparable_rental_1_full_market_value,borough,_comparable_rental_1_boro_block_lot,staten_island_condominium_property_est_gross_income,bin,council_district,comparable_rental_2_year_built,comparable_rental_2_gross_income_per_sqft,comparable_rental_2_market_value_per_sqft,bbl,staten_island_condominium_property_full_market_value,comparable_rental_1_dist_from_coop_in_miles,latitude
8720000,5,5-03243-0100,0,5095450,50,1973.0,10.48,22.22,5035857501,5424992,1.85,40.579906
1180000,5,5-02102-0045,0,5095348,51,1971.0,13.73,42.8,5024517501,1312007,1.1,40.581736
3150000,5,5-03168-0161,0,5091156,50,,,,5033187501,1397002,0.9,40.590267
3010000,5,5-03003-0082,0,5157402,49,1972.0,13.62,42.4,5028297501,3439999,0.55,40.614937
1850000,5,5-02102-0028,0,5095350,51,,,,5024517501,1312004,1.1,40.579853
3150000,5,5-03168-0161,0,5090787,51,,,,5024527501,1755986,3.85,40.58178
